rid,NMH002_FIBRNPC_24H:BRD-K85732814-001-02-3:10,NMH002_FIBRNPC_6H:BRD-K85732814-001-02-3:10,NMH002_NEU_6H:BRD-K85732814-001-02-3:10,NMH002_NEU_24H:BRD-K85732814-001-02-3:10,NMH002_NPC_6H:BRD-K85732814-001-02-3:10,NMH002_NPC_24H:BRD-K85732814-001-02-3:10
5720,1.35102963448,1.14310312271,1.65603458881,4.73621749878,1.05356872082,0.312688946724
466,-2.32553577423,-2.46536588669,-2.01187324524,-0.453484863043,-2.14694833755,-1.60145676136
6009,-2.17351770401,-0.422449171543,0.348716378212,0.186338588595,-0.430192172527,-0.0324498713017
2309,-0.768028795719,0.107260987163,-1.52656292915,-2.97947955132,-1.19165492058,-0.827937722206
387,2.78883171082,0.413940548897,-0.0134390592575,0.835406184196,-0.421422123909,-1.34952652454
3553,0.606927156448,-0.826614260674,-0.631037592888,0.102997586131,0.355506539345,3.28770017624
427,0.444690585136,0.146693184972,1.41674184799,1.70632171631,2.30316209793,-0.14760568738
5898,-2.95717096329,-0.655481278896,-0.231856286526,0.0260124802589,0.969649374485,-0.46529379487
23365,-1.74319458008,0.175573587418,-0.83876901865,-1.46944701672,0.0991057083011,-0.0292371511459
6657,1.2816567421,-0.658299207687,-1.71746850014,-2.12484240532,-3.50184249878,-7.41929721832
5054,0.999675989151,0.9008872509,-0.0840821266174,1.80209064484,4.1143746376,9.52886295319
3108,1.27427875996,-1.01529765129,0.698416948318,2.2671084404,0.651819705963,1.23638725281
1950,0.762403309345,-0.317058473825,-0.279103934765,0.831210494041,-0.112701661885,1.03726780415
351,0.652473151684,0.829198598862,0.46478292346,-0.323002576828,1.16599655151,-0.675406217575
4846,0.122323170304,2.2321844101,0.0761743336916,-0.515566825867,-0.667186319828,-0.327664554119
1452,-2.09772109985,-0.637659072876,-1.70942378044,-2.54741239548,-1.84125363827,-2.96983480453
4776,-0.636554181576,-3.38258743286,-0.471347302198,0.229136645794,0.0608207285404,0.289136439562
6908,2.09508800507,-0.051679879427,0.777349233627,0.991196870804,0.298865139484,0.707211375237
672,-2.43370604515,-0.194766849279,0.861938893795,-0.415072083473,-1.5439350605,-0.709305644035
5710,1.5799703598,-0.443942189217,-1.08455884457,-2.04526162148,-1.02556216717,0.76754283905
2115,0.496503651142,0.772475242615,1.21017301083,-1.14320993423,-0.0252665579319,-2.65693378448
7015,0.946707725525,-0.359959542751,-0.259072512388,0.663426041603,0.201485022902,1.21587586403
8726,1.91662240028,-0.0667010992765,0.526877343655,0.745737373829,-1.74703717232,-0.541985750198
2185,1.11924111843,-0.0689128041267,-0.610848963261,0.577458620071,0.269354939461,0.844944596291
3315,-2.4532456398,0.925690054893,-0.111045435071,-0.245945096016,1.40140354633,1.52424013615
5289,0.511872947216,0.895513594151,0.284312546253,1.74387168884,3.39082241058,3.79392147064
868,-2.15900850296,-0.934023201466,-1.70587038994,-1.96754384041,-0.467875063419,-0.658580780029
1677,0.114122197032,0.216784209013,-0.22681760788,-0.593324899673,0.339918971062,-0.26572740078
7043,0.245276585221,-0.186061501503,-0.222980320454,-0.74100458622,0.368397682905,-0.0901656448841
5613,1.27705514431,-0.479325652122,-2.12552404404,-3.26841711998,0.652017235756,-1.49249708652
595,-4.30824899673,-2.13987660408,-0.391307711601,-1.41665625572,-1.34554314613,-1.89337444305
4793,-0.593084275723,-0.522330760956,-0.615055024624,-0.135311901569,-1.22207081318,0.540736973286
2736,0.690901458263,-0.354497164488,-2.23020076752,-2.45336723328,-2.62038373947,-4.74805307388
5290,0.654052138329,-0.649001479149,0.261748015881,0.302275836468,0.720829606056,0.798763811588
6194,-1.19623804092,1.25378143787,0.00355931557715,0.2343352139,0.921779513359,-1.21288371086
1676,1.31794667244,-0.927556574345,0.207895427942,-1.05631756783,1.28955841064,3.48717880249
23512,0.963549375534,-1.32127356529,0.674737989902,0.620820522308,-0.0958311781287,-0.303146898746
148022,-0.469676494598,-0.775371730328,-1.0197687149,0.571889340878,0.27468174696,0.546842932701
1906,0.269695073366,-0.362932533026,-1.30413794518,0.41592592001,0.148992598057,0.427878499031
8878,0.992498040199,0.0928826034069,0.742985904217,2.37393116951,1.19950842857,5.99924516678
3091,1.78081667423,0.243374824524,-3.58796906471,-6.13352251053,-0.759474635124,-2.07077431679
5743,1.70534193516,0.123902261257,0.516402244568,1.15681958199,0.310207039118,0.841570615768
5321,1.29444241524,-0.790959656239,0.540893912315,0.603736996651,0.277311295271,1.04645895958
4144,1.99260890484,1.60038018227,1.22808921337,-1.05925261974,0.986816227436,-0.0244099721313
1981,-0.298062026501,-0.219319611788,-0.0615510940552,0.394690930843,0.16601011157,-2.63648319244
695,-0.74445027113,-0.170587956905,1.00989103317,0.0571924746037,-0.275500893593,0.162998050451
10398,-1.9782910347,-0.599474191666,-0.473449230194,-0.293385803699,-0.196718841791,-3.10880804062
5708,3.80060195923,-1.52143025398,1.13780343533,0.935817837715,3.12102985382,3.480946064
1213,-1.36349260807,-0.224931955338,0.270430207253,-0.0208197236061,-0.546592414379,0.0655084550381
226,1.47875511646,0.531661987305,1.79160857201,1.07481062412,0.202726781368,1.16901433468
6777,-3.60361814499,-0.850172400475,-0.993933141232,-1.02669262886,-1.17142212391,-3.51394629478
2113,-0.950174689293,-0.246865555644,-0.126049339771,0.836924552917,0.902199745178,2.24287462234
3329,-0.912175476551,-0.138496831059,0.71026134491,0.03599511832,0.672442018986,-5.42828941345
1050,5.71799659729,8.2629070282,1.03905344009,2.02670001984,1.47125470638,5.14874172211
9491,0.850422620773,-1.0058619976,-0.0925426781178,0.409303754568,0.448061197996,0.503221154213
22926,0.91572457552,0.632269740105,1.47973847389,1.45576572418,1.41838002205,0.729013204575
5899,-0.602253079414,1.59454262257,-0.505641996861,1.74908840656,-0.0123269036412,0.989602088928
5467,2.71075582504,1.06606316566,3.89372372627,5.75249481201,3.30027723312,6.63081550598
6774,1.95039820671,0.39123570919,4.35546541214,4.30362415314,1.43914163113,2.82235407829
1788,0.916089057922,-0.911309957504,-0.377896010876,-1.80671262741,0.396312505007,-0.848399937153
