rid,DOS021_VCAP_24H:BRD-K82335556-001-01-2:5.01,DOS044_A375_24H:BRD-K82335556-001-01-2:5.01
5720,0.140100002289,-0.692350029945
466,0.420399963856,-1.88520002365
6009,-4.68669986725,1.56564998627
2309,-1.61214995384,-0.90784996748
387,-0.251100003719,0.365250021219
3553,1.32019996643,0.442449986935
427,-0.109150022268,-0.227200001478
5898,-0.327549993992,0.552150011063
23365,-0.895350039005,0.155949994922
6657,0.30965000391,0.671050012112
5054,-0.220050007105,1.23895001411
3108,0.293600022793,-0.579850018024
1950,1.37664997578,-0.358850002289
351,0.337249994278,-0.166999995708
4846,5.8451499939,-1.30379998684
1452,-0.979200005531,0.869599997997
4776,1.79605007172,0.59224998951
6908,0.236699998379,1.03349995613
672,0.603450059891,-1.18674993515
5710,0.204549998045,-0.632250010967
2115,0.669099986553,0.533699989319
7015,1.11360001564,0.412699997425
8726,-0.204249992967,0.850250005722
2185,0.150400012732,-0.0585500001907
3315,0.942250013351,0.0128000080585
5289,0.880649983883,1.0517500639
868,3.71134996414,0.726300001144
1677,0.266000002623,-0.599650025368
7043,0.537100017071,0.540449976921
5613,0.485100001097,-1.32120001316
595,0.0318999886513,-0.105700001121
4793,-0.592299997807,-0.391550004482
2736,1.83235001564,0.867749989033
5290,-0.266000002623,0.0542500168085
6194,-0.381099998951,-0.000300000014249
1676,0.634050011635,0.512000024319
23512,-5.28474998474,-0.0355499982834
148022,-0.674650013447,0.36495000124
1906,1.37199997902,-0.127149999142
8878,1.02530002594,-0.0757999867201
3091,1.98385000229,0.336250007153
5743,0.201849997044,-1.04384994507
5321,0.559900045395,0.520449995995
4144,-0.126049995422,0.39050000906
1981,2.85520005226,0.432150006294
695,-0.116600006819,0.508050024509
10398,1.14995002747,0.318300008774
5708,-5.28760004044,0.182899996638
1213,-0.670899987221,0.65600001812
226,0.454849988222,0.130150005221
6777,0.798049986362,-0.330799996853
2113,0.780350029469,1.07720005512
3329,-0.204750001431,0.682200014591
1050,-0.210850000381,-2.67899990082
9491,0.674199998379,0.6304500103
22926,-0.967599987984,0.973999977112
5899,0.888899981976,-0.0264500007033
5467,0.649399995804,0.326450020075
6774,-0.160649999976,0.424149990082
1788,1.4457000494,0.424300014973
5921,1.24450004101,0.0480000078678
5721,-0.271050006151,0.229550004005
2263,-0.0254999995232,0.32254999876
808,-0.403800010681,-0.0266000032425
30001,-0.929399967194,-0.226449996233
348,-1.08815002441,0.168549999595
30849,-0.803750038147,-0.18125000596
1454,-0.345799982548,-0.748950004578
6500,1.63779997826,0.431249976158
5627,0.500649988651,-3.13269996643
5715,0.60640001297,-0.809700012207
4791,-0.139050006866,0.594250023365
56924,-0.352549999952,-1.06834995747
2690,0.29105001688,0.182649970055
1019,-0.144549995661,-1.01445007324
51422,-0.523850023746,0.714800000191
5788,0.27294999361,-0.66194999218
6709,0.144849985838,-0.613499999046
1277,-0.117049992085,-0.364250004292
993,-5.31129980087,-1.55379998684
7157,-0.328900009394,-1.31784999371
1958,0.400200009346,1.12434995174
4582,0.385100007057,0.0573499947786
9212,0.478549987078,0.61185002327
8440,-1.08130002022,-0.457399994135
6790,0.581550002098,-0.721249997616
8851,-1.13890004158,-0.705949962139
2534,1.94684994221,-0.370149999857
4893,0.811450004578,0.602800011635
665,0.550050020218,-0.176150009036
4313,0.604350030422,0.217099994421
1022,-0.11700001359,0.0348500013351
5880,-0.130600005388,1.12615001202
3162,0.396149992943,-0.914250016212
1282,-0.492049962282,-0.22159999609
3383,-0.391999989748,-0.642700016499
