rid,CPC010_A375_6H:BRD-K28916077-001-04-0:10,CPC010_A549_6H:BRD-K28916077-001-04-0:10,CPC010_A549_24H:BRD-K28916077-001-04-0:10,CPC010_HA1E_6H:BRD-K28916077-001-04-0:10,CPC010_HCC515_6H:BRD-K28916077-001-04-0:10,CPC010_HEPG2_6H:BRD-K28916077-001-04-0:10,CPC010_HT29_6H:BRD-K28916077-001-04-0:10,CPC010_MCF7_6H:BRD-K28916077-001-04-0:10,CPC010_MCF7_24H:BRD-K28916077-001-04-0:10,CPC010_PC3_6H:BRD-K28916077-001-04-0:10,CPC010_PC3_24H:BRD-K28916077-001-04-0:10,CPC010_VCAP_6H:BRD-K28916077-001-04-0:10
5720,0.0263300836086,-0.104900032282,-1.32249999046,-1.21798324585,-1.54856061935,-0.176100000739,0.366828203201,-2.44367790222,-6.55989980698,0.513140797615,-0.361373156309,-0.0945106446743
466,0.876350998878,1.68435001373,-1.13390004635,0.240666121244,2.1565489769,-2.62895011902,0.040517963469,-0.444795131683,-4.52349996567,0.350010305643,-2.16273975372,-0.530760705471
6009,1.880163908,-0.0658500045538,1.86870002747,0.256164878607,0.137741327286,-3.25915002823,1.08087790012,-0.858149647713,-1.16199994087,0.276957154274,-1.00302660465,1.90683245659
2309,2.63611245155,0.851000010967,1.24020004272,0.654741287231,2.3674492836,-1.67055010796,8.24645042419,1.3395345211,0.408100008965,1.79262852669,-2.81105446815,1.98246014118
387,0.210278779268,-0.584549963474,-0.450500011444,-0.27166390419,-0.959597408772,-1.17015004158,-0.653375864029,-0.241307586432,-4.44239997864,-0.0677886605263,0.59349834919,-0.283452481031
3553,2.66377806664,1.96160006523,1.30200004578,1.64800262451,0.104434639215,1.28845000267,0.67038244009,0.291120499372,3.41409993172,0.387711852789,0.864709615707,0.391289174557
427,-0.682432889938,1.61105000973,1.74150002003,0.0613606646657,0.0970833003521,-0.147699996829,0.478393852711,-0.241842895746,-6.02099990845,1.19688344002,0.95583319664,0.218048632145
5898,-0.0840112417936,1.05684995651,0.396699994802,1.16374015808,0.597821772099,0.380950033665,2.45467853546,1.20806932449,5.79519987106,0.341897189617,3.92560791969,1.52310633659
23365,-0.719054341316,-2.86315011978,-0.882600009441,0.439997017384,-1.43248867989,0.74019998312,-0.629980444908,1.45854341984,-1.55139994621,-1.25733017921,1.19749438763,0.86102181673
6657,-1.47629010677,-0.335749983788,0.878199994564,0.611906707287,-1.79705119133,3.0353500843,1.95299911499,0.65140581131,4.7610001564,-0.221999749541,2.76026821136,0.244200408459
