rid,CPD003_MCF7_6H:BRD-M98379218-001-03-6:10,CPD003_MCF7_24H:BRD-M98379218-001-03-6:10,CPD003_PC3_6H:BRD-M98379218-001-03-6:10,CPD003_PC3_24H:BRD-M98379218-001-03-6:10
5720,0.912100017071,-0.00117478519678,-0.137199997902,-0.0124999880791
466,-0.379649996758,-1.43376672268,0.107549995184,-0.307699978352
6009,1.13919997215,-0.0249763280153,0.365049988031,0.768950045109
2309,0.15189999342,0.187564283609,0.671100020409,-0.354699999094
387,0.815050005913,0.449236571789,-0.359899997711,1.18114995956
3553,-0.428499996662,-0.556717514992,-0.0889999866486,0.298950016499
427,0.48480001092,-0.399076759815,0.588600039482,0.014200001955
5898,-0.122299991548,-0.558014333248,-0.424400001764,-0.977450013161
23365,-1.10905003548,0.152093410492,1.48245000839,-0.539250016212
6657,1.64094996452,-0.431256055832,1.56620001793,-0.141399994493
5054,2.422549963,0.135716021061,-0.192100003362,1.6061000824
3108,-0.177650004625,-0.451016515493,0.84500002861,0.299699991941
1950,-0.0824500024319,0.288457602262,0.278750002384,0.437299966812
351,-0.521399974823,-0.00467382092029,-0.79834997654,-0.369599997997
4846,-0.464600026608,-0.155060768127,-0.415900021791,-0.144199997187
1452,-0.276499986649,-0.530545055866,-0.14755000174,-1.26570010185
4776,-0.127000004053,-0.326153039932,1.53914999962,-0.440849989653
6908,0.881449997425,0.570772588253,0.144749999046,0.714699983597
672,-0.921450018883,-0.830907762051,-0.0655499994755,-0.170700013638
5710,-0.00710000004619,0.352348446846,0.699949979782,-0.318149983883
2115,5.07649993896,-0.15496776998,0.152050003409,-1.21430003643
7015,0.465849995613,-0.237390786409,1.23135006428,-0.483999997377
8726,-0.607400000095,0.169661447406,-1.15549993515,0.579999983311
2185,0.159449994564,-0.554636240005,1.88199996948,-0.435900002718
3315,-0.756099998951,-0.121528185904,-0.310100018978,0.00034999998752
5289,1.06980001926,-0.674339950085,1.0978000164,-0.927600026131
868,-0.292450010777,-0.128758877516,0.226149976254,0.382550001144
1677,0.460099995136,0.145245909691,-0.124300003052,-0.668699979782
7043,-0.498649984598,-0.352807253599,0.231849998236,-0.309199988842
5613,0.0352999866009,-0.443627268076,0.385999977589,4.17009973526
595,-0.314999997616,0.942745804787,-0.569350004196,0.683950006962
4793,0.385100007057,0.139798924327,0.247699990869,0.812800049782
