rid,DOS022_VCAP_6H:BRD-K67514995-001-02-8:5,DOS022_VCAP_24H:BRD-K67514995-001-02-8:5,DOS045_A549_24H:BRD-K67514995-001-02-8:5,DOS045_HT29_24H:BRD-K67514995-001-02-8:5,DOSBIO001_A375_24H:BRD-K67514995:10.0099,DOSBIO001_A549_24H:BRD-K67514995:10.0099,DOSBIO001_HT29_24H:BRD-K67514995:10.0099,DOSBIO001_MCF7_24H:BRD-K67514995:10.0099,DOSBIO001_PC3_24H:BRD-K67514995:10.0099,DOSBIO001_NEU_24H:BRD-K67514995:10.0099,DOSBIO001_NPC_24H:BRD-K67514995:10.0099
5720,0.968059897423,-0.931899964809,-0.383819550276,0.638399958611,-0.622190713882,-0.0764201879501,-0.541688024998,-0.760961055756,-0.470142602921,2.14094996452,1.72924268246
466,-0.291796952486,-0.27974998951,-0.603500127792,0.635800004005,-1.61860752106,-0.192828088999,0.0858394652605,-0.156543761492,0.219321429729,2.69584989548,1.3626139164
6009,0.90324395895,-1.94395005703,0.297087222338,0.8574000597,0.826973736286,-1.48818922043,-0.254961848259,-0.637356162071,0.35173034668,-0.278199970722,-0.649190306664
2309,1.14205670357,-5.20104980469,-0.755435705185,-0.307700008154,-0.527528584003,-0.828217566013,-0.624971687794,0.53156542778,-0.599219202995,0.673849999905,-0.40399569273
387,1.41305756569,0.934800028801,-0.33277618885,0.186699986458,0.691918075085,-0.340591818094,-0.66000264883,0.362969338894,-0.337859302759,-0.559350013733,-2.59992647171
3553,-1.28917741776,-0.463949978352,-0.758288145065,-0.600749969482,0.97619253397,0.509048402309,-0.00058533065021,-0.415426582098,-0.463015854359,-0.564249992371,1.74059963226
427,-0.448453515768,0.28464999795,0.58727401495,0.117049999535,-1.12027537823,0.531938672066,0.0594891086221,-1.33932459354,0.513818740845,0.496749997139,0.120351612568
5898,-1.11245596409,0.472650021315,0.0607535019517,-1.30500006676,0.320497572422,-0.419553518295,0.342116773129,-2.12634420395,1.48701763153,0.0418500006199,0.850679516792
23365,1.15513277054,1.60559999943,-0.113082617521,-0.674899995327,0.834798276424,0.876233100891,-0.205617576838,0.138862133026,1.27614116669,0.402249991894,0.388215839863
6657,-1.3675673008,0.324800014496,0.547502398491,-0.388549983501,-0.445966362953,0.193241983652,0.530608415604,-0.499117910862,0.471664249897,-0.711950004101,-2.9188117981
5054,-0.851859986782,-0.159749999642,0.0766630023718,-0.575949966908,-0.171849995852,0.265959441662,2.71264910698,1.27334392071,-1.26194691658,-0.256899982691,0.384894281626
3108,0.27730512619,0.139149993658,0.70205783844,-0.83060002327,0.215195193887,-1.72737336159,-0.538064777851,0.60589581728,0.240725845098,-0.704699993134,-0.228318139911
1950,-1.06494808197,4.6264500618,1.06381869316,0.923950016499,-0.509597539902,1.24652123451,0.343228340149,-0.856428980827,-0.524644196033,-0.277000010014,-0.0321084707975
351,0.081403054297,0.278550028801,0.0221035182476,-0.0769999921322,-0.783798873425,0.713874459267,0.233122751117,0.14241746068,0.548896431923,-0.213499993086,0.361519664526
4846,0.53839558363,-0.896499991417,-0.246583104134,0.457400023937,-0.42785218358,0.227845147252,3.77433681488,-0.201728954911,-0.0841805934906,5.76684999466,-1.10125124454
1452,1.47002959251,0.0841500163078,-0.707798480988,0.612999975681,0.255011469126,-0.496776819229,0.576612234116,0.279561936855,0.397951900959,0.200749993324,-0.867886543274
4776,-0.948714435101,-0.643150031567,1.44217479229,-0.455049991608,0.791667461395,2.02706575394,0.423212051392,-0.50647187233,0.776925265789,-0.143600001931,-0.357332646847
6908,1.34241223335,0.555599987507,0.214668691158,0.678449988365,-0.0180480629206,-0.0467142760754,0.334572255611,-0.70553791523,0.869325518608,0.607550024986,-0.62430357933
