rid,DOS050_HT29_24H:BRD-K95285735-001-01-8:5,DOS050_MCF7_24H:BRD-K95285735-001-01-8:5,DOS050_PC3_24H:BRD-K95285735-001-01-8:5,DOSBIO002_A375_24H:BRD-K95285735:10.6834,DOSBIO002_A549_24H:BRD-K95285735:10.6834,DOSBIO002_HT29_24H:BRD-K95285735:10.6834,DOSBIO002_PC3_24H:BRD-K95285735:10.6834,DOSBIO002_MCF7_24H:BRD-K95285735:10.6834,DOSBIO002_NEU_24H:BRD-K95285735:10.6834,DOSBIO002_NPC_24H:BRD-K95285735:10.6834
5720,-1.48528778553,0.156049996614,-0.395200014114,-0.293810158968,-1.27609741688,-0.430236339569,0.281549990177,-0.782835364342,-0.150350004435,-0.175279647112
466,-0.967204213142,-0.24375000596,0.462300002575,-0.697226405144,-5.58231639862,0.55269753933,0.81534999609,-1.48182749748,2.05215001106,-0.134643048048
6009,-0.63135355711,0.121199995279,0.486249983311,1.13899874687,1.54576718807,0.291122734547,1.06145000458,0.785033583641,-0.443800002337,-0.490194618702
2309,0.433301538229,-2.60249996185,0.945250034332,0.950304687023,3.84729099274,-0.823200941086,-0.706200003624,2.29891729355,-0.420150011778,-0.195462554693
387,-1.01118552685,-0.723950028419,-0.16345000267,-0.548097729683,3.22762870789,1.16745615005,1.58875000477,2.06546711922,-0.320349991322,0.19082686305
3553,0.968657135963,0.948100030422,0.629349946976,-0.0156454145908,2.00519800186,-0.3744148314,-1.09710001945,-1.0483725071,-0.0108000040054,1.02471971512
427,0.105258062482,0.715300023556,-0.0182500034571,0.0968375504017,2.92988157272,-0.624373674393,-1.1060000658,-0.883419513702,0.909550011158,-0.574790894985
5898,0.568398892879,-0.495300024748,-0.126199990511,-5.22533226013,-0.0856331735849,0.463463008404,1.18739998341,-0.483186215162,1.77620005608,-0.443389832973
23365,0.59083366394,0.455449998379,0.38014999032,0.69809949398,0.902453422546,0.655131578445,-0.0543999969959,1.59824883938,-0.720950007439,0.19053734839
6657,1.26686012745,1.31620001793,-0.607599973679,-0.466302782297,0.745468616486,0.00171703100204,0.959650039673,-0.0824806243181,0.24739998579,-1.00677478313
5054,-0.112833708525,-0.882300019264,0.0447500348091,-0.137098923326,-2.77693152428,0.971895098686,-1.24990010262,0.0940241515636,0.467549979687,-0.0799149572849
3108,-0.256894469261,-0.903850018978,-0.69034999609,0.495018273592,2.8326356411,-0.351967185736,-0.193750008941,3.38557291031,-0.0715999603271,0.934262871742
1950,0.154357016087,1.19939994812,-0.0780999958515,-0.948311686516,0.68180513382,-0.1272803545,1.16719996929,-1.33296859264,0.323549985886,-0.879127919674
