rid,ERG011_VCAP_6H:BRD-K80684056-001-03-6:10,ERG011_VCAP_6H:BRD-K80684056-001-03-6:2,ERG011_VCAP_6H:BRD-K80684056-001-03-6:0.4,ERG011_VCAP_24H:BRD-K80684056-001-03-6:10,ERG011_VCAP_24H:BRD-K80684056-001-03-6:2,ERG011_VCAP_24H:BRD-K80684056-001-03-6:0.4
5720,0.355200022459,0.157299995422,-0.0769000053406,-1.29147088528,-0.397048771381,-0.737181842327
466,1.02544999123,0.467750012875,0.419749975204,-0.121537223458,-0.123879313469,-0.254816681147
6009,-0.999799966812,-0.261350005865,-0.219599992037,0.549847722054,-1.10426700115,-0.959551692009
2309,0.666750013828,-0.564399957657,-1.01384997368,1.07406282425,-0.930934131145,-0.666650235653
387,-0.533950030804,-0.30419999361,-1.06570005417,0.109949842095,-0.546904444695,-1.80034804344
3553,1.37034988403,-0.0897499993443,0.200599983335,1.42710292339,1.7928481102,5.36881399155
427,1.10385000706,-0.0605500042439,0.0407000035048,0.436784744263,0.974301457405,-0.366960167885
5898,0.185899972916,0.252900004387,1.06319999695,-0.303774267435,0.0784001275897,-1.05652618408
23365,-0.32984995842,1.08069992065,0.969700038433,0.834129095078,-0.399386256933,-1.57878136635
6657,0.0959500074387,-0.103250011802,0.273550003767,0.737140536308,1.17569875717,1.046646595
5054,0.979849994183,0.60070002079,-0.143950000405,-0.0906672105193,1.3737757206,1.02745473385
3108,-0.291700005531,-0.0271499976516,-0.386950016022,-1.31802856922,5.02365589142,-0.931870698929
1950,-0.760300040245,-0.562900006771,-0.560099959373,0.754999637604,0.427943587303,0.648116528988
351,-0.0523500144482,0.50594997406,0.337249994278,0.483327031136,-0.0633673369884,-0.938566088676
4846,4.71304988861,-0.0401999950409,0.44004997611,-0.673216104507,-0.941696405411,0.263670027256
1452,1.88470005989,0.065299987793,0.448000013828,1.8899242878,0.151071235538,-0.909544110298
4776,0.334049999714,-0.203099995852,0.126550018787,1.16987550259,1.98711204529,1.56454634666
6908,-0.242849975824,-0.176400005817,0.00129999965429,-1.43561983109,-1.71308982372,-0.274907171726
672,1.22449994087,0.917299985886,0.440600007772,-1.19619143009,0.623679280281,0.465990364552
5710,0.524949967861,0.172150015831,0.689049959183,0.357735544443,-1.36477279663,-0.640963435173
2115,0.851599991322,-0.3912999928,-0.413399994373,-0.0312552973628,0.0460112504661,0.277319461107
7015,-0.367449998856,-0.0746500045061,0.440150022507,0.737373530865,1.09320449829,1.15014696121
8726,1.29045009613,0.800750017166,1.52680003643,-0.475042968988,0.233880087733,0.121759474277
2185,-0.12165004015,-0.0805500000715,0.24414999783,0.87786000967,1.49646735191,0.540892899036
3315,-0.428299993277,-0.0129499994218,-0.360399991274,-0.301200300455,-1.03029966354,-0.272540956736
5289,0.280550003052,0.551249980927,-0.238150000572,0.380183637142,-1.15969288349,-0.115902140737
868,1.04799997807,-0.566900014877,-0.753849983215,2.31978154182,0.0540695860982,-0.401860535145
1677,-1.0406999588,-0.198600009084,0.587249994278,-1.30858159065,4.60439682007,-0.162274464965
7043,0.272899985313,1.54664993286,-0.0188999772072,3.13084506989,1.41906297207,-0.113338589668
5613,0.555199980736,-0.300300002098,0.286799997091,-0.0698810964823,0.960774838924,0.595188260078
595,0.468049973249,0.774850010872,-0.225400000811,0.0694389939308,-0.445601046085,-0.201478391886
4793,-0.734699964523,0.225149989128,1.08320009708,-0.370075672865,-0.348331451416,0.86666560173
2736,5.2295999527,0.164849996567,-0.0663500055671,0.166297733784,1.47912657261,0.270189642906
5290,0.299500018358,-0.366050004959,0.367449998856,0.349489450455,0.848806023598,0.526670157909
