rid,CPC007_A375_6H:BRD-K78843060-019-02-0:10,CPC007_A375_24H:BRD-K78843060-019-02-0:10,CPC007_A549_6H:BRD-K78843060-019-02-0:10,CPC007_A549_24H:BRD-K78843060-019-02-0:10,CPC007_HCC515_6H:BRD-K78843060-019-02-0:10,CPC007_HT29_6H:BRD-K78843060-019-02-0:10,CPC007_HT29_24H:BRD-K78843060-019-02-0:10,CPC007_MCF7_6H:BRD-K78843060-019-02-0:10,CPC007_MCF7_24H:BRD-K78843060-019-02-0:10,CPC007_PC3_6H:BRD-K78843060-019-02-0:10,CPC007_PC3_24H:BRD-K78843060-019-02-0:10,CPC007_VCAP_6H:BRD-K78843060-019-02-0:10,CPC007_VCAP_24H:BRD-K78843060-019-02-0:10
5720,-2.03935003281,-6.77820014954,-2.87490320206,-0.73143941164,-1.64709997177,-0.435941040516,0.202338248491,-1.60839819908,-0.0861119553447,-0.63308596611,-3.50202512741,-0.390092134476,1.03904461861
466,-2.49819993973,-8.32810020447,0.497868299484,-0.421949923038,1.40170001984,-0.411907404661,0.442527711391,-0.231185898185,0.338015556335,-0.540734648705,-0.00586521625519,-0.0845789238811,0.371123552322
6009,-0.987649977207,-2.9265999794,1.34392666817,0.146019846201,1.98319995403,0.71132349968,0.46307694912,-0.900238394737,0.29212513566,-1.14586830139,-1.51352477074,0.35276812315,-0.694611370564
2309,-0.703050017357,-4.63549995422,2.52054309845,-0.881332218647,0.30680000782,-0.136435717344,-0.141554713249,1.65954613686,0.108127474785,-0.905489683151,3.37646627426,-0.238252565265,-0.185645222664
387,-3.53649997711,-4.44509983063,-0.362477123737,-0.306078135967,2.17239999771,-0.156930431724,-0.337872743607,-1.51859557629,-0.501865744591,-1.48942160606,-2.68624687195,-0.257391393185,-0.135267660022
3553,1.78014993668,1.57099997997,0.408341467381,0.0594038367271,-0.689300000668,0.244595736265,-0.943541228771,0.648720741272,-0.35783919692,-0.877440452576,-1.77896738052,0.550141513348,-0.725606918335
427,-1.67290008068,1.06289994717,-0.345303356647,-0.21266451478,2.04410004616,0.405245810747,-0.0870653539896,-0.1239682585,0.227483585477,-0.110064387321,-1.01776838303,0.163568466902,0.549353837967
5898,-3.45595002174,2.30419993401,1.12643194199,-0.402920037508,2.2295999527,0.210220232606,-0.243737876415,0.113060794771,0.639968395233,1.29720187187,0.519868552685,-0.587188839912,-1.87952899933
23365,-1.2595499754,-3.80500006676,-0.447352945805,-0.0120795071125,-0.719600021839,-0.0338185764849,0.000147134065628,-1.67812633514,-0.54415178299,-1.39273810387,0.0180400013924,-0.211308181286,-1.01982951164
6657,1.02764999866,0.928600013256,-0.100832521915,-0.484004676342,-0.557600021362,0.826751589775,0.1807692945,0.935011148453,0.0641401037574,1.38646352291,1.54960644245,0.507905364037,-1.1826133728
