rid,DOS020_VCAP_6H:BRD-K56583519-001-01-5:4.64,DOS020_VCAP_24H:BRD-K56583519-001-01-5:4.64,DOS043_A375_24H:BRD-K56583519-001-01-5:4.64,DOS043_A549_24H:BRD-K56583519-001-01-5:4.64,DOS043_HT29_24H:BRD-K56583519-001-01-5:4.64,ERG015_PC3_24H:BRD-K56583519-001-01-5:9.27107,ERG015_PC3_6H:BRD-K56583519-001-01-5:9.27107,ERG015_VCAP_24H:BRD-K56583519-001-01-5:9.27107,ERG015_VCAP_6H:BRD-K56583519-001-01-5:9.27107
5720,0.453387737274,0.969364523888,-0.940027356148,0.730549991131,0.708013951778,0.11495000124,-1.50200402737,-2.30061101913,-2.08902478218
466,0.692005038261,0.417013198137,-0.496532618999,-0.211950004101,0.491772413254,-0.3450999856,-0.138000890613,-3.59833621979,-2.1197476387
6009,0.38507977128,-0.280003190041,-0.569736540318,0.0,0.253163099289,-0.374099999666,0.0028046220541,-2.28338479996,-0.694557905197
2309,-0.154210060835,-0.0263174697757,-0.589327394962,-0.832099974155,-0.257046401501,0.157550007105,-0.117968708277,1.69736528397,0.242239668965
387,-0.367804914713,-0.405372947454,-0.609567761421,-0.226200014353,-0.473981440067,-0.218849986792,-0.735512018204,1.38620150089,-0.69576972723
3553,1.67559480667,0.596292376518,1.8251349926,1.11899995804,0.808630347252,-0.447050005198,-0.605077624321,1.18888258934,0.742249488831
427,0.679586172104,0.505967617035,0.847927212715,0.734300017357,-0.419105708599,0.231749981642,-0.304595053196,-2.53034830093,-1.2589648962
5898,0.0276735424995,-0.670084416866,0.0719183981419,1.27119994164,0.124686814845,-0.528349995613,-0.503223061562,-4.47619104385,-0.503973245621
23365,0.593234062195,-1.1561640501,-0.466356754303,-1.69889998436,-0.0515259057283,-0.374949991703,1.34071910381,-1.06929111481,-0.838818967342
6657,-0.674913465977,0.0330283567309,0.891543626785,1.05200004578,0.852535843849,0.137749999762,1.53673529625,1.88168370724,1.55577516556
5054,-1.02357137203,0.143757343292,0.59526604414,0.287050008774,-1.55133664608,-0.616100013256,0.884007632732,0.674129724503,0.263128489256
3108,0.574574589729,0.489097714424,-1.08692908287,-1.18784999847,0.682366251945,-1.50100004673,0.166939511895,1.70136809349,0.197522908449
1950,0.375825256109,0.988025069237,1.30408227444,-0.525849997997,0.575869619846,-0.375450015068,0.546597123146,1.51115655899,1.13830685616
351,-0.560750722885,0.0,0.147954910994,0.184750005603,-0.656616032124,0.0,0.402521461248,0.677484929562,-0.107013329864
4846,0.329143941402,0.12211316824,0.292601168156,0.450499981642,1.09815311432,-0.789099991322,0.981325626373,1.99840271473,1.98225140572
1452,0.676903605461,0.493735074997,1.25897836685,-1.5517001152,0.117197304964,0.680000007153,0.334553599358,-0.411959916353,0.451256483793
4776,0.0576809048653,-0.0141667127609,0.988186895847,0.689300000668,-0.0563619285822,-0.115050002933,1.03724241257,1.77256584167,1.30479609966
6908,0.859660744667,-1.06291675568,-1.70180034637,-0.425650000572,-0.106186628342,-0.100649997592,-1.23576593399,-1.57243132591,-1.04197824001
672,-0.113870434463,-0.5199842453,-0.417556285858,0.0962499976158,0.150165513158,-0.0668499916792,0.145097628236,-0.930665493011,-0.875945091248
5710,-0.0161208063364,-0.513305068016,-0.615415334702,-1.04600000381,-0.393068403006,0.154299989343,-0.327055633068,-0.943447887897,-1.25265920162
2115,0.66722714901,0.0446801781654,0.955658853054,0.66295003891,0.692018330097,-0.283399999142,0.86166703701,1.42274427414,0.0270319376141
7015,0.0867880433798,0.507563948631,1.03436636925,0.0438999980688,0.684860527515,0.149949997663,1.39534783363,2.81068730354,1.43368673325
8726,0.566433131695,-0.67678463459,-0.109045915306,0.43029999733,0.505252599716,-0.295049995184,-0.531443297863,-3.301415205,-0.163062274456
2185,0.911092042923,0.110866442323,1.82572638988,0.791999936104,0.120678581297,0.0990000069141,1.41833209991,1.95438158512,1.36308503151
3315,-0.198019996285,0.445432066917,-1.15035820007,0.27349999547,0.428271144629,0.948249995708,1.22676575184,2.29699110985,2.12369585037
