rid,DOS013_VCAP_6H:BRD-K44635753-001-01-3:5.04,DOS013_VCAP_24H:BRD-K44635753-001-01-3:5.04,DOS040_A375_24H:BRD-K44635753-001-01-3:5.04,DOS040_HT29_24H:BRD-K44635753-001-01-3:5.04,DOSBIO001_A375_24H:BRD-K44635753:10.0784,DOSBIO001_A549_24H:BRD-K44635753:10.0784,DOSBIO001_HT29_24H:BRD-K44635753:10.0784,DOSBIO001_MCF7_24H:BRD-K44635753:10.0784,DOSBIO001_PC3_24H:BRD-K44635753:10.0784,DOSBIO001_NEU_24H:BRD-K44635753:10.0784,DOSBIO001_NPC_24H:BRD-K44635753:10.0784
5720,0.858590781689,0.878660798073,0.977149963379,-0.797100007534,-1.29569959641,-1.08842456341,-0.527095794678,1.27284741402,0.0814729258418,1.23899996281,0.193315505981
466,-1.31406235695,0.523225963116,0.452600002289,-1.1140999794,-0.126194685698,-0.572612226009,0.202838510275,1.43798267841,-0.841164171696,0.255050003529,0.842783868313
6009,0.676427185535,-0.398350358009,2.20449995995,0.476449996233,-0.845238029957,-0.628067076206,-0.654213309288,0.401881635189,0.657652258873,-1.03610002995,-0.753814935684
2309,0.317435026169,1.12462973595,-0.192049980164,-1.4891500473,-2.01708984375,-1.09677767754,-0.926946520805,-0.0236684307456,0.0216454286128,-1.44774997234,-0.0996071994305
387,0.338379055262,0.0804115235806,0.0891999900341,0.774649977684,-0.166200339794,0.14138379693,0.309270352125,0.704624891281,-0.344274997711,-0.733250021935,-0.406545579433
3553,-0.190603598952,0.420919775963,-0.612950026989,-0.370800018311,1.44717681408,1.30500352383,2.21047663689,-0.198146626353,-0.861752986908,0.859800040722,0.260539203882
427,-0.92896515131,0.995480835438,-0.451849997044,3.96199989319,1.62929427624,-0.892157495022,0.816403985023,-0.29629188776,1.13807845116,0.330000013113,-0.911059916019
5898,-0.387889146805,0.336311250925,-0.302650004625,0.396400004625,0.336715042591,0.47919011116,-0.012633651495,0.977667570114,0.789045155048,0.269899994135,0.0649232566357
23365,-0.569751143456,0.817989885807,-0.261999994516,-0.234249994159,0.935052752495,0.980317771435,0.0952274799347,-0.535919308662,0.174648463726,-0.78385001421,-0.99299955368
6657,-1.34906542301,-0.291033536196,-1.06349992752,0.612199962139,0.067202322185,1.00498247147,1.75640106201,-0.288673907518,0.673446774483,-0.659550011158,-1.05087077618
5054,0.526394963264,-0.278041422367,0.42049998045,0.81299996376,0.0553965494037,0.454065740108,-0.26624417305,-0.838284909725,-0.984948396683,0.205700010061,-0.359216243029
3108,0.502449035645,-0.816628098488,1.04519999027,3.54479980469,-1.30250120163,0.319817960262,4.60011196136,0.798242330551,0.820653259754,1.03960001469,0.690191507339
1950,-0.265823066235,-0.712582230568,-1.34375,0.187600016594,0.544764041901,0.194634050131,-0.641877770424,0.0046135187149,0.502025604248,-0.401499986649,-0.4760171175
351,-0.918694674969,-0.741029024124,0.481249988079,1.13565003872,1.00865852833,0.310269981623,1.23273706436,-0.673823952675,0.00901871919632,0.301149994135,0.183256417513
4846,-0.739538371563,-0.802851319313,0.0662500038743,0.58109998703,0.52877086401,-0.328138232231,3.40844607353,0.500997781754,0.0233907550573,0.0630999952555,-0.826895236969
1452,0.125628590584,-0.512733578682,0.356350004673,-0.18219999969,-0.386290669441,-0.186005651951,0.0327804461122,0.83036673069,-0.806202769279,-0.707049965858,-0.663027465343
4776,-0.000127404928207,-0.557581305504,-0.783550024033,0.417050004005,2.2822368145,0.104611545801,0.997858583927,-0.526977419853,-0.120118662715,-0.956749975681,-0.988000571728
6908,0.798373699188,0.0939628258348,1.44315004349,-2.50515007973,-0.342668652534,-0.587857365608,0.513015389442,1.2792930603,0.211173340678,-0.37444999814,-0.16871714592
672,0.831703543663,0.383997142315,-1.01154994965,0.431950002909,0.158573627472,0.288622796535,0.516550838947,0.576081216335,1.27000558376,0.739400029182,-0.138683319092
5710,0.337480813265,0.393681973219,-0.879950046539,-1.45114994049,1.16672086716,0.478032767773,0.786918520927,0.510902166367,0.547863483429,-0.513800024986,0.0486061275005
2115,-1.66395032406,0.149014607072,-0.3587000072,2.78244996071,0.829658329487,1.16717195511,-0.301019519567,-1.30122828484,-0.610556125641,-0.450600028038,-1.01830327511
7015,-0.892783045769,-0.475122779608,-1.75364995003,0.187350004911,0.072668209672,-0.109881438315,1.31352615356,-0.805738329887,0.0228760689497,0.275399982929,0.484606683254
8726,1.28377640247,-0.276166379452,2.18449997902,-1.47385001183,-0.732166647911,4.7798614502,-1.02163350582,-0.372872173786,0.524901628494,-0.731100022793,0.213036119938
2185,-0.904609680176,0.390487253666,-0.707750022411,0.621450006962,1.87049937248,0.273166835308,1.83730709553,-0.657272219658,0.298415601254,0.735350012779,0.597220182419
3315,0.551736056805,0.899103879929,0.609200000763,-0.23204998672,-1.37778830528,-0.159994423389,-0.730340600014,0.625852763653,-0.556013703346,-0.0119500011206,0.405373573303
5289,-0.746370017529,-0.141194611788,-0.187299996614,1.14254999161,0.378078699112,0.186899721622,-0.530566692352,0.152239322662,-0.0386869013309,0.575949966908,0.301830261946
868,0.00674211978912,-0.224438816309,-0.654600024223,1.19720005989,-0.31524771452,0.558660984039,0.0865768194199,-0.453968495131,1.33841025829,-0.939499974251,-0.106284916401
