rid,CVD001_HEPG2_6H:BRD-K46123637-001-01-0:10.0354,CVD001_HEPG2_6H:BRD-K46123637-001-01-0:2.5088,CVD001_HEPG2_24H:BRD-K46123637-001-01-0:10.0354,CVD001_HEPG2_24H:BRD-K46123637-001-01-0:2.5088,CVD001_HUH7_6H:BRD-K46123637-001-01-0:10.0354,CVD001_HUH7_6H:BRD-K46123637-001-01-0:2.5088,CVD001_HUH7_24H:BRD-K46123637-001-01-0:10.0354,CVD001_HUH7_24H:BRD-K46123637-001-01-0:2.5088,CVD001_PHH_6H:BRD-K46123637-001-01-0:10.0354,CVD001_PHH_6H:BRD-K46123637-001-01-0:2.5088,CVD001_PHH_24H:BRD-K46123637-001-01-0:10.0354,CVD001_PHH_24H:BRD-K46123637-001-01-0:2.5088,DOS005_VCAP_6H:BRD-K46123637-001-01-0:5.02,DOS005_VCAP_24H:BRD-K46123637-001-01-0:5.02
5720,-0.709364414215,-1.23886442184,-0.224158376455,0.832484722137,-0.656271278858,-0.930292963982,0.27379617095,0.231674224138,-0.727316498756,0.160974383354,-1.23692703247,-0.118887603283,0.484249979258,0.215633139014
466,0.209179371595,-0.0716300308704,0.365748524666,0.392971694469,0.339450776577,0.769554674625,1.95817911625,0.723275601864,0.842145204544,0.0251215100288,1.28270232677,0.894092857838,-0.192350000143,-1.18567728996
6009,-0.0983355343342,-1.61243271828,-0.124778799713,-0.911145508289,0.332200586796,-0.166589528322,-0.31091606617,-0.112552411854,-0.0742971152067,0.31302690506,0.75449347496,0.785266160965,0.379850000143,-1.66806983948
2309,1.41174149513,-0.158622995019,1.44964563847,-0.0288842283189,-1.54638314247,-1.00180244446,0.989152431488,-0.0909451916814,-1.26860415936,0.087209649384,0.441832631826,-1.20580339432,1.53104996681,-0.033824890852
387,-0.813826203346,-0.687214136124,-0.774602651596,-0.454274058342,0.169531941414,-0.975832819939,-1.13395619392,0.373284757137,-0.56194704771,-0.306733459234,0.948442399502,0.729257047176,0.229599997401,0.268955469131
3553,-0.551814496517,0.0606333315372,0.0486936569214,0.454210042953,-0.0108705461025,0.273287981749,0.89170897007,-0.909980177879,0.362078309059,0.799196839333,-0.930063426495,-0.937690138817,-0.275449991226,0.761071920395
427,0.551699280739,0.497175961733,1.89194846153,0.81111484766,-0.772220432758,0.0187740027905,1.30764317513,0.287452965975,-0.465131700039,-1.08177638054,0.476405292749,-1.39274466038,-0.362550020218,-1.05040431023
5898,0.302453488111,-0.172867268324,0.533700227737,-0.120698623359,1.6398127079,-0.067163169384,1.4233353138,1.2894436121,0.198094636202,-0.682431221008,0.293180495501,-0.176907658577,0.546050012112,-0.784576058388
23365,-0.449804902077,0.644819200039,-0.675500810146,-0.275712877512,-0.223005250096,0.326610088348,-0.698028922081,0.532950520515,0.222783774137,-0.874784827232,0.126135602593,0.362380117178,-0.000150002539158,0.160480692983
6657,-0.49381557107,-0.15193502605,0.863097071648,-0.860930562019,-0.397347658873,-0.114131808281,-0.0726664960384,-0.669365346432,0.283481836319,0.549199521542,-1.24943184853,-1.62079286575,-0.038949996233,-0.471513271332
