rid,DOS025_VCAP_6H:BRD-K48945537-001-01-5:5,DOS025_VCAP_24H:BRD-K48945537-001-01-5:5,DOS047_A375_24H:BRD-K48945537-001-01-5:5,DOS047_A549_24H:BRD-K48945537-001-01-5:5,DOS047_HT29_24H:BRD-K48945537-001-01-5:5,DOS047_MCF7_24H:BRD-K48945537-001-01-5:5,DOS047_PC3_24H:BRD-K48945537-001-01-5:5,MUC.CP006_MCF7_6H:BRD-K48945537-001-01-5:10.0054,MUC.CP006_MCF7_6H:BRD-K48945537-001-01-5:3.3351,MUC.CP006_MCF7_6H:BRD-K48945537-001-01-5:1.1117,MUC.CP006_MCF7_6H:BRD-K48945537-001-01-5:0.3706,MUC.CP006_MCF7_24H:BRD-K48945537-001-01-5:10.0054,MUC.CP006_MCF7_24H:BRD-K48945537-001-01-5:3.3351,MUC.CP006_MCF7_24H:BRD-K48945537-001-01-5:1.1117,MUC.CP006_MCF7_24H:BRD-K48945537-001-01-5:0.3706
5720,-0.475799560547,0.195555657148,0.421776771545,-0.976556539536,-0.271951645613,-0.494356036186,-0.150682851672,0.848103880882,0.494928896427,0.16088449955,1.06849503517,1.13463437557,0.480255395174,0.0791371911764,-0.091663621366
466,-0.256750524044,1.20298457146,0.0846517086029,-0.521938920021,-0.972895860672,-0.988073825836,0.414555758238,0.496123731136,0.282491028309,0.21359193325,0.246391117573,0.242034584284,0.893242776394,-0.366728454828,-0.265834987164
6009,0.479174256325,-0.465027570724,0.086023889482,-1.09739947319,0.995515823364,0.61298263073,-0.167135298252,-0.493417173624,-0.628773808479,-1.10612642765,0.0181406345218,0.136692196131,-0.215141639113,0.399494290352,0.320445895195
2309,-0.692281246185,0.239436402917,0.442130982876,1.53356790543,-0.503862500191,0.851553201675,1.84019052982,-0.00902369618416,-0.826354026794,-0.0245681889355,-1.32199597359,0.141201406717,0.95108538866,-0.107454881072,-1.0475063324
387,0.0957162231207,-0.756963431835,0.0834638178349,-0.477887302637,1.59933280945,-0.344432502985,-0.600506484509,0.692462682724,-0.181960582733,0.0387713834643,-0.0100444341078,0.334604650736,-0.705054819584,0.572360217571,0.81090003252
3553,0.795101165771,-0.442545771599,1.31393003464,2.44932198524,0.0936154276133,0.752041220665,2.99521613121,-0.717157959938,-0.148607358336,-0.535610258579,-0.237762242556,0.189109668136,0.291810154915,0.414192408323,0.517492055893
427,0.282586723566,0.523822784424,-0.179956182837,-0.15012806654,-0.77860724926,-0.832995295525,0.530738949776,0.817561984062,0.628246665001,-0.062218554318,0.306500732899,0.744762778282,0.818013906479,0.676226735115,1.11310863495
5898,0.7868501544,0.175170093775,-0.0203440077603,-2.65707159042,0.462852060795,-0.250743329525,0.832439720631,-0.209526389837,-0.0461156368256,-0.416269779205,0.342197060585,0.0244189798832,1.43048751354,-0.33593994379,0.0210924819112
23365,0.172734946012,-1.00950717926,-1.66846346855,-0.980022192001,0.858395814896,-1.21158051491,2.007843256,-0.259399652481,0.303292691708,-0.25100556016,-0.222143173218,1.62157964706,1.07381105423,1.0372877121,0.65784573555
6657,0.720987915993,0.362172722816,-1.27896857262,2.41679811478,0.328797698021,0.594647526741,2.62870550156,0.529452502728,-0.109572663903,0.177851721644,0.58092546463,-0.38986736536,-0.135297566652,-0.0296206101775,-0.0446481220424
