rid,DOS055_A375_24H:BRD-K40963620-001-01-4:5,DOS055_A549_24H:BRD-K40963620-001-01-4:5,DOS055_HT29_24H:BRD-K40963620-001-01-4:5,DOS055_MCF7_24H:BRD-K40963620-001-01-4:5,DOS055_PC3_24H:BRD-K40963620-001-01-4:5,DOSBIO001_A375_24H:BRD-K40963620:10.0478,DOSBIO001_A549_24H:BRD-K40963620:10.0478,DOSBIO001_HT29_24H:BRD-K40963620:10.0478,DOSBIO001_MCF7_24H:BRD-K40963620:10.0478,DOSBIO001_PC3_24H:BRD-K40963620:10.0478,DOSBIO001_NEU_24H:BRD-K40963620:10.0478,DOSBIO001_NPC_24H:BRD-K40963620:10.0478
5720,0.312299996614,-0.477499991655,-0.52802503109,-0.136043503881,-4.44619989395,0.663708686829,-0.10473357141,-0.474926829338,-0.381932586432,-0.254442155361,-0.487300008535,0.984697878361
466,-0.684249997139,-0.0129500031471,-0.578067004681,-1.41371440887,0.33805000782,-1.49328863621,-0.822492003441,0.216779515147,1.01074743271,0.512646555901,0.169399991632,-0.406961679459
6009,0.0342499986291,-0.201300024986,-1.30978989601,-0.990325033665,-0.684050023556,-0.524689674377,-1.32673728466,-0.499266088009,-1.36716878414,0.761097609997,0.087650001049,-0.547228038311
2309,-0.462049990892,-0.241149991751,-0.854959726334,-0.910156130791,-0.315050005913,-1.18402898312,-0.312483340502,-0.142126768827,1.24548828602,-0.379233002663,0.0929499864578,-0.139705985785
387,0.158950001001,-0.245749995112,-0.628202795982,-0.152657777071,-1.23795008659,0.0620999783278,-0.667915940285,-0.498148620129,-0.660585582256,-0.619855940342,0.0969499945641,-0.893429338932
3553,2.03460001945,1.75429999828,1.25373888016,1.01538491249,0.626800000668,2.47336053848,0.765406191349,0.558155059814,-0.131132692099,0.820736765862,0.0176500082016,1.16701352596
427,0.52120000124,1.41079998016,0.209829032421,0.18887783587,0.412849962711,-0.100424788892,1.77693474293,-0.216181457043,-0.614982366562,0.227414220572,-0.69319999218,0.269785523415
5898,0.519150018692,0.111349999905,1.54960560799,0.291447341442,0.683800041676,-0.190244197845,0.297660708427,-0.133528187871,0.175249785185,0.0690860450268,1.49465000629,-0.033854842186
23365,1.64094996452,-0.0575000047684,0.21403580904,0.927714943886,-0.0137500017881,0.598503291607,2.03845500946,-0.306646108627,0.151227995753,0.590114533901,0.0674499869347,0.469465136528
6657,0.325249969959,0.462199985981,0.952949643135,0.261181801558,1.59430003166,0.852890908718,-0.0404183268547,-0.449553996325,-0.823053836823,-0.554296731949,0.302049994469,0.0484133064747
5054,0.52144998312,0.0392500162125,0.408070355654,0.034267693758,-0.562799990177,-0.350687563419,1.25289154053,0.740080475807,-0.0987535119057,-0.595563948154,-0.277200013399,-3.51031970978
3108,0.00789999961853,-0.35719999671,-0.565239548683,-1.79948306084,0.472049981356,-0.570247173309,-0.464450329542,0.227994307876,0.974520802498,0.289972066879,-0.0919499993324,-0.197959944606
1950,0.166549995542,0.263249993324,0.742374420166,0.790819585323,0.520599961281,-1.56066739559,0.475810229778,-0.258434861898,-0.978022217751,-0.298425495625,0.599399983883,-0.667409777641
351,0.834550023079,-1.25020003319,-0.574984788895,0.694702506065,0.245350003242,-0.402052044868,1.0373415947,0.807711243629,-0.859710872173,0.683916270733,-0.137600004673,0.815538287163
4846,0.52889996767,1.03294992447,-0.142007768154,0.650774598122,0.702650010586,0.255055516958,0.35311076045,-0.316350638866,-0.809054136276,0.973190546036,-0.315449982882,-0.580835044384
1452,0.407299995422,-0.855199992657,-0.27250957489,-0.635876715183,0.397850006819,-0.208273008466,0.120525628328,1.2215294838,0.0813996195793,0.567374587059,0.720950007439,-0.212681904435
4776,0.642899990082,0.819049954414,0.875696897507,1.25848138332,0.926649987698,1.29152548313,1.15730011463,-0.0525174289942,-0.330654859543,-0.0301789101213,0.368699997663,0.601928591728
6908,-0.261349976063,-0.912599980831,-1.56297206879,-0.931812405586,0.792349934578,0.211831063032,-1.21899020672,-0.315229475498,-0.0306421965361,-0.56462264061,-0.311849951744,-0.727507948875
672,0.117450006306,-0.0552000105381,1.35309934616,-0.672305166721,-0.25569999218,-0.0576739981771,-0.705687880516,0.525297284126,1.25672125816,0.657640218735,0.61259996891,0.5896666646
5710,0.112900003791,-1.07504999638,-1.19718599319,-0.986687421799,0.415549993515,0.883271813393,0.429637789726,0.34450083971,0.217788055539,-0.199703902006,-0.686399996281,0.132755160332
2115,0.244900003076,1.20724999905,1.07941758633,0.770937204361,1.33045005798,-1.19998347759,0.626328110695,-0.14942394197,-0.257675051689,-0.695078790188,-0.287400007248,-0.148829400539
7015,0.391550004482,0.0413000136614,0.251828402281,0.582364797592,0.601499974728,1.12007653713,-0.137290969491,-0.549212694168,-0.459655195475,-0.871694564819,0.634500026703,0.541789531708
8726,0.371000021696,-0.266449987888,-0.835849046707,-0.855969190598,0.0888000130653,0.451186656952,-1.60333037376,0.07410171628,-0.196044042706,-0.866816401482,-1.10350000858,0.708768248558
2185,0.502950012684,0.758749961853,0.643095970154,1.24734687805,0.745999991894,1.66049349308,1.30674445629,0.164369881153,-1.11116325855,-0.507789254189,0.592950046062,0.988935470581
3315,0.168799996376,-1.56585001945,-1.41375279427,-1.57824063301,-0.796899974346,0.545005321503,-0.235751613975,-1.58845925331,0.36036631465,0.0381126403809,-0.713199973106,0.29630163312
5289,-0.0199000239372,0.975100040436,1.45434451103,0.942990899086,1.13324999809,0.0706303194165,0.716032266617,0.0862106531858,-1.28584825993,-0.202200829983,0.537349998951,-0.741605699062
868,-0.668200016022,0.0716999769211,0.427197217941,-0.14124339819,0.276650011539,-0.281632810831,1.43540859222,0.16996344924,0.287489622831,0.202211096883,-0.0731000006199,-0.0728989318013
1677,0.245149984956,0.282299995422,0.11633631587,0.200298160315,1.33899998665,2.2707221508,0.84842479229,-0.0967408716679,0.0407660081983,-0.777066707611,0.103100001812,0.61410266161
7043,0.729849994183,0.577350020409,0.441251397133,0.704457700253,0.239899992943,2.16221427917,0.784517109394,0.705832540989,0.475942105055,-0.389612287283,1.33115005493,1.43576550484
5613,0.261299997568,0.857599973679,0.489438891411,0.472716450691,0.28955000639,0.80904173851,1.31188011169,0.47559773922,-0.232008561492,0.234418466687,0.318649977446,-0.00266936421394
595,0.949699997902,-1.29054999352,-1.01819717884,-0.16166049242,-0.755050003529,-0.229341417551,-0.293589711189,-0.455278396606,0.528447210789,-0.18429261446,0.385549992323,0.325245827436
