rid,CPC004_A375_6H:BRD-K68507560-003-15-4:10,CPC004_HA1E_6H:BRD-K68507560-003-15-4:10,CPC004_HA1E_24H:BRD-K68507560-003-15-4:10,CPC004_HCC515_6H:BRD-K68507560-003-15-4:10,CPC004_HCC515_24H:BRD-K68507560-003-15-4:10,CPC004_HEPG2_6H:BRD-K68507560-003-15-4:10,CPC004_HT29_6H:BRD-K68507560-003-15-4:10,CPC004_MCF7_6H:BRD-K68507560-003-15-4:10,CPC004_PC3_6H:BRD-K68507560-003-15-4:10,CPC004_PC3_24H:BRD-K68507560-003-15-4:10,CPC004_VCAP_6H:BRD-K68507560-003-15-4:10,CPC004_VCAP_24H:BRD-K68507560-003-15-4:10,CPC017_A375_6H:BRD-K68507560-003-15-4:10,CPC017_A549_6H:BRD-K68507560-003-15-4:10,CPC017_A549_24H:BRD-K68507560-003-15-4:10,CPC017_ASC_24H:BRD-K68507560-003-15-4:10,CPC017_HEPG2_6H:BRD-K68507560-003-15-4:10,CPC017_HT29_6H:BRD-K68507560-003-15-4:10,CPC017_MCF7_6H:BRD-K68507560-003-15-4:10,CPD001_MCF7_6H:BRD-K68507560-003-19-6:10,CPC017_MCF7_24H:BRD-K68507560-003-15-4:10,CPD001_MCF7_24H:BRD-K68507560-003-19-6:10,CPC017_NPC_24H:BRD-K68507560-003-15-4:10,CPD001_PC3_24H:BRD-K68507560-003-19-6:10,CPC017_PHH_24H:BRD-K68507560-003-15-4:10,CPC017_SKB_24H:BRD-K68507560-003-15-4:10
5720,0.324723124504,0.285142660141,0.357451736927,-0.405766695738,0.307592153549,0.381216645241,0.647478282452,0.58667331934,0.527325868607,0.779114603996,0.74676322937,0.494744151831,-0.493357330561,-0.314164489508,-0.757952570915,-0.434925019741,-0.159953266382,-0.811116933823,0.180073261261,-0.957479596138,-0.660302400589,-1.44709956646,-0.15603299439,-0.345700025558,-0.160870850086,-0.15379999578
466,-0.563409805298,-0.0262974724174,0.854595780373,0.305300027132,-0.00257331691682,0.596438407898,-0.434452861547,0.0673677027225,0.472963184118,0.748745799065,1.0267739296,0.52783882618,-0.421938449144,-0.252965837717,1.08481526375,-0.694324970245,-1.17770123482,0.117276035249,0.056256622076,-1.49388337135,-0.33959120512,0.322361201048,-0.289178729057,0.402633339167,1.57900559902,-1.23710000515
6009,0.419519245625,-0.296795874834,-0.514589250088,0.822700023651,-1.09177601337,0.0468845814466,0.653300762177,0.509890675545,0.761582493782,0.0870132297277,0.85830527544,-0.270278841257,1.02422690392,-0.383003652096,0.671808719635,-0.00322499871254,0.543761670589,-0.619127929211,0.267663985491,-0.19348654151,0.259364783764,0.602037012577,0.135507851839,0.0665666759014,0.624025225639,0.37349998951
2309,-0.252390861511,-0.138819992542,0.01509193331,0.367633342743,0.805543422699,0.745909392834,0.194861516356,-0.442945212126,0.00432027131319,0.609725832939,0.0124728763476,-0.0959345549345,0.319215208292,-0.0449943989515,4.67492341995,-0.123525008559,-0.20826625824,0.256798297167,1.07685923576,0.438712656498,-0.250888437033,-0.103889100254,-0.418725550175,0.24676668644,0.256549954414,0.226899981499
387,-0.578001201153,-1.37186861038,-0.0564973801374,-0.25223338604,-0.539121925831,0.199953049421,-0.604376137257,0.684602379799,-0.179048955441,0.400000333786,-0.291781365871,0.496883749962,0.532611429691,-0.608713328838,0.454184889793,0.0248749963939,-0.351194858551,0.179178327322,0.0937045812607,-0.125463023782,-0.452096521854,0.632207751274,-1.28279292583,0.116366691887,-0.847950637341,-0.546800017357
3553,-0.857526004314,-0.152203038335,-0.0903813391924,-0.281300008297,-0.518482208252,-0.925890505314,0.166112795472,1.84356081486,-0.270784020424,-0.162604287267,-0.0104054659605,-0.399171978235,-0.192566871643,0.962336838245,-0.350003540516,0.414150029421,-0.399352073669,0.25455352664,-0.674991905689,0.380317389965,0.583515048027,-0.126373127103,-0.774650454521,0.703600049019,-0.574593365192,0.586950004101
427,-0.277716130018,-0.82652926445,-0.258475869894,0.40643337369,-0.492357820272,0.625790715218,0.550970315933,0.368594765663,-0.435767263174,0.497400969267,0.401134431362,1.05453586578,0.548238873482,0.136530905962,0.783905982971,0.388099998236,0.233552753925,0.765714228153,-0.487339913845,-1.02611780167,0.467253416777,0.292477339506,-0.107160814106,-0.631666660309,1.24259340763,-0.403050005436
5898,0.00449921190739,0.135547950864,-0.321906387806,-0.240166649222,-1.0498470068,0.278007864952,-0.162255212665,0.445200443268,-1.22352743149,-0.20269626379,-0.384777069092,0.315013408661,0.0551033690572,-2.6169552803,0.685330152512,-1.18379998207,-0.122564017773,-0.0873221457005,-0.0326769351959,0.730423510075,-0.54583632946,0.554565966129,-0.119747668505,0.557133316994,-0.444296956062,-0.523699998856
23365,-0.585653185844,-0.785414636135,-0.772501349449,-0.188933342695,-0.0998340249062,-0.0607345886528,-0.23160302639,-0.174571201205,-0.734119355679,-0.631005167961,0.49350464344,-0.846020698547,0.945132613182,-1.38374507427,0.795864582062,-0.702024996281,0.259753346443,-0.175216197968,0.453103899956,-0.0600112527609,2.35493803024,1.691218853,-0.0251227617264,-0.830233335495,-0.813743591309,0.3382999897
6657,0.304305970669,0.0405471548438,-1.61509215832,0.533466696739,-0.323128670454,-1.08316004276,-0.101585477591,-0.852566242218,-1.1376888752,-1.1367598772,-0.830429792404,0.0106702148914,0.634312868118,1.38150811195,-1.84572029114,0.800425052643,-0.377236068249,0.901971459389,-1.05717182159,-0.548736572266,0.418960928917,-0.869982242584,-0.137639835477,-0.17543335259,0.120437182486,-0.187599986792
