rid,DOS020_VCAP_6H:BRD-K65065275-001-01-6:5.02,DOS020_VCAP_24H:BRD-K65065275-001-01-6:5.02,DOS043_A375_24H:BRD-K65065275-001-01-6:5.02,DOS043_A549_24H:BRD-K65065275-001-01-6:5.02,DOS043_HT29_24H:BRD-K65065275-001-01-6:5.02
5720,0.260867893696,0.506800949574,-1.83144593239,-0.807299971581,-0.785609662533
466,0.725688278675,-0.127023428679,-0.149341508746,-0.472800016403,-1.25752043724
6009,0.371367126703,1.91184258461,-0.294219881296,-0.236600011587,0.218506321311
2309,-0.545409739017,-0.906072735786,0.376820266247,0.095349997282,1.59300470352
387,1.27771174908,0.557626962662,-0.362896740437,-0.997749984264,2.54047727585
3553,-0.231832504272,-0.663712978363,-0.448357790709,0.548600018024,-0.741074979305
427,0.549697995186,0.0932948738337,-0.387863218784,0.0752000063658,-0.779545903206
5898,-1.23345279694,-0.629554748535,-0.170284628868,0.0731499791145,-1.74845278263
23365,-0.21505215764,0.719138383865,-0.345412433147,-0.303750008345,-0.577289760113
6657,-0.246742963791,-1.05155408382,0.619515359402,0.00214999914169,0.446656823158
5054,-0.811984062195,-0.428300797939,-0.615108668804,0.111000001431,0.920090317726
3108,-0.818832039833,-0.171426266432,0.115669645369,1.29774999619,0.341428875923
1950,-1.19669079781,-1.03063368797,-0.226642727852,-0.0965999960899,-1.50580894947
351,-0.774279713631,-0.496829390526,1.27328491211,1.16780006886,-0.755838274956
4846,1.72596430779,0.916413426399,-0.661254525185,0.679450035095,0.809022724628
1452,0.250203490257,-1.69598913193,0.650990962982,-1.13470005989,-0.115701928735
4776,0.254479527473,-0.493858337402,0.57818198204,1.23549997807,0.675179958344
6908,0.86110574007,0.653453946114,0.317264437675,-0.245999991894,-0.292389959097
672,-0.136633858085,-0.713644266129,0.155668854713,-0.151250004768,0.449594646692
5710,0.728878200054,-0.208659112453,-0.201902791858,-0.078350007534,0.946933627129
2115,-0.845849990845,-0.407514929771,0.63530755043,0.715750038624,0.96938419342
7015,-0.152588427067,-0.712818861008,-0.0117022097111,1.34474992752,-0.753084421158
8726,0.710228204727,-0.403192669153,-1.37055552006,-1.18924999237,-0.858503639698
2185,-0.312404364347,-1.14189219475,0.38093021512,1.27419996262,0.229118093848
3315,0.190704166889,-0.2690564394,0.151468247175,-0.552950024605,0.114270374179
