rid,CPC001_HA1E_6H:BRD-A45140972-060-02-4:10,CPC001_HA1E_24H:BRD-A45140972-060-02-4:10,CPC001_HCC515_6H:BRD-A45140972-060-02-4:10,CPC001_HCC515_24H:BRD-A45140972-060-02-4:10,CPC001_PC3_6H:BRD-A45140972-060-02-4:10,CPC001_PC3_24H:BRD-A45140972-060-02-4:10,CPC001_VCAP_6H:BRD-A45140972-060-02-4:10,CPC001_VCAP_24H:BRD-A45140972-060-02-4:10,CPC017_A375_6H:BRD-A45140972-060-02-4:10,CPC017_A549_6H:BRD-A45140972-060-02-4:10,CPC017_A549_24H:BRD-A45140972-060-02-4:10,CPC017_ASC_24H:BRD-A45140972-060-02-4:10,CPC017_HEPG2_6H:BRD-A45140972-060-02-4:10,CPC017_HT29_6H:BRD-A45140972-060-02-4:10,CPC017_MCF7_6H:BRD-A45140972-060-02-4:10,CPC017_MCF7_24H:BRD-A45140972-060-02-4:10,CPD002_MCF7_24H:BRD-A45140972-060-06-5:10,CPC017_NPC_24H:BRD-A45140972-060-02-4:10,CPC017_PHH_24H:BRD-A45140972-060-02-4:10,CPC017_SKB_24H:BRD-A45140972-060-02-4:10,CPD002_MCF7_6H:BRD-A45140972-060-06-5:10,CPD002_PC3_6H:BRD-A45140972-060-06-5:10,CPD002_PC3_24H:BRD-A45140972-060-06-5:10
5720,0.60215741396,0.489040702581,0.0285499989986,-0.362293988466,-0.755483388901,0.431154698133,0.419244885445,0.351122319698,-0.461500018835,-0.415589779615,-0.150665342808,-0.333112388849,-0.27475002408,-0.947952330112,0.0967684239149,0.716800868511,0.616940617561,-0.0335876196623,0.766638457775,-0.18569996953,0.584179639816,0.0259108543396,0.405601292849
466,-0.141985863447,-0.143789961934,-0.790599942207,0.370033949614,0.286201000214,0.612579762936,0.76088231802,-0.1075720191,-1.19400000572,-0.509250640869,-0.288307338953,-0.423816233873,-0.577550292015,-1.28969120979,0.715508460999,-0.1344691962,0.466054439545,-1.41953396797,-1.07915151119,0.489899992943,1.52793896198,0.495489180088,-0.202814161777
6009,-0.651423215866,-0.357600480318,-0.104699984193,0.11690326035,-0.225327923894,-0.222322896123,-0.952102899551,0.22411262989,-0.737949967384,-0.57306343317,0.29090321064,-0.91048938036,-0.102126330137,-0.231848150492,-0.628600120544,1.40140235424,0.836128294468,-0.37585324049,-0.875589609146,-0.596300005913,1.12002980709,0.0238326787949,-1.0099902153
2309,-0.279796510935,0.212334915996,0.13789999485,0.0898022130132,-0.246537700295,-0.249388203025,-0.0755942761898,-0.0139495283365,-0.0343499779701,3.51695847511,-0.515795350075,0.39467138052,-0.208935469389,0.0495860129595,-0.542968630791,-0.489948242903,0.064943857491,0.498304456472,-0.540124237537,-0.908599972725,-0.477210968733,0.172030061483,2.89557766914
387,-0.658347725868,-0.175724357367,-0.19580000639,-0.271499842405,0.408414006233,-0.653648138046,0.125675678253,-0.216264024377,-0.00854999944568,-0.787128329277,-0.693525612354,0.022507250309,-0.588863611221,-2.19172096252,-0.249162197113,0.388934165239,0.578043460846,0.106913343072,0.815150439739,-0.185400009155,1.25089740753,-0.363389581442,-1.35829889774
3553,0.280818969011,-0.596960306168,-1.45694994926,-1.0127414465,0.43795633316,0.744382143021,-1.07544088364,-0.389931678772,0.23409999907,0.644807338715,0.873295307159,0.375003278255,0.260836869478,0.89541643858,0.874481022358,-0.354306131601,0.211620241404,0.416302680969,1.77227640152,0.0585999935865,0.868171453476,0.719216227531,0.0429437160492
427,-0.761297941208,0.588924050331,0.131750002503,0.462388157845,-0.664152681828,0.700350701809,0.341269403696,0.611299157143,0.750549972057,0.425302326679,0.688011944294,0.143829926848,0.13732226193,-0.0102849137038,0.116562083364,-0.379256427288,-0.355589449406,0.0585418380797,0.24872174859,0.55965000391,1.05723452568,-0.264252215624,-0.124547585845
5898,-0.10829539597,0.0518573075533,-0.105100005865,0.414654135704,0.239143922925,0.749412000179,0.539061188698,0.355654597282,-0.70324999094,0.24669829011,0.286576986313,-0.151306629181,0.127177029848,-0.841035962105,1.22778379917,-3.210460186,0.705383658409,-0.084365978837,-0.73769903183,0.822499990463,-0.0968202576041,-0.289409041405,0.64908862114
23365,-0.296951144934,0.118077509105,-0.0447500050068,-0.164493381977,-0.429167449474,-0.823018729687,-0.195468425751,0.142881512642,0.831950008869,-0.315227687359,-0.060077957809,0.370466321707,1.23939406872,0.168138638139,-0.168028786778,0.438881039619,-0.0671497136354,0.533408880234,-0.144271090627,0.722299993038,0.131561428308,-0.707033157349,-0.215070530772
6657,0.367238491774,0.20539072156,-0.898849964142,-0.266820847988,-0.51712167263,0.0675988644361,-0.999519944191,-0.122758902609,0.988250017166,0.352209061384,1.12198472023,0.240632280707,0.180049926043,0.796081423759,0.899739146233,-1.01730775833,-0.0178574603051,0.272630423307,0.446011006832,-0.671249985695,0.423418581486,-0.707743287086,0.158945843577
