rid,CPC001_HA1E_6H:BRD-K83637872-001-01-7:10,CPC001_HA1E_24H:BRD-K83637872-001-01-7:10,CPC001_HCC515_6H:BRD-K83637872-001-01-7:10,CPC001_HCC515_24H:BRD-K83637872-001-01-7:10,CPC001_PC3_6H:BRD-K83637872-001-01-7:10,CPC001_PC3_24H:BRD-K83637872-001-01-7:10,CPC001_VCAP_6H:BRD-K83637872-001-01-7:10,CPC001_VCAP_24H:BRD-K83637872-001-01-7:10,CPC016_A375_6H:BRD-K83637872-001-01-7:10,CPC016_A549_6H:BRD-K83637872-001-01-7:10,CPC016_A549_24H:BRD-K83637872-001-01-7:10,CPC016_ASC_24H:BRD-K83637872-001-01-7:10,CPC016_HEPG2_6H:BRD-K83637872-001-01-7:10,CPC016_HT29_6H:BRD-K83637872-001-01-7:10,CPC016_MCF7_6H:BRD-K83637872-001-01-7:10,CPC016_MCF7_24H:BRD-K83637872-001-01-7:10,CPC016_NEU_24H:BRD-K83637872-001-01-7:10,CPC016_NPC_24H:BRD-K83637872-001-01-7:10,CPC016_SKB_24H:BRD-K83637872-001-01-7:10
5720,-0.18146045506,-0.289220690727,-0.645600020885,-0.0411128550768,-0.0377465821803,-0.078030474484,-0.788938522339,0.355771511793,0.0708090364933,0.347249984741,0.120700001717,-0.569795072079,0.866671919823,-0.664443850517,0.00682610273361,0.269630998373,1.03840994835,-0.215589523315,-0.159466683865
466,0.50929069519,0.0456163659692,-0.458649992943,0.251049458981,-0.135870680213,-1.06854259968,-0.409250617027,0.39215657115,0.0922091007233,-0.337549984455,0.0485666617751,0.087868720293,-0.604664564133,-0.0657662823796,-1.2952682972,-0.321659237146,-0.710253477097,1.32005572319,-0.706033289433
6009,-0.75292634964,-0.0506307259202,0.124950021505,-0.486173957586,-0.280020266771,-0.450614452362,-1.39987528324,-0.497269958258,-0.189111381769,-1.59969997406,-0.34566667676,0.227587908506,-0.112660348415,-0.651952147484,-0.62029671669,0.223223686218,-1.17471635342,0.452576458454,-0.535666704178
2309,0.266176104546,0.1467217803,-0.253499984741,-0.407932072878,-0.140779823065,0.992471814156,-0.209341496229,0.499521672726,0.141214549541,-1.65525007248,0.2160333395,-0.466250538826,0.338762164116,0.235110044479,-0.185634657741,-0.241099178791,-0.712823569775,0.422698199749,-0.791266679764
387,-0.876629710197,-0.283630609512,-0.0478999987245,-0.0895257666707,0.0819438621402,-0.120512463152,-2.11591506004,-0.25877019763,0.359515488148,-0.61669999361,-0.234766662121,-0.576653897762,0.820153295994,0.2240909338,-0.311752617359,-0.304379165173,-0.0867765247822,-0.160713255405,-0.235200002789
3553,-0.381712317467,-0.839346647263,-0.150099992752,-0.772928953171,0.965770125389,0.281452536583,0.14386755228,-0.48362621665,0.282433629036,2.42129993439,0.47080001235,3.82112288475,-0.375558495522,0.161279112101,0.0152060836554,-0.284058958292,0.154759258032,-0.205837205052,0.379233300686
427,-0.310859680176,-0.333837777376,-0.396849989891,-0.76964110136,0.547424435616,-0.0847276225686,-0.0740639343858,-0.114593416452,-0.116070434451,0.100600004196,-0.106033325195,1.07028746605,-0.557969391346,0.543962955475,-0.788877189159,0.0851463377476,0.310619175434,0.582831382751,0.279800057411
5898,-0.191156759858,-0.255598217249,-0.0842500030994,-1.0240650177,-0.407242268324,-1.05731892586,-0.105805546045,0.000366404652596,-0.283707767725,-1.39294993877,-0.132533341646,-1.14226007462,-0.214730456471,-0.0601236075163,-1.0420923233,-1.03705239296,0.560025691986,-1.87789332867,0.531200051308
23365,0.282678484917,0.357144922018,-0.0302499998361,0.967547297478,0.757388532162,1.23341572285,-0.288232415915,-0.61429131031,0.501490831375,-0.469249993563,-0.372266680002,-0.606993257999,-0.186310783029,0.267592668533,-0.328386187553,0.20571129024,0.729283630848,-0.0500974319875,0.299566656351
6657,-0.772277712822,-0.64995187521,0.238649994135,0.573732733727,-0.107581168413,-0.472172409296,1.01080048084,-0.665690243244,0.320109397173,1.00650000572,0.0794666707516,-0.230051189661,-0.901600599289,0.7233325243,0.465414226055,0.037851549685,-0.878570437431,0.363296747208,0.128100007772
5054,-0.12145845592,0.661733984947,-0.530450046062,0.25925758481,0.0476968288422,0.576773226261,-0.118869110942,0.195945948362,-1.18838000298,0.126400008798,0.741233348846,1.0282933712,0.40003234148,0.732796192169,-0.198536068201,0.809654951096,1.253287673,1.65561306477,0.389233350754
3108,-0.315765529871,-0.0266578495502,-0.767599999905,-0.0989568382502,-0.300118625164,0.172273546457,-0.0972298383713,0.812435865402,-0.105030298233,-0.692049980164,0.00899998098612,-0.97412365675,0.796907305717,-0.351941525936,-0.694647908211,-0.476618826389,0.145955115557,2.91966819763,0.258333325386
1950,-0.928644120693,0.0316084176302,-0.552799999714,-1.33637177944,-0.787217199802,0.272603422403,0.462192833424,-0.0947570279241,0.159858256578,0.759450018406,0.55483341217,0.226628094912,-0.420633107424,0.909851610661,-0.498432487249,-0.183115839958,0.382610499859,-0.624559521675,-0.479499995708
351,-1.22820520401,-0.259678781033,0.306549996138,0.0607032477856,-0.441711515188,-1.26581788063,-0.320045560598,-0.0536887198687,-0.275401711464,-0.0522000193596,0.407133311033,-0.201886191964,-0.257703691721,0.519411146641,1.06081724167,0.721586108208,0.000416507216869,-0.965362668037,0.572866678238
4846,-0.295462667942,0.101021520793,0.467799991369,-0.869957268238,-1.80263257027,-0.345945715904,0.184317141771,1.08728206158,0.203113228083,-0.610550045967,-0.713666677475,-0.364113330841,0.593726694584,1.48685669899,-0.631890296936,-0.144151389599,0.129434913397,-0.533905744553,-0.625666677952
1452,0.841440558434,0.254106342793,0.504000008106,0.238377481699,-0.706694662571,0.253131002188,-0.663931071758,0.255633234978,0.732173681259,-0.0905500054359,-0.021033346653,-0.0817733258009,-0.62512922287,-1.23512005806,-2.00214505196,-0.79371380806,-0.374857485294,-0.290893912315,0.390166699886
4776,-1.19068551064,-0.426304906607,-0.448850005865,-0.888087034225,0.00371182337403,-0.747669816017,0.0023745149374,-0.47994235158,0.195448771119,2.36249995232,0.348900020123,0.555302262306,-0.535057127476,1.04658997059,-0.277648091316,1.78147780895,1.04599118233,-0.174345821142,-0.0747666358948
6908,0.218019619584,0.3964202106,-0.750349998474,0.0682892054319,-0.14974796772,-0.211832940578,-0.647606909275,0.21244494617,0.291963487864,-0.296649992466,-0.16413334012,0.335300922394,0.497723132372,-0.718627691269,-0.452340841293,0.200510412455,-1.13625359535,0.744728684425,-0.535366654396
672,0.0280129015446,1.27024710178,-0.165300011635,-0.000928893685341,0.0091284904629,-0.122491031885,0.17986215651,0.185578107834,0.295987010002,-0.705750048161,1.07583332062,0.66773545742,0.477558553219,-0.223785623908,1.29319429398,0.0424150750041,1.06051266193,0.112733453512,0.954233407974
5710,0.723172485828,0.170983329415,-0.203149989247,1.0060942173,-0.804679334164,0.226041853428,-0.331257522106,0.139040708542,0.258574545383,-0.397500008345,-0.162900015712,0.350674182177,0.737219333649,-1.75822842121,-0.249668225646,0.386877477169,-0.510077416897,0.79568374157,0.25323331356
