rid,DOS029_VCAP_24H:BRD-K42006110-001-01-7:5.03,DOS033_A375_24H:BRD-K42006110-001-01-7:5.03,DOS033_A549_24H:BRD-K42006110-001-01-7:5.03,DOS033_HT29_24H:BRD-K42006110-001-01-7:5.03,DOS033_MCF7_24H:BRD-K42006110-001-01-7:5.03,DOS033_PC3_24H:BRD-K42006110-001-01-7:5.03,ERG015_PC3_24H:BRD-K42006110-001-01-7:10.0518,ERG015_PC3_6H:BRD-K42006110-001-01-7:10.0518,ERG015_VCAP_24H:BRD-K42006110-001-01-7:10.0518,ERG015_VCAP_6H:BRD-K42006110-001-01-7:10.0518
5720,0.908709526062,-0.315134525299,0.516427874565,0.173999935389,-0.954593420029,0.431199997663,1.14497160912,0.484680175781,0.065402045846,0.491285741329
466,0.753809332848,-0.469611734152,-1.16176259518,-0.595299899578,-0.429902166128,-1.07700014114,0.498176157475,0.521976053715,-0.0307198166847,0.460971802473
6009,-0.862864732742,0.805471718311,-1.23464071751,-0.831134200096,-0.586436986923,0.249666675925,-0.116534724832,0.352789759636,1.70476806164,0.164629027247
2309,-0.530577421188,0.298747897148,1.30391085148,-0.468302845955,-0.25131124258,-0.15640000999,-0.893938720226,-0.189994901419,-0.676722288132,-0.270641177893
387,-0.0926744118333,0.464813917875,-0.980223298073,-0.906629681587,-0.553835630417,-0.151466697454,-0.364418298006,0.133032634854,0.85631531477,0.588909864426
3553,-0.135697364807,0.116180598736,0.463463544846,0.0478244423866,1.7702023983,0.0825666636229,0.0184178352356,-0.0936489254236,-0.978089511395,-0.466144651175
427,0.512535572052,0.0446906536818,-0.134296610951,-1.15730988979,-0.594945669174,-0.327399969101,-0.0175668671727,0.35234028101,0.449944913387,0.684937298298
5898,-3.00902891159,-0.441319346428,-0.223878189921,-0.270070701838,0.341622114182,0.153899997473,0.402115404606,0.554483890533,-1.70379972458,-0.368853807449
23365,-0.843922436237,-0.711288452148,-1.36568820477,-0.951918959618,-0.678678929806,-0.969200015068,-0.994276702404,-0.0638284608722,-0.951575636864,0.369910538197
6657,-0.473070442677,-0.334116131067,0.692479550838,0.503721058369,1.09972131252,0.0243999958038,-0.310412079096,0.467392981052,-0.81855225563,-1.09000265598
5054,1.71852993965,0.0384437665343,-0.766939163208,-1.08416080475,1.60741257668,-0.734300017357,-0.102279752493,0.0911677926779,-1.16104233265,-0.0222328752279
3108,0.0342462584376,0.0367564335465,0.83715993166,-0.368507862091,-0.613498389721,-3.10436677933,-0.519667506218,-1.51638913155,1.0313526392,0.924480259418
1950,0.173905313015,0.316951751709,2.31123065948,0.290299266577,0.273530930281,0.092600017786,-0.237901106477,-0.544291377068,-0.869665026665,-0.551456868649
351,-0.709242761135,0.363990396261,1.10720193386,-0.851977467537,0.484504967928,0.362066656351,-0.485512822866,-0.577149987221,0.369870960712,-0.572811245918
