rid,DOS026_VCAP_6H:BRD-K33909884-001-01-7:5.06,DOS026_VCAP_24H:BRD-K33909884-001-01-7:5.06,DOS048_A375_24H:BRD-K33909884-001-01-7:5.06,DOS048_A549_24H:BRD-K33909884-001-01-7:5.06
5720,-0.452346384525,-0.41644769907,-1.06949996948,0.0993411615491
466,-1.23615527153,-0.121299400926,1.38954997063,-0.398028343916
6009,0.576842963696,0.632243037224,0.140149980783,-0.140366286039
2309,1.54970300198,-0.52672457695,1.28509998322,0.345481783152
387,1.15342712402,0.190574929118,-0.189999997616,0.365447282791
3553,0.322188556194,-0.24100074172,-0.373849987984,-0.950514018536
427,-0.372472643852,0.327920585871,1.63785004616,-0.642306387424
5898,-1.05710375309,-0.155767887831,-0.0901499986649,-1.03751027584
23365,-0.304536163807,0.328863441944,-0.386500000954,2.20181751251
6657,-0.676837325096,-0.355665057898,-0.0768499970436,0.140329807997
5054,0.52463889122,1.29042434692,-0.0201499909163,-1.27033829689
3108,0.558086037636,-0.605500042439,0.811399996281,0.874336719513
1950,0.901855230331,-1.1592053175,-0.403550028801,1.15908396244
351,0.574155688286,0.221465855837,0.344000011683,-0.0841984301805
4846,0.00267772376537,0.420878320932,0.0163500010967,-0.331556469202
1452,0.514487564564,-1.06702411175,0.315099984407,-1.13425087929
4776,0.517194449902,-0.646631836891,0.243050038815,-0.196526616812
6908,0.27493545413,3.75969934464,-0.770500004292,-0.286232978106
672,-0.438666135073,-0.232516616583,-0.509249985218,1.34246098995
5710,0.254534482956,0.308310210705,0.553300023079,0.292259603739
2115,0.282552540302,-0.371906191111,1.16065001488,-0.32730910182
7015,0.703567743301,-0.823275208473,-0.647199988365,0.319717496634
8726,-0.714831054211,0.430133521557,0.875650048256,-0.572454452515
2185,0.974744558334,-0.172989293933,-0.139399975538,-0.115234732628
3315,0.702105760574,2.8444685936,0.367399990559,0.237160876393
5289,-0.966533064842,-0.222333028913,-0.303399980068,-0.975675582886
868,-0.501754641533,-0.293421208858,-0.42919999361,-1.55601882935
