rid,DOS028_VCAP_6H:BRD-M87776818-001-01-4:5,DOS028_VCAP_24H:BRD-M87776818-001-01-4:5
5720,-0.0462682843208,2.14817476273
466,-0.192328751087,2.84462451935
6009,0.901854157448,1.46763277054
2309,-2.57176566124,-1.93079829216
387,0.310913473368,-0.354987442493
3553,1.16138124466,-0.0383228212595
427,0.0482887327671,0.306305646896
5898,-0.188464328647,-2.88938379288
23365,-0.0188418626785,-1.5295125246
6657,0.72635602951,0.486578047276
5054,-0.229229837656,0.271842747927
3108,-0.442446708679,-0.35238134861
1950,0.793556213379,-0.0850778445601
351,0.78093880415,0.625075995922
4846,0.389903753996,0.623475074768
1452,0.043725643307,0.361112892628
4776,2.15173435211,0.102646917105
6908,-0.854593873024,0.0609839260578
672,-1.32667779922,-0.314285039902
5710,0.249141231179,-0.0999070852995
2115,0.0570859014988,1.08006024361
7015,1.1038018465,0.785166501999
8726,-1.30065953732,-0.524947881699
2185,0.93865019083,-0.165908932686
3315,0.345614492893,0.27303430438
5289,-0.447685658932,0.298044979572
868,0.593850314617,1.81222093105
1677,0.243342235684,0.308064848185
7043,0.860822141171,-0.156767055392
5613,1.38973927498,-0.0121215358377
595,-1.1151856184,-1.5007032156
4793,1.10289716721,0.183874189854
2736,0.785668075085,0.713210523129
5290,2.33601498604,0.730118274689
6194,0.717691898346,0.43585050106
1676,1.08844065666,-0.0929033905268
23512,-0.973722040653,-3.59731698036
148022,-0.597130119801,-1.57530117035
1906,0.805122852325,0.475683420897
8878,-1.62708497047,1.82928955555
3091,0.380038768053,0.212640017271
5743,1.27015399933,0.476679235697
5321,0.669202148914,0.528110742569
4144,0.394083023071,0.555711627007
1981,-0.677884817123,-0.837100863457
695,1.02996599674,-0.579002022743
10398,0.129931002855,1.08712744713
5708,1.03001904488,-1.29075169563
1213,-1.18066382408,-0.799285411835
226,0.554183125496,-1.4883723259
6777,-0.283249676228,0.483397185802
2113,0.895580649376,0.990466237068
3329,-0.513649880886,-0.20334097743
1050,-0.556049346924,-0.645231962204
9491,1.10353159904,2.01485347748
22926,0.935356616974,-0.21064683795
5899,0.430943965912,-0.0160582363605
5467,1.54999446869,-1.1781796217
6774,-0.0418329238892,-1.01369166374
1788,1.13916420937,1.04664564133
5921,-0.101402550936,4.42286014557
5721,0.123514935374,1.19549965858
2263,1.53303039074,0.918329238892
808,1.81523728371,-0.93082088232
30001,-0.377082794905,-1.39882028103
348,1.01457047462,1.75717747211
30849,-0.266497850418,-1.06988823414
1454,-0.444406062365,-1.24818813801
6500,0.67895424366,0.0535820424557
5627,-0.0394853949547,-0.686964988708
5715,-1.16479218006,-0.852011084557
4791,0.803797245026,0.273952454329
56924,-0.105597540736,0.248618066311
2690,-0.576450824738,0.306880533695
1019,-0.660506010056,-0.30785831809
51422,0.635546326637,1.17673540115
5788,0.590393185616,0.709434211254
