rid,CPC020_A375_6H:BRD-K48168960-001-14-3:10,CPC020_A549_6H:BRD-K48168960-001-14-3:10,CPC020_HA1E_6H:BRD-K48168960-001-14-3:10,CPC020_HCC515_6H:BRD-K48168960-001-14-3:10,CPC020_HT29_6H:BRD-K48168960-001-14-3:10,CPC020_MCF7_6H:BRD-K48168960-001-14-3:10,CPD002_MCF7_24H:BRD-K48168960-001-12-7:10,CPC020_MCF7_24H:BRD-K48168960-001-14-3:10,CPC020_PC3_6H:BRD-K48168960-001-14-3:10,CPC020_PC3_24H:BRD-K48168960-001-14-3:10,CPC020_VCAP_6H:BRD-K48168960-001-14-3:10,CPC020_VCAP_24H:BRD-K48168960-001-14-3:10,CPD002_MCF7_6H:BRD-K48168960-001-12-7:10,CPD002_PC3_6H:BRD-K48168960-001-12-7:10,CPD002_PC3_24H:BRD-K48168960-001-12-7:10
5720,-0.240620017052,0.373548388481,-0.0322431623936,-3.33421516418,-0.0840995907784,-0.252811551094,-0.059906706214,-0.861442148685,0.650180697441,0.575477659702,0.108891896904,-1.16772305965,0.0974165871739,-0.847318291664,-0.265283614397
466,-0.275806248188,0.354298174381,-1.60749745369,-0.593943715096,0.1741643399,-0.923270463943,-0.142634153366,0.61227786541,0.57217335701,0.205076947808,-0.147419631481,-1.14221167564,0.472883760929,-0.55939245224,0.374247133732
6009,0.939796686172,-0.00852817296982,0.117327108979,0.423560827971,-0.581816077232,0.503598809242,-0.0305709391832,-0.682219684124,0.489840865135,0.250268191099,-0.0187875125557,0.275496125221,-0.500673770905,-0.869684100151,-0.228271558881
2309,0.402502655983,-0.235543951392,0.389417529106,0.103579483926,0.804367780685,-0.137191236019,0.207099586725,-0.357820987701,0.611536741257,-0.038515098393,-0.269656926394,-0.38421857357,-0.472621530294,-1.02647769451,0.640980184078
387,1.69958281517,0.599252462387,1.96269118786,0.932179033756,-0.257268667221,-0.501347601414,0.847947001457,0.476012647152,0.787735939026,0.483154475689,-0.171111539006,0.183183118701,0.539038658142,-0.805151820183,0.597972512245
3553,-0.349761366844,0.153756245971,0.0755553245544,0.557357728481,-0.650931119919,0.749810814857,-0.575040102005,-0.0948123335838,-0.441291868687,-0.606797933578,0.547467172146,1.50122225285,0.215634956956,0.0105776488781,-0.304589033127
427,-0.432787299156,0.491613537073,-0.227752372622,-0.927121937275,-0.341530263424,0.15550878644,0.0878159105778,-0.089468434453,-0.14795139432,-0.222073972225,-0.360786795616,-0.405841886997,0.120721653104,0.171350106597,0.608718693256
5898,-0.631133675575,-2.12486290932,-0.00929160416126,-0.419419825077,0.355589300394,-0.921005427837,-0.0635811835527,-0.128496170044,0.377340406179,-0.761423408985,-0.167876556516,-0.494590997696,0.57685559988,-0.402771055698,0.691354036331
23365,0.695101380348,-0.169948324561,0.597714602947,0.210925504565,-1.261095047,-0.516409397125,1.35465753078,0.747236073017,0.236075386405,-0.15791875124,0.297140359879,-0.0931960865855,-0.0853298902512,1.61574935913,-0.0625421106815
6657,-0.776282072067,0.358378052711,-0.861114323139,0.0936405658722,0.852449059486,0.596597075462,-1.22895884514,-0.461020708084,-0.783879160881,-0.92197573185,0.362909555435,0.975112140179,0.395582616329,1.20193958282,0.111590087414
5054,-0.297017484903,0.00954154133797,0.458327233791,-0.00439532846212,-0.0891123861074,0.78476536274,-0.690085291862,-0.0471807569265,0.184175148606,0.334279596806,-0.469798237085,0.265037000179,0.271472275257,-0.0736749470234,0.875463187695
3108,1.75572943687,0.622864365578,1.85541260242,1.44966185093,0.41839364171,0.44383597374,-0.62015080452,-0.00834722444415,0.366317331791,0.0344273224473,-0.104858845472,0.949556052685,-0.922396600246,1.01148796082,-0.329698681831
1950,-1.42015647888,0.0747619345784,-0.553184986115,-1.26528072357,0.244704321027,0.383547723293,-0.834528565407,-0.625132501125,-0.448516994715,0.0121047832072,-0.297170579433,0.226565137506,1.10643696785,0.893933176994,-0.666583776474
351,-0.540682911873,-1.47181952,-0.408611595631,-1.17081701756,-1.76598310471,0.0729096531868,0.632085800171,-0.383999586105,-0.890374660492,-0.349177539349,-0.207174569368,-0.299642205238,0.569318473339,0.874215364456,0.971807956696
4846,1.80904364586,-0.462956398726,-0.634927511215,-0.0197766199708,0.926154971123,-0.944878041744,0.485530793667,-0.346282243729,0.652472257614,-0.829208016396,-0.235764339566,-0.652869582176,-0.226357012987,0.52746963501,0.0589058995247
1452,0.44779330492,-0.0973399654031,-0.501771390438,-0.4460760355,0.247291728854,-0.238148868084,-0.191442757845,0.390285074711,0.36638712883,-0.27665194869,-0.243196383119,-1.79787683487,-0.0296525657177,-1.23483085632,-0.0671544000506
4776,-1.28771185875,0.162068545818,-0.78490447998,-0.707805395126,-0.332050353289,0.507359743118,-0.65813100338,-0.315297544003,-1.00420689583,-0.581541776657,0.132510304451,1.44456958771,-0.195355042815,1.52938103676,-0.059153534472
6908,-0.214631795883,-0.71957975626,0.190797716379,-0.701686382294,-0.183804512024,-0.458108484745,0.357993960381,-0.374879479408,0.64973950386,0.396132856607,-0.921282470226,-0.931167125702,0.51074552536,-1.54609000683,-0.143729329109
672,-0.590544998646,-0.270368099213,0.150325968862,-1.33844327927,-0.194795653224,-0.527993917465,-0.754340529442,0.401531398296,0.313873589039,-0.0310282297432,0.513895153999,-0.155553817749,0.235579937696,0.1756901443,-1.10911095142
5710,0.840310335159,-0.37335896492,0.164422139525,-0.690421700478,-0.152166247368,-0.277160942554,1.05307769775,0.0527302250266,0.677888453007,0.287808328867,-0.841036319733,-0.890539050102,0.567082285881,-0.383391261101,-3.57845163345
2115,1.13654220104,-0.0922583341599,-0.262632459402,0.122339628637,0.716032505035,1.62449967861,0.432561248541,0.322329968214,-0.224548310041,-0.521877884865,-0.247286051512,0.682973861694,-0.0162222422659,1.18218445778,0.64983856678
7015,-0.723013043404,-0.687088191509,-1.03786325455,-0.324031382799,0.4835087955,0.393557071686,0.0934823378921,-0.492766469717,-1.04182207584,-0.757252335548,-0.0726011171937,0.780786395073,0.315571308136,1.14862155914,-0.15339666605
8726,0.843783795834,0.534609794617,0.825163602829,0.444807380438,2.61282658577,-0.426420390606,-0.733311474323,0.827694296837,0.978585541248,0.0762962028384,0.0678433328867,-0.336698234081,-0.689588308334,0.0600980073214,0.662299573421
2185,-0.868838071823,-0.439530640841,-0.893503546715,-0.794504523277,0.289938986301,0.274586230516,-0.279610812664,-0.321405947208,-0.802406191826,-1.00874245167,-0.00655942317098,0.857418239117,-0.0615828000009,1.26450026035,0.293501973152
3315,1.16753995419,0.272529274225,0.647664010525,0.56483566761,0.648353934288,-0.0871634557843,1.22145664692,0.357375204563,0.150808528066,0.308312535286,-0.257384717464,3.56809949875,-0.316928625107,0.743242800236,0.364897668362
5289,-0.107321880758,1.0303709507,-0.201677516103,0.444420278072,0.799537837505,0.616212129593,-0.0050026383251,0.008654281497,-0.488873541355,-0.165789932013,0.150747507811,0.474944829941,-0.329671025276,-0.108454018831,-0.833030819893
868,0.175971746445,-0.370071470737,0.382979631424,-0.218444287777,-1.36473190784,-0.198895514011,-0.252824187279,0.774277806282,-0.514356791973,-0.948846817017,0.647286772728,0.900895655155,0.00360196828842,0.583596348763,0.164864584804
1677,-0.706099867821,0.323926270008,-1.1587100029,-0.453590720892,0.614960670471,0.704242527485,0.296142071486,-0.535863816738,-0.631078660488,-0.650349676609,0.0152207799256,0.0381047427654,-0.765593886375,-0.632461249828,-0.682293951511
7043,-0.0457782112062,-0.982970297337,0.57210701704,1.03150582314,-1.11060380936,-0.0518205985427,0.0198246538639,-0.492736846209,-0.612230658531,-1.09102499485,0.528314650059,0.516342878342,0.199205353856,1.48599457741,0.200215220451
5613,-1.20366609097,-1.00188875198,-0.904561519623,-0.80014783144,-0.906875789165,0.963768839836,-0.124082490802,0.0176398009062,-0.555941879749,-0.897867500782,0.545552313328,0.640086054802,0.295185953379,2.84967756271,0.42690756917
595,0.600538432598,0.19983895123,1.29882919788,0.465217858553,-0.469820439816,-0.399836540222,0.456965893507,0.224210858345,0.375330686569,0.128126710653,-0.352449983358,-0.035845041275,0.424101740122,-0.509257674217,-0.241223663092
4793,0.842617273331,0.428646296263,0.978752911091,0.337960094213,-0.104208320379,-0.393459558487,-0.175714761019,-0.415298581123,0.903183341026,0.831598162651,-0.556580543518,0.142568156123,-0.686046183109,1.92434811592,-0.39326864481
