rid,DOS050_HT29_24H:BRD-K69894866-001-01-0:5,DOS050_MCF7_24H:BRD-K69894866-001-01-0:5,DOS050_PC3_24H:BRD-K69894866-001-01-0:5,DOSBIO001_A375_24H:BRD-K69894866:9.93102,DOSBIO001_A549_24H:BRD-K69894866:9.93102,DOSBIO001_HT29_24H:BRD-K69894866:9.93102,DOSBIO001_MCF7_24H:BRD-K69894866:9.93102,DOSBIO001_PC3_24H:BRD-K69894866:9.93102,DOSBIO001_NEU_24H:BRD-K69894866:9.93102,DOSBIO001_NPC_24H:BRD-K69894866:9.93102
5720,-1.36201953888,-0.215849995613,-0.184099972248,-1.9843518734,-0.11647772789,-0.683325052261,-0.124750182033,-3.53028559685,1.20140004158,-0.174572736025
466,-0.0208150595427,0.674649953842,-1.12779998779,0.13338264823,-0.00630740821362,-0.496290385723,-0.556671857834,0.688931405544,-1.58695006371,-1.29846072197
6009,-0.965993285179,-1.0352499485,0.369650036097,0.706343889236,0.682505249977,1.97978150845,2.49240589142,1.19349718094,2.22720003128,1.25548064709
2309,-0.730017662048,0.504400014877,0.646150052547,0.341810852289,0.492413759232,-0.704973697662,1.02249622345,2.11411094666,-1.29835009575,1.19299864769
387,0.110154189169,-0.151900008321,-0.35664999485,2.01980924606,0.595902502537,0.098341986537,0.722878336906,1.94722676277,0.392400026321,1.64947485924
3553,0.989647388458,-0.294400006533,-1.0543500185,-0.688127636909,0.271620988846,0.549298942089,-0.0748485177755,-4.09714078903,-0.427650034428,-0.897148251534
427,0.876410126686,-1.21585011482,0.0115000009537,2.8932659626,0.0857632905245,2.72375845909,-0.349569320679,-1.41188931465,-0.226150006056,-0.961691319942
5898,-0.665438532829,0.949899971485,-0.524850010872,0.888874650002,-0.782288789749,0.990644335747,1.67495512962,3.0007827282,-0.105049997568,-0.879247009754
23365,0.357212781906,-0.00959999859333,-0.150700002909,0.257127702236,1.89300096035,0.126751407981,1.28999018669,1.13095271587,1.56599998474,1.5526753664
6657,0.962067902088,0.00464999675751,1.68794989586,-2.44961929321,1.70650243759,0.914646208286,0.956360220909,0.577920258045,-0.106999993324,-0.253642618656
