rid,AML001_CD34_24H:BRD-K63513868:10,AML001_CD34_24H:BRD-K63513868:3.33333,AML001_CD34_24H:BRD-K63513868:1.11111,AML001_CD34_24H:BRD-K63513868:0.37037,AML001_CD34_6H:BRD-K63513868:10,AML001_CD34_6H:BRD-K63513868:3.33333,AML001_CD34_6H:BRD-K63513868:1.11111,AML001_CD34_6H:BRD-K63513868:0.37037,AML001_HL60_24H:BRD-K63513868:10,AML001_HL60_24H:BRD-K63513868:3.33333,AML001_HL60_24H:BRD-K63513868:1.11111,AML001_HL60_24H:BRD-K63513868:0.37037,AML001_HL60_6H:BRD-K63513868:10,AML001_HL60_6H:BRD-K63513868:3.33333,AML001_HL60_6H:BRD-K63513868:1.11111,AML001_HL60_6H:BRD-K63513868:0.37037,AML001_PC3_6H:BRD-K63513868:10,AML001_PC3_6H:BRD-K63513868:3.33333,AML001_PC3_6H:BRD-K63513868:1.11111,AML001_PC3_6H:BRD-K63513868:0.37037,AML001_U937_24H:BRD-K63513868:10,AML001_U937_24H:BRD-K63513868:3.33333,AML001_U937_24H:BRD-K63513868:1.11111,AML001_U937_24H:BRD-K63513868:0.37037,AML001_U937_6H:BRD-K63513868:10,AML001_U937_6H:BRD-K63513868:3.33333,AML001_U937_6H:BRD-K63513868:1.11111,AML001_U937_6H:BRD-K63513868:0.37037
5720,-0.309300005436,-1.98239994049,-0.327950000763,-1.5243999958,-2.65598797798,-1.9462801218,-0.531272649765,0.773773908615,-0.763236641884,-1.32354092598,0.048107676208,-0.00487250089645,-0.0263264290988,0.0852899998426,-1.55732083321,-0.350310146809,0.213435009122,0.0845637172461,-3.62784934044,-0.341547608376,0.337900012732,-0.738700032234,-1.68579995632,-0.0172999948263,0.0460767671466,-0.957665741444,-2.92498540878,-3.66478204727
466,-0.322100013494,-0.934649944305,-0.381700009108,-0.409249991179,-3.90470504761,-0.717754602432,-0.226572483778,-0.00892339646816,-0.79820227623,0.555973649025,-0.671257078648,-0.304194837809,-0.601091325283,-0.368575483561,-0.404945373535,0.463009059429,0.298104315996,-0.137249529362,-1.22613978386,0.762712478638,0.423449963331,-0.24264998734,-0.580349981785,-0.101199992001,-0.139672070742,0.878928184509,-0.87747746706,-2.44660806656
6009,1.10455000401,-0.550650000572,1.10575008392,0.128900021315,1.59881031513,-3.70949840546,1.25010991096,0.240818843246,0.413702875376,-0.358450293541,0.381024837494,0.0639888346195,-0.655895888805,-0.100053675473,-0.135993912816,0.529800832272,-0.13855561614,-0.394553095102,1.0849916935,-0.122553445399,1.25934994221,0.409299999475,-0.203150004148,-0.61210000515,-0.519168078899,-1.28495311737,2.77877783775,3.44919776917
2309,0.648849964142,0.67735004425,0.0275499969721,0.0322499871254,1.07057797909,-0.0502986311913,-0.0514732412994,-2.40070843697,-0.100590080023,0.52422451973,-0.720384597778,-0.0946874395013,-0.603143870831,0.125649616122,0.685249865055,0.0804331228137,-0.557899713516,-1.58802914619,-0.560320079327,0.231415718794,0.0492499992251,-0.0259499996901,-0.199450001121,-0.58805000782,0.167857050896,-2.07924056053,-0.394826799631,-3.25120234489
387,0.420199990273,-0.0387499332428,2.3327999115,-2.65834999084,2.79266762733,1.45052075386,0.765367329121,0.587154388428,0.00743452087045,-1.13353860378,1.08960068226,-0.127992644906,-0.608974456787,0.537098586559,0.699082434177,-0.413028329611,0.232473790646,-0.346716195345,2.44113397598,-0.412057816982,0.0398000180721,0.90130007267,2.00034999847,0.63195002079,0.0653763115406,0.312122166157,3.63266515732,4.12103223801
3553,-0.817749977112,-0.228599995375,-0.943599998951,-1.22195005417,-0.889156460762,-1.10624718666,-0.727739870548,-1.02724468708,-0.19558146596,0.855976104736,-0.874904990196,-0.514060139656,-0.292267411947,-0.460149586201,-0.07727240026,0.274629384279,-1.69640398026,-1.93513321877,-0.680426359177,0.0119902640581,0.0964499861002,-0.815750002861,-0.864199995995,-1.10965001583,1.00997328758,1.75616621971,1.11113715172,1.36174476147
427,0.127949997783,-0.665899991989,-0.122199997306,-0.639450013638,-0.382903724909,-1.53357970715,0.361351460218,-0.585487365723,-0.884647607803,0.385678350925,-1.08494770527,-0.833857834339,-0.278141707182,-0.667988300323,-1.40479242802,0.0197365358472,0.451626628637,-0.409665286541,-1.08063220978,1.467269063,1.49145007133,0.450850009918,-1.25635004044,-1.49819993973,-0.0676994770765,0.132337465882,-1.31704699993,-3.28026175499
5898,-0.830799996853,0.270449995995,-1.30585002899,-2.58395004272,0.655073523521,0.637736082077,-0.751963019371,-1.12257695198,-0.0832983627915,0.780212581158,-0.713139653206,-0.226248472929,-0.429716527462,-0.241032287478,-0.105285719037,0.446865558624,-0.529145777225,-0.81079685688,0.0726659148932,-0.0258336439729,-1.29304993153,0.00944999977946,-0.389550000429,-0.841050028801,-1.74110841751,-2.86257886887,0.673004925251,1.14979696274
23365,-0.139400005341,1.09944999218,0.244750007987,-0.692049980164,2.46221995354,1.34060239792,1.0036251545,-1.80169773102,0.334638446569,0.756021142006,0.413606911898,-0.169583171606,0.387044042349,-0.0847227200866,0.468546777964,-0.500235140324,1.0720448494,1.21398997307,1.90586781502,0.855286061764,1.40810000896,1.34830009937,0.828850030899,0.259050011635,0.0570438653231,0.0967276766896,0.470938652754,0.737646758556
6657,0.71875,0.239250034094,0.829149961472,0.944900035858,0.897394061089,0.424960851669,0.00670005753636,-0.0668838918209,-0.112666122615,0.830805778503,-0.440993636847,0.0921612977982,0.246436774731,0.495060324669,0.20374751091,1.40586984158,-0.998291373253,-0.0515804886818,0.118931144476,0.500224709511,-0.0225000083447,0.504050016403,-0.582650005817,0.317499965429,-0.159676015377,-0.0902726650238,0.00934848189354,-1.08242964745
