rid,DOS023_VCAP_6H:BRD-K53808186-001-01-1:5.16,DOS023_VCAP_24H:BRD-K53808186-001-01-1:5.16,DOS052_A375_24H:BRD-K53808186-001-01-1:5.16,DOS052_A549_24H:BRD-K53808186-001-01-1:5.16,DOS052_HT29_24H:BRD-K53808186-001-01-1:5.16,DOS052_MCF7_24H:BRD-K53808186-001-01-1:5.16,DOSBIO001_A375_24H:BRD-K53808186:10.3279,DOSBIO001_A549_24H:BRD-K53808186:10.3279,DOSBIO001_HT29_24H:BRD-K53808186:10.3279,DOSBIO001_MCF7_24H:BRD-K53808186:10.3279,DOSBIO001_PC3_24H:BRD-K53808186:10.3279,DOSBIO001_NEU_24H:BRD-K53808186:10.3279,DOSBIO001_NPC_24H:BRD-K53808186:10.3279
5720,0.744486510754,-2.08694982529,-1.05425000191,-1.22200000286,-1.3396500349,-0.423699975014,0.390058636665,0.569530665874,0.88631695509,0.226600006223,0.556833863258,-0.674250006676,2.70778417587
466,-2.52646255493,-3.27649998665,-1.39254999161,1.66229999065,1.33130002022,-2.18834996223,0.67922693491,-0.0476654097438,0.584468305111,1.33050882816,0.601878643036,0.103450000286,0.0380851104856
6009,0.986483931541,2.06185007095,1.18754994869,0.196599990129,1.1658000946,1.01960003376,-0.526768922806,0.571950912476,-0.195077687502,0.0745321512222,1.6199798584,0.102499991655,0.283291339874
2309,1.29233431816,-1.72655010223,-0.781049966812,0.673250079155,-0.227399989963,0.584999918938,-0.709050536156,-0.021143168211,-0.88260436058,0.271107763052,-0.00488954782486,0.594099998474,0.292208105326
387,0.924934267998,3.31879997253,2.53690004349,3.32705020905,0.751550018787,0.812649965286,0.322803735733,0.248706221581,0.368398666382,0.799137830734,-0.045919328928,0.329750001431,0.53146892786
3553,-0.482472389936,0.530400037766,0.469199985266,0.512799978256,-0.968899965286,0.00835001468658,-0.845104694366,-0.0124269425869,-0.403326034546,-0.450887262821,-1.36825692654,0.190050005913,0.308726847172
427,-0.65909320116,-0.476349979639,-4.55754995346,1.94414997101,-0.644549965858,-0.696900010109,1.72583293915,0.189284861088,0.109300173819,0.58878582716,-0.0304672122002,0.182899996638,-0.501525759697
5898,-2.0024793148,-5.07324981689,-1.3859500885,0.631200015545,0.179699987173,-1.99170005322,0.633145987988,0.765456736088,0.877205729485,0.58080893755,0.537791550159,0.803499996662,0.452622771263
23365,-0.661483049393,-0.132950007915,0.53979998827,2.39070010185,-0.073399990797,-0.816150009632,-0.0413321554661,-0.180960386992,-0.231152057648,-1.10745716095,0.0796704590321,0.0762999951839,-0.398434877396
6657,0.06455925107,-0.227699965239,-0.764099955559,0.693499982357,-0.271500021219,0.582899987698,-0.214624851942,-0.343212664127,0.0761844813824,-0.973112225533,-0.6073564291,-0.0679000020027,0.393148034811
5054,0.442126393318,-0.485100030899,-1.09020006657,0.899899959564,-0.599249958992,-0.596099972725,0.253578692675,-0.614798665047,-0.9585262537,-0.628455519676,-0.0988198518753,-0.347450017929,-0.0974030122161
3108,0.505870521069,7.45170021057,3.14890003204,4.76284980774,1.55454993248,4.25694990158,-0.050338216126,-1.0595536232,-0.183696806431,0.733891487122,0.213456660509,0.219699978828,0.270740091801
1950,2.56444811821,4.5545501709,-1.17750000954,-0.704800009727,-0.894649982452,0.747850000858,-0.687966704369,-0.522453248501,-0.527209997177,-0.0390593707561,-0.400674819946,-0.879800021648,0.445533573627
351,0.142059415579,0.838349997997,1.00185000896,-2.18924999237,0.855199992657,1.1969499588,-0.39247918129,-0.218690544367,-0.736711442471,-0.276204138994,-0.0884547531605,-0.777350008488,0.269375145435
4846,0.990558683872,-0.880750060081,-1.65869998932,4.03364992142,0.549750030041,-0.610149979591,-1.22161531448,-0.333340406418,-0.573224782944,0.934235572815,0.297182619572,0.000649988651276,-0.321148008108
1452,0.95498329401,0.628000020981,0.476200014353,0.978999972343,-1.64264988899,-2.38645005226,0.836982369423,0.863864898682,1.11964130402,0.773956358433,-0.812136650085,-0.194199994206,0.468189537525
