rid,DOS024_VCAP_6H:BRD-K79090110-001-01-7:5,DOS024_VCAP_24H:BRD-K79090110-001-01-7:5,DOS053_A375_24H:BRD-K79090110-001-01-7:5,DOS053_A549_24H:BRD-K79090110-001-01-7:5,DOS053_MCF7_24H:BRD-K79090110-001-01-7:5,DOS053_PC3_24H:BRD-K79090110-001-01-7:5
5720,0.350050002337,0.0389682352543,-0.696349978447,-0.192600011826,-0.848499953747,-0.123349994421
466,-1.14855003357,-0.0581709295511,0.180399999022,0.232200011611,-1.6099499464,0.556650042534
6009,-0.237599998713,-0.454570949078,0.516900002956,-0.212099999189,-0.361100018024,-0.915549993515
2309,-0.801399946213,0.0983690544963,-1.63135004044,1.0936999321,0.334950000048,0.175550013781
387,-1.10450005531,-0.182279229164,0.625850021839,-0.0449500009418,0.494199991226,0.708649992943
3553,-0.043850004673,-0.200266838074,-1.08185005188,-0.504549980164,-0.0524000227451,-0.079549998045
427,-0.892849981785,0.725847601891,-0.488750010729,1.12195003033,-1.79489994049,-0.250049978495
5898,-1.38150000572,-0.352174073458,0.248299986124,0.635200023651,1.32634997368,-1.05939996243
23365,0.984349966049,0.734263956547,-0.409200012684,-0.00894999504089,0.0974499881268,-0.0857000052929
6657,0.0381999909878,-0.523538708687,0.358099997044,0.156199961901,-0.271849989891,-0.877799987793
5054,-0.792299985886,-0.0469406992197,-0.549999952316,-1.12174999714,-1.08704996109,0.270949989557
3108,0.633749961853,-0.658666610718,0.454750001431,-0.334600001574,0.0969000011683,-0.157000005245
1950,-0.579349994659,-0.784088850021,0.117750018835,-0.187900006771,-0.0859500169754,-1.40024995804
351,0.526500046253,0.477663129568,0.477699995041,-0.684149980545,-0.97879999876,-0.571249961853
4846,-2.1384999752,0.400185704231,-1.91674995422,-0.437399983406,-1.73970007896,-1.55679988861
1452,-0.371749997139,-1.39459788799,-0.762050032616,-0.0540500283241,-0.123050034046,0.530950009823
4776,1.2718501091,-0.215024992824,-0.171000003815,-0.656049966812,0.841500043869,-0.34604999423
6908,0.477149993181,-0.162408739328,1.21445000172,-0.132699996233,1.03830003738,0.033649995923
