rid,CPC004_A375_6H:BRD-K60274257-001-01-1:10,CPC004_HA1E_6H:BRD-K60274257-001-01-1:10,CPC004_HA1E_24H:BRD-K60274257-001-01-1:10,CPC004_HCC515_6H:BRD-K60274257-001-01-1:10,CPC004_HCC515_24H:BRD-K60274257-001-01-1:10,CPC004_HEPG2_6H:BRD-K60274257-001-01-1:10,CPC004_HT29_6H:BRD-K60274257-001-01-1:10,CPC004_MCF7_6H:BRD-K60274257-001-01-1:10,CPC004_PC3_6H:BRD-K60274257-001-01-1:10,CPC004_PC3_24H:BRD-K60274257-001-01-1:10,CPC004_VCAP_6H:BRD-K60274257-001-01-1:10,CPC004_VCAP_24H:BRD-K60274257-001-01-1:10,CPC016_A375_6H:BRD-K60274257-001-01-1:10,CPC016_A549_6H:BRD-K60274257-001-01-1:10,CPC016_A549_24H:BRD-K60274257-001-01-1:10,CPC016_ASC_24H:BRD-K60274257-001-01-1:10,CPC016_HEPG2_6H:BRD-K60274257-001-01-1:10,CPC016_HT29_6H:BRD-K60274257-001-01-1:10,CPC016_MCF7_6H:BRD-K60274257-001-01-1:10,CPC016_MCF7_24H:BRD-K60274257-001-01-1:10,CPC016_NEU_24H:BRD-K60274257-001-01-1:10,CPC016_NPC_24H:BRD-K60274257-001-01-1:10,CPC016_SKB_24H:BRD-K60274257-001-01-1:10
5720,0.395737171173,-0.419349998236,-0.143103152514,0.343600004911,-1.59609997272,1.24119997025,0.502730607986,-0.105400025845,-2.16897296906,1.14559698105,0.793644249439,-0.43928194046,-0.331908077002,1.0352499485,1.54175400734,-0.60887336731,1.03606057167,-0.0614779964089,0.612495303154,0.0771569684148,-0.0286577045918,0.507110357285,-0.706282019615
466,-0.717602074146,-1.18500006199,0.285633802414,0.483399987221,-1.55615007877,-1.01440000534,0.222400844097,-4.52365016937,-0.501480460167,-0.057515412569,-0.100146532059,-1.36215472221,-0.279204696417,0.646000027657,-0.113207235932,0.820732593536,0.767876803875,-0.5728905797,0.819032967091,0.14497807622,0.0306982267648,0.283827781677,0.281145572662
6009,0.149575710297,-0.684649944305,-1.67749345303,-0.334199994802,-1.50779998302,1.3178999424,0.230783224106,0.419400036335,1.95512986183,0.474500477314,-0.144099235535,-1.91145348549,-0.759259879589,-0.263500005007,-0.197270229459,0.566070497036,-0.132198676467,-1.10498774052,0.0085121691227,-0.56031036377,0.507895588875,0.614022195339,-0.208677962422
2309,-0.676898121834,-1.45410001278,-0.0334398597479,-1.03980004787,0.468149989843,-1.11794996262,-0.358289808035,0.575200021267,-2.48860216141,0.437745690346,-2.77347350121,-0.0371441245079,-0.295235306025,5.11005020142,0.188629150391,0.135976999998,-0.169357344508,-0.317149341106,-1.05629086494,-0.110735267401,-0.324906408787,0.119451776147,-0.686455726624
387,-0.34279024601,4.51335000992,0.000726159662008,-1.02890002728,-1.00534999371,1.68129992485,-0.703123688698,1.20465004444,3.68055677414,-0.435922622681,2.03559660912,0.201889753342,-1.2823805809,0.257149994373,-0.198655501008,-0.272027701139,1.13059425354,-0.611314713955,0.263656407595,-0.275778830051,-0.837521672249,0.205293715,0.440876185894
3553,-0.916217386723,-1.11670005322,-0.492507874966,-0.243699997663,-0.186100006104,-0.748049974442,-0.245143577456,-0.383599996567,0.58656847477,1.4466329813,-0.755130171776,-0.615513861179,1.63954734802,-0.957200050354,0.277554184198,0.265598475933,-0.568950355053,1.07785701752,0.255369722843,-0.810652196407,-0.18333658576,-0.398473590612,-0.711546957493
427,0.23275873065,-1.26355004311,0.468416392803,0.192499995232,0.325450003147,-1.01014995575,-0.0263805910945,-1.31290006638,1.12326300144,3.83362793922,-0.0360071659088,1.61085319519,1.83042144775,-0.104600004852,0.107983797789,1.82459712029,0.914391934872,-0.0461304336786,0.371577948332,0.128833293915,0.55747282505,-0.442006498575,1.046651721
5898,0.223982259631,-4.47609996796,-1.67646217346,0.448300004005,-0.503550052643,-3.48395013809,-0.481625169516,-2.4822499752,-2.62232351303,-0.345433473587,-0.888989388943,-1.69511532784,1.13241183758,1.00890004635,0.806233644485,-0.271478563547,0.886713206768,-1.28107643127,0.118984133005,0.127570584416,0.0430724620819,0.593864202499,-1.11175847054
23365,0.495282113552,0.206849992275,0.316167473793,-0.328399986029,1.8084000349,-0.014649999328,-0.286659091711,-1.03680002689,-1.19462895393,-0.200007557869,-0.223558321595,-1.09993803501,0.788084506989,-0.122800022364,-1.47722220421,0.797411739826,1.43680214882,0.64453625679,0.155296772718,0.140131473541,-0.421819150448,1.01236951351,0.0772744119167
6657,-1.3704867363,-0.26004999876,-0.924102783203,-0.775399982929,0.804699957371,-0.338400006294,-0.430803775787,0.407700002193,1.08380222321,0.663273751736,-0.177816510201,0.166830942035,1.30036950111,-0.468400001526,-0.0525970906019,-0.0146814268082,-0.848525047302,0.939775884151,-0.0923708379269,0.119360208511,-0.296807467937,0.0129320397973,-0.377315580845
5054,-0.0949040353298,-3.3044500351,-1.45237135887,-0.564599990845,0.613049983978,0.28409999609,-0.186257138848,0.431750029325,-1.67504835129,-1.87302839756,-0.467444449663,-0.0693951547146,0.445021629333,0.0335500240326,0.0735366269946,-0.162360846996,2.43401575089,-1.12894809246,-1.34088420868,-0.2026373595,0.226480394602,-0.888398230076,0.535425007343
3108,-0.23530767858,0.904949963093,-0.489826828241,-1.05739998817,-0.635850012302,0.478700011969,-0.141333192587,1.30634999275,3.17085266113,0.0761063843966,0.172666490078,1.17575824261,-0.477328002453,-0.146099999547,-1.18170285225,-0.7473320961,0.626682758331,-1.10069012642,0.237461686134,-0.267079383135,0.316981375217,0.623251318932,0.101660251617
