rid,DOS020_VCAP_6H:BRD-K99307487-001-02-4:5,DOS020_VCAP_24H:BRD-K99307487-001-02-4:5,DOS043_A375_24H:BRD-K99307487-001-02-4:5,DOS043_A549_24H:BRD-K99307487-001-02-4:5,DOS043_HT29_24H:BRD-K99307487-001-02-4:5
5720,0.410259217024,0.726350128651,1.21358132362,0.581499993801,0.524897456169
466,-0.222642496228,1.70249342918,1.17343223095,-0.427399992943,0.853190839291
6009,0.379736185074,-0.0673264861107,0.305705219507,-0.0473500005901,-0.0367633253336
2309,-1.09740793705,-1.55843412876,-0.331090807915,-0.94764995575,0.692963719368
387,0.843493700027,-0.479952812195,0.192032530904,-0.724749982357,0.325907170773
3553,0.582241475582,0.362867116928,-0.5462911129,-0.0766000151634,-1.08437895775
427,-0.31068956852,0.295040249825,-0.622404813766,-0.122050002217,-0.224987730384
5898,-0.0765777379274,0.390383958817,0.914879977703,0.876800000668,-0.309586763382
23365,-0.636140823364,-0.897265076637,-1.36082518101,-0.748300015926,-0.11360655725
6657,0.432045251131,0.853714764118,-0.346504151821,-0.712149977684,-0.449446827173
5054,-0.126802250743,-0.811423242092,0.495820373297,-0.479799985886,-0.468993663788
3108,0.267225295305,0.537546634674,0.0476016029716,1.29159998894,0.940721213818
1950,1.10986208916,1.23335504532,-0.268582969904,0.958400011063,1.12748944759
351,-0.471159309149,0.486245512962,-0.740519344807,0.0199000015855,-0.919138371944
4846,-0.319316327572,0.394705832005,0.588625490665,0.834249973297,0.670007765293
1452,-0.75577545166,-0.479727953672,-0.167775392532,0.19335000217,0.0856543779373
4776,-0.175071030855,1.72827553749,-0.272714883089,0.28330001235,-0.583690106869
6908,-1.55791330338,0.239101678133,0.36859574914,-0.246800005436,-0.069636002183
672,-0.213007122278,0.583964705467,-0.269651174545,0.455349981785,0.60780197382
5710,-0.48804461956,-0.517585515976,-0.0142258973792,0.299499988556,0.255810141563
2115,0.76565092802,0.343746930361,-0.805967509747,-0.0173999965191,-0.310826987028
7015,0.285028457642,1.15871238708,-0.173668444157,0.233399987221,-0.568725764751
8726,0.495268762112,-0.181437194347,-0.23470954597,1.52974998951,0.688761174679
2185,0.628791689873,0.0870134308934,-0.655601263046,0.212799996138,-0.897020578384
3315,-0.0646361857653,0.637998998165,0.32351949811,-0.198850005865,-0.769578635693
5289,-1.07869434357,0.445329964161,0.477801859379,0.265650004148,-0.887310743332
868,-1.25203859806,2.065564394,-1.19272112846,-0.980849981308,-0.352273136377
1677,0.339060127735,-0.0627669990063,0.568174183369,0.578800022602,0.853302419186
7043,0.322162240744,-0.389499694109,-0.411472767591,-0.0880500078201,-0.656142830849
5613,-0.0789141654968,0.700117945671,-0.911617934704,-0.623049974442,-0.694210410118
595,0.0660391449928,-0.52990090847,1.40986967087,0.677049994469,1.14928352833
4793,0.116646528244,-0.694406569004,0.126596391201,0.503149986267,-0.289177417755
2736,2.05604791641,1.33201801777,-0.320204705,-0.986899971962,-0.0308887660503
5290,0.32266420126,0.315253794193,-1.30875098705,0.00545001029968,0.581876397133
6194,0.895504951477,0.259924769402,-0.000139156589285,0.437349975109,-0.774141192436
1676,1.25462675095,0.898135721684,-0.800109565258,0.629399955273,-0.816268920898
23512,0.226669818163,0.771387338638,0.264168709517,0.818749964237,-0.0100281685591
148022,-0.629169762135,-1.57869839668,-0.151158004999,-0.88789999485,-1.10164153576
1906,-0.149077087641,0.600884020329,-0.486923098564,0.246100008488,-0.210968777537
8878,-1.45545315742,-0.935634195805,0.0197790525854,-0.186750009656,-0.587021529675
3091,-1.34518074989,0.65556627512,0.0647998601198,0.596199989319,-0.752242267132
5743,1.64875459671,0.271579504013,-0.581576704979,0.88354998827,-0.201097145677
5321,1.58270025253,0.714532375336,-0.814380943775,-2.83855009079,0.515622675419
4144,-0.230047643185,0.0814200043678,-0.747438192368,0.345299988985,-0.301105499268
1981,0.256384372711,-0.984086990356,-0.420179903507,0.000999998301268,0.489174485207
695,0.405791521072,-1.55287086964,0.0791290700436,0.293550014496,1.57816922665
10398,0.956985831261,0.979237139225,-0.294005632401,-0.0273000001907,-0.741877138615
5708,-0.54667943716,-1.43985891342,0.423906207085,-0.407950013876,-1.30774831772
1213,-0.685240805149,-1.49002158642,0.185361146927,-1.58955001831,0.329832673073
226,-0.0611425191164,-0.425189495087,0.442361742258,0.348800003529,-0.521785914898
6777,-0.902315914631,-0.553051352501,-0.143013387918,0.560400009155,-0.0284032709897
2113,-0.173638492823,0.363915979862,0.120894342661,-0.0968999937177,0.0152883082628
3329,-0.196134954691,-0.687349021435,0.431641548872,0.220450013876,0.491347849369
1050,-0.0216422528028,0.409478098154,-0.518112182617,-0.468450009823,1.32309269905
9491,0.667212545872,0.258909851313,-0.767846345901,-0.604849994183,-1.19397759438
22926,-0.199561610818,0.0721635147929,0.729380011559,0.0446000024676,-2.26014494896
5899,-0.290868580341,0.457587450743,-0.940913379192,-0.608099997044,-0.223919212818
5467,-0.148724943399,-0.137521237135,-0.196058124304,0.0489500015974,-1.31420612335
6774,-0.70031619072,-0.992346823215,0.168470680714,-0.652649998665,-0.147509694099
1788,0.915197610855,1.462926507,-0.82348382473,-0.721700072289,-0.401635706425
5921,-0.0116989314556,0.219341903925,0.0757915154099,-0.0561499893665,-0.23824930191
5721,-1.02311253548,0.570882439613,0.911539554596,0.759099960327,0.114394634962
2263,0.450517147779,0.96147364378,-0.292521029711,-0.156650006771,1.49379765987
808,0.437466859818,0.481431365013,0.297331511974,0.564249932766,0.0506159812212
30001,-1.7215102911,-1.38863873482,0.0453240200877,0.315750002861,-0.0792789161205
348,1.41432583332,0.954849362373,0.0748436376452,-0.642799973488,-0.812393248081
30849,-1.09389925003,-0.341834634542,0.323919147253,-0.738800048828,0.827521920204
1454,-0.847413063049,-0.486783713102,1.09842813015,0.137050002813,0.375550806522
6500,-0.748442053795,0.448233008385,1.36712229252,0.456200003624,-0.935009241104
5627,-0.794638156891,-0.568807244301,-0.204357415438,-0.235150009394,1.28339219093
5715,0.574810266495,-0.854198694229,0.00733749568462,0.116350024939,0.709396839142
4791,-0.109163939953,0.332176715136,-0.530506789684,0.135850012302,-0.588194727898
56924,-0.57665848732,-0.159054785967,-0.29178661108,-0.437300026417,-1.19843542576
2690,0.201531231403,0.694011628628,0.68561154604,0.200850009918,0.201037585735
1019,-0.0526167154312,0.629777848721,0.40243139863,-0.581749975681,0.011265553534
51422,0.419048368931,-0.122111663222,-0.243271708488,-0.355649977922,0.509832918644
5788,-0.226108670235,1.0772100687,-0.211097210646,0.154799997807,-0.278335422277
6709,-0.623296916485,-0.644981086254,-0.53572499752,0.0239500105381,0.396471619606
1277,-1.43195199966,-0.216885626316,-0.392865419388,-0.0710000023246,-0.118228644133
993,-0.859866440296,-4.81447982788,0.205789923668,-0.795000016689,-0.0987220406532
7157,-0.908585786819,-1.69614899158,0.0565438121557,0.583999991417,0.506666719913
1958,-0.388381034136,-0.419033288956,-0.596750557423,0.681200027466,-0.0933491289616
4582,0.384937405586,0.197408542037,0.352325648069,0.683650016785,0.30012524128
9212,0.275765925646,0.135673582554,0.190693065524,-1.15880000591,-0.843208432198
8440,-0.514360904694,-4.02965259552,-0.236604318023,-0.0951499938965,-0.305909514427
