rid,DOS056_A375_24H:BRD-K20109053-001-01-4:5,DOS056_A549_24H:BRD-K20109053-001-01-4:5,DOS056_HT29_24H:BRD-K20109053-001-01-4:5,DOS056_MCF7_24H:BRD-K20109053-001-01-4:5,DOS056_PC3_24H:BRD-K20109053-001-01-4:5,DOSBIO002_A375_24H:BRD-K20109053:10.0611,DOSBIO002_A549_24H:BRD-K20109053:10.0611,DOSBIO002_HT29_24H:BRD-K20109053:10.0611,DOSBIO002_PC3_24H:BRD-K20109053:10.0611,DOSBIO002_MCF7_24H:BRD-K20109053:10.0611,DOSBIO002_NEU_24H:BRD-K20109053:10.0611,DOSBIO002_NPC_24H:BRD-K20109053:10.0611
5720,0.410650014877,-0.509050011635,0.286049991846,0.589249968529,0.458143949509,-0.975835680962,-0.506531774998,0.207449510694,-0.017430126667,-3.08856725693,-0.00834999978542,1.37962281704
466,-3.01510000229,0.47184997797,1.74189996719,1.19525003433,0.714728176594,-2.79321956635,-0.0161323547363,0.422795176506,0.566558480263,0.435277670622,0.836250007153,-0.433759212494
6009,0.345850020647,0.498000025749,0.149150013924,-0.101199999452,-1.05815160275,-0.0680216625333,-0.525970995426,0.0215655267239,0.36095136404,-0.284750938416,0.221950009465,1.10967445374
2309,0.88145005703,2.00104999542,1.00180006027,1.08724999428,-0.758432865143,2.98272275925,2.53144931793,4.21720027924,0.779326736927,1.37321376801,0.211050003767,0.922858417034
387,-1.93060004711,1.32554996014,-0.336149990559,0.28409999609,-0.80917930603,-3.29505491257,-0.803634762764,-0.376307040453,-0.0748227834702,-1.88455665112,0.204199999571,-1.36921668053
3553,1.98819994926,-0.0342500209808,-0.198149994016,-1.1453499794,0.926321744919,1.80402445793,0.181766375899,-0.924505829811,3.08730316162,-0.578987121582,-1.02079999447,-0.642826139927
427,-0.437200039625,0.0292999967933,0.400299996138,0.575450003147,0.376272380352,1.18029236794,0.418915063143,0.666463732719,-0.322258710861,0.677786529064,0.676450014114,0.548454105854
5898,0.307799994946,-2.25154995918,-0.0504499822855,1.55215001106,0.849746704102,2.20073962212,1.0058157444,0.4058342278,3.09243750572,-0.236332178116,-0.152250021696,-0.256260037422
23365,-0.894649982452,-0.155400007963,0.430849999189,-0.33109998703,0.505951046944,-0.371514290571,-0.964014708996,-0.653587758541,0.199600577354,-0.768429100513,1.64240002632,0.122354842722
6657,0.146600008011,-0.875999927521,0.37064999342,-1.17829990387,0.493138492107,-3.55318427086,-2.67696404457,-0.906623780727,-0.112357467413,-0.237944915891,-0.14335000515,0.702359974384
