rid,DOS023_VCAP_6H:BRD-K68655663-001-01-1:4.91,DOS023_VCAP_24H:BRD-K68655663-001-01-1:4.91,DOS052_A549_24H:BRD-K68655663-001-01-1:4.91,DOS052_HT29_24H:BRD-K68655663-001-01-1:4.91,DOS052_MCF7_24H:BRD-K68655663-001-01-1:4.91
5720,0.508592188358,-0.11875000596,0.411850005388,-0.905099987984,0.282849997282
466,0.621185779572,-4.82119989395,0.109549999237,0.136649996042,0.345799982548
6009,0.856303751469,1.43490004539,0.345600008965,0.0562499985099,0.796150028706
2309,-0.0425671339035,-1.71665000916,-0.272249996662,0.169349998236,-0.824549973011
387,-0.443328291178,1.1006000042,-0.0919499993324,-0.640049993992,-0.195199996233
3553,-0.321502566338,-0.114999994636,-0.327749997377,-0.975299954414,0.367449998856
427,-0.252943813801,0.698400020599,-0.34215003252,1.06929993629,-2.87304997444
5898,-0.982606172562,-0.0560999959707,-1.20969998837,0.24350002408,-0.723450005054
23365,0.263678610325,-0.816749989986,-0.249650016427,0.139899998903,0.462199985981
6657,-0.362719446421,0.0220500230789,-0.8667999506,-0.166950017214,2.16140007973
5054,0.353201687336,-0.121250003576,0.440299987793,0.144150003791,-0.384999990463
3108,-0.73024135828,-0.618950009346,-0.507350027561,-0.156599998474,0.978800058365
1950,0.797554194927,-0.370000004768,0.343400001526,0.754199981689,0.789000034332
351,-0.662584781647,0.838349997997,-0.0491500012577,1.02760004997,-0.50235003233
4846,-0.771922171116,-0.533349990845,0.446150034666,-0.0697000026703,-0.136350005865
1452,1.15518069267,-0.447150021791,-1.27160000801,-0.35095000267,-2.25099992752
4776,-0.357706427574,0.989900052547,-0.433499991894,-0.51415002346,-0.155400007963
6908,0.908231377602,-0.290250003338,0.215399995446,0.61804997921,1.00199997425
672,0.380146473646,-1.62704992294,-0.234899997711,0.25775000453,0.216250002384
5710,-0.217837005854,-0.0792500078678,-0.0335500091314,-0.377499997616,-0.197449997067
2115,-0.487730324268,0.243650019169,-0.224500000477,-0.576299965382,-0.0889500007033
7015,0.0661740601063,-0.91865003109,-0.299349963665,-0.368099987507,0.0212500095367
8726,0.550990223885,1.96740007401,-0.352800011635,-0.169049993157,-1.23745000362
2185,0.144234165549,0.362500011921,-0.129649996758,-0.0712500065565,0.202549993992
3315,0.545166730881,0.138949990273,-0.322250008583,-1.16050004959,-0.497099995613
5289,-1.31148934364,0.0756999850273,-0.599250018597,-0.200449973345,-3.78900003433
868,-2.58388280869,0.413800001144,-0.330399990082,-0.404649972916,-0.453450024128
1677,-0.0725419595838,-0.662000000477,0.045450001955,-0.046250000596,0.0819000005722
7043,-0.621631920338,0.978649973869,1.05879998207,-0.0491999983788,0.100600004196
5613,-1.23779964447,0.168699994683,0.193649992347,0.43029999733,0.528050005436
595,-0.724469900131,-1.22580003738,-0.134000003338,-0.888549983501,-0.914099991322
4793,1.71556425095,4.51394987106,0.323500007391,-1.41684997082,-0.41455000639
2736,-2.10779714584,0.0866499841213,-0.373949974775,-0.329800009727,0.249599993229
