rid,CPD001_MCF7_6H:BRD-K99121711-001-15-9:10,CPD001_MCF7_24H:BRD-K99121711-001-15-9:10,CPD001_PC3_24H:BRD-K99121711-001-15-9:10
5720,-0.634445488453,-0.654266655445,-0.401106506586
466,0.452144801617,-0.459966659546,0.22347818315
6009,-0.844901204109,-0.147200003266,-0.0024079978466
2309,-0.441536962986,-0.257866680622,-0.474965125322
387,0.604580163956,0.141100004315,0.180373042822
3553,-0.361850351095,0.603299975395,-0.909111380577
427,-0.315793454647,-0.270000010729,-0.313861638308
5898,0.492383986712,0.283600002527,-0.349119186401
23365,0.299350768328,0.61943334341,1.00024688244
6657,-0.0519919395447,0.277300000191,-0.905221104622
5054,-0.22220274806,1.63173341751,0.343305230141
3108,0.205741897225,0.268533349037,-0.167033210397
1950,-0.329596996307,0.0663333237171,-0.00388792157173
351,0.676198363304,-0.397199988365,-0.023034632206
4846,0.522264003754,0.243066683412,0.877561211586
1452,0.0256054401398,-0.651233375072,0.290899842978
4776,0.190445482731,1.106133461,-0.2226524055
6908,0.00447873771191,-0.586633324623,-0.41198605299
672,-0.550126791,0.189900010824,-0.768437743187
5710,0.512515187263,0.270233392715,1.29729938507
2115,-0.495465666056,1.4321000576,-0.121682077646
7015,-0.996061384678,0.341300010681,-0.925523221493
8726,2.8319246769,0.0455333292484,0.676097691059
2185,-0.044662758708,0.93850004673,-0.801978647709
3315,1.13619458675,-0.00853334367275,0.153376042843
5289,-0.0923110321164,0.869100034237,-0.754204034805
868,-0.016575505957,0.709000051022,0.256834566593
1677,0.362698614597,-0.153066664934,0.101381354034
7043,0.569789648056,0.520466685295,0.0360955297947
5613,0.0505639612675,0.133333325386,-0.549911677837
595,0.385835170746,-0.19470000267,0.527452945709
4793,-0.478861629963,1.33280003071,0.134240061045
2736,-0.0341514348984,1.09716665745,-0.572045564651
5290,0.746532559395,0.838766694069,-0.336329817772
6194,-0.212944626808,-1.3437333107,-0.506415486336
1676,-0.157029241323,0.857566714287,0.527138948441
23512,-0.0567592084408,0.0712000057101,0.322022557259
148022,-0.340019851923,0.723400056362,0.367990463972
1906,-0.172919765115,0.323166668415,-0.7859339118
8878,-0.0692185163498,-1.0408667326,0.617307782173
3091,0.531025767326,-1.41240000725,-1.01123356819
5743,-0.615681290627,1.17850005627,-0.168216586113
