rid,CPC002_HA1E_6H:BRD-K34170797-001-01-1:10,CPC002_HA1E_24H:BRD-K34170797-001-01-1:10,CPC002_HCC515_6H:BRD-K34170797-001-01-1:10,CPC002_HCC515_24H:BRD-K34170797-001-01-1:10,CPC002_PC3_6H:BRD-K34170797-001-01-1:10,CPC002_PC3_24H:BRD-K34170797-001-01-1:10,CPC002_VCAP_6H:BRD-K34170797-001-01-1:10,CPC002_VCAP_24H:BRD-K34170797-001-01-1:10,CPC018_A375_6H:BRD-K34170797-001-01-1:10,CPC018_A549_6H:BRD-K34170797-001-01-1:10,CPC018_A549_24H:BRD-K34170797-001-01-1:10,CPC018_ASC_24H:BRD-K34170797-001-01-1:10,CPC018_HEPG2_6H:BRD-K34170797-001-01-1:10,CPC018_HT29_6H:BRD-K34170797-001-01-1:10,CPC018_MCF7_6H:BRD-K34170797-001-01-1:10,CPC018_MCF7_24H:BRD-K34170797-001-01-1:10,CPC018_NPC_24H:BRD-K34170797-001-01-1:10,CPC018_PHH_24H:BRD-K34170797-001-01-1:10,CPC018_SKB_24H:BRD-K34170797-001-01-1:10
5720,0.630401849747,-1.31963574886,0.141258835793,0.0784786939621,-1.72462320328,-0.639469146729,0.633347153664,1.07543826103,0.473463475704,-0.397253483534,-0.285400003195,0.101407766342,-0.803641080856,0.384829610586,0.0415345355868,0.809285581112,0.260174095631,-0.315298736095,0.879590272903
466,0.431631684303,-2.07081890106,-0.208881750703,-0.306365728378,-1.54713439941,-1.84420073032,0.177248820662,0.471942454576,0.767543375492,0.376080930233,0.48265004158,1.19760537148,0.00963252782822,0.272140860558,0.386480718851,0.548605978489,1.07149767876,-0.331739842892,-1.25067257881
6009,0.103631198406,0.430277436972,-0.00528961420059,-0.316604822874,-3.39824318886,0.468072891235,0.863562583923,-0.410687625408,0.466199725866,-0.44098046422,-1.01444995403,0.576915860176,0.0511720776558,-0.20333121717,-0.214599192142,-0.2807508111,-0.0742589682341,0.699585735798,-0.615229725838
2309,-0.0104891061783,1.28389000893,0.0494505763054,-0.208087623119,-1.03753435612,1.36823153496,1.18694221973,0.987251520157,-0.111083477736,-1.02938532829,0.505050063133,0.800130367279,-0.190269872546,1.27454006672,0.548852443695,-0.152755081654,-0.215483307838,0.354149103165,0.207347393036
387,0.475559413433,2.35279798508,0.185306534171,0.0944844409823,0.712560892105,1.84975385666,2.00866436958,0.556696891785,-0.0283775255084,-0.294083356857,0.575749993324,0.0700595751405,-0.361255794764,0.502256572247,-0.626818299294,-0.23600295186,-0.200361132622,-0.111874118447,0.381273388863
3553,-0.853501021862,0.326092213392,-0.975780546665,-0.639670968056,-0.619070887566,0.956948161125,0.311587035656,-0.896151185036,-0.463868737221,-0.327893316746,-0.506900012493,-1.66584801674,-0.233744233847,-0.483903229237,-0.896500885487,-0.584919393063,0.193190619349,-0.994893670082,-0.772660195827
427,0.639975965023,-0.433250904083,-0.381958723068,0.485549837351,-0.204913720489,-0.358300089836,0.347295105457,0.957709312439,-0.389511674643,0.71169424057,-0.00319999456406,-0.43172866106,0.841122031212,0.434042781591,0.579039931297,1.26220560074,4.1364364624,-0.0619655996561,0.216081261635
5898,0.416038125753,-0.375670462847,-0.5306250453,-1.61450135708,0.876385331154,0.101869702339,0.391673743725,-0.0293735563755,0.0344172939658,0.595643043518,-1.18605005741,0.368500858545,0.725561916828,0.122606188059,-0.585101127625,0.014879360795,-0.355229973793,0.516938269138,0.0026236847043
23365,0.496311664581,0.71528840065,0.473722994328,-0.0928915143013,1.59960246086,2.00120568275,0.188214763999,-0.540542244911,0.175585404038,0.82211458683,3.01195001602,-0.26257750392,1.00898230076,-0.0467640571296,-0.0963804274797,2.51456022263,0.970391154289,-0.35683119297,1.01776826382
6657,-1.07813620567,0.049803160131,-0.104220360518,0.214578673244,-0.366280317307,-0.52611720562,0.746444106102,-1.11337971687,0.236507415771,-0.298557817936,-0.482400000095,-0.692459464073,-0.147295996547,0.110166862607,0.0194406807423,-0.674103021622,0.211733430624,-0.829535901546,-0.704002439976
