rid,CPC002_HA1E_6H:BRD-K78633253-001-04-6:10,CPC002_HA1E_24H:BRD-K78633253-001-04-6:10,CPC002_HCC515_6H:BRD-K78633253-001-04-6:10,CPC002_HCC515_24H:BRD-K78633253-001-04-6:10,CPC002_PC3_6H:BRD-K78633253-001-04-6:10,CPC002_PC3_24H:BRD-K78633253-001-04-6:10,CPC002_VCAP_6H:BRD-K78633253-001-04-6:10,CPC002_VCAP_24H:BRD-K78633253-001-04-6:10,CPC007_A375_6H:BRD-K78633253-001-07-9:10,CPC007_A375_24H:BRD-K78633253-001-07-9:10,CPC007_A549_6H:BRD-K78633253-001-07-9:10,CPC007_A549_24H:BRD-K78633253-001-07-9:10,CPC007_HA1E_6H:BRD-K78633253-001-07-9:10,CPC007_HA1E_24H:BRD-K78633253-001-07-9:10,CPC007_HCC515_6H:BRD-K78633253-001-07-9:10,CPC007_HT29_6H:BRD-K78633253-001-07-9:10,CPC007_HT29_24H:BRD-K78633253-001-07-9:10,CPC007_MCF7_6H:BRD-K78633253-001-07-9:10,CPC007_MCF7_24H:BRD-K78633253-001-07-9:10,CPC007_PC3_6H:BRD-K78633253-001-07-9:10,CPC007_PC3_24H:BRD-K78633253-001-07-9:10,CPC007_VCAP_6H:BRD-K78633253-001-07-9:10,CPC007_VCAP_24H:BRD-K78633253-001-07-9:10,CPC016_A375_6H:BRD-K78633253-001-04-6:10,CPC016_A549_6H:BRD-K78633253-001-04-6:10,CPC016_A549_24H:BRD-K78633253-001-04-6:10,CPC016_ASC_24H:BRD-K78633253-001-04-6:10,CPC016_HEPG2_6H:BRD-K78633253-001-04-6:10,CPC016_HT29_6H:BRD-K78633253-001-04-6:10,CPC016_MCF7_6H:BRD-K78633253-001-04-6:10,CPC016_MCF7_24H:BRD-K78633253-001-04-6:10,CPC016_NEU_24H:BRD-K78633253-001-04-6:10,CPC016_NPC_24H:BRD-K78633253-001-04-6:10,CPC016_SKB_24H:BRD-K78633253-001-04-6:10
5720,0.331080406904,-1.18906509876,0.23160675168,-0.42650270462,-0.359012842178,-0.287803083658,-0.268898278475,-0.810265541077,0.917780041695,1.96608412266,0.59379696846,0.592635273933,-0.245659783483,0.791595935822,-0.344650000334,-0.604200899601,-0.0197693761438,0.388200342655,-0.552590727806,-0.0291479676962,1.17319834232,0.524186849594,-1.64053440094,0.61862808466,-0.0836000144482,-0.286706745625,0.0996999815106,-0.895600020885,1.22765827179,0.993897855282,-0.0118637233973,-0.304857969284,-0.580915272236,0.32131382823
466,-0.290726304054,-1.66855633259,-0.654015123844,-0.232742905617,-0.858906924725,-0.324568361044,0.299499571323,-0.274298191071,0.498292595148,1.41209506989,0.232345983386,0.0205303654075,1.33454561234,0.794589281082,-0.91789996624,0.145621448755,0.579517841339,0.585833787918,-0.0350040048361,0.549169063568,-0.649675548077,0.00456172227859,0.753855526447,0.402082562447,0.216700002551,-0.37996327877,-0.491633355618,-0.105500005186,0.71462148428,1.02815330029,0.425786435604,-0.685956597328,-0.0339362807572,1.00317525864
6009,-0.281438440084,-0.436037957668,-0.176290288568,-0.858833611012,-0.582456946373,-0.479794353247,0.526007056236,0.454362004995,-0.411205887794,0.642342805862,0.343469798565,0.0224471464753,-0.891321837902,0.199218809605,-0.157350003719,-0.47509393096,0.322997152805,-0.629256486893,-0.428959220648,0.0849214494228,0.501563668251,2.11672544479,-0.530474722385,-0.0103950127959,0.0493499934673,-0.947569310665,0.440099984407,-1.51670002937,0.822039842606,2.66802406311,0.19597619772,-0.207650929689,-0.212897568941,0.236643224955
2309,1.18026304245,-1.31005251408,-0.0822770744562,0.450224220753,-0.278548419476,-1.05019402504,-0.224147170782,-0.354748249054,-0.271435916424,-0.464816659689,-0.700102567673,-0.104766204953,-0.443655073643,-0.500230669975,0.96899998188,-0.138633877039,-0.256242394447,-1.27213859558,-0.742144346237,-0.944510221481,-0.313313812017,-0.114677399397,-0.502120375633,0.356097400188,0.602149963379,-0.6419698596,-0.8207000494,-0.491499990225,0.535962104797,0.107315227389,0.376573443413,1.06988191605,-1.11324715614,0.913670539856
387,-1.36323738098,-0.117445066571,-1.12243318558,0.558829069138,-0.773296892643,-0.0149433212355,-0.849284768105,-0.0389191284776,-0.0811347067356,1.0721116066,-1.07529997826,-0.557030558586,0.274061381817,-0.290530771017,-1.6930000782,-0.308334767818,-0.0578870475292,-0.388099491596,-0.95302093029,0.155359551311,0.507321059704,-0.560994625092,-0.742323756218,-0.121652960777,-0.513000011444,-1.16999161243,0.102099999785,-0.781049966812,1.03468370438,-0.925614356995,0.565056502819,-0.0280730500817,-0.258776724339,0.56745660305
3553,0.573816537857,4.50189638138,1.25134348869,-1.53726398945,-1.42513597012,-3.53211426735,-0.231770381331,0.724630057812,-0.812152862549,-0.470242649317,1.15510106087,0.0918019115925,-0.876200199127,0.443633794785,0.98189997673,0.457508563995,-0.285602748394,0.561886310577,1.63885688782,-1.50649356842,-1.8107367754,0.115777246654,0.859568357468,-0.748778581619,-0.834250032902,-0.285278260708,0.445266664028,0.485799998045,-1.13134968281,-0.353886187077,-0.195637896657,-0.92785346508,0.375232636929,-1.42737090588
427,-0.824186086655,-1.23036599159,-0.611392557621,-0.5358517766,-0.883774757385,-0.669538617134,-0.605214595795,-0.596766889095,-0.144974708557,0.409633457661,-0.897729873657,-0.217464804649,0.154193624854,0.980293214321,-0.0955499410629,0.116273403168,1.62578213215,-0.746627986431,0.470374286175,0.288319170475,-0.132249683142,0.063801176846,0.724488139153,-0.1954279989,0.0512000024319,-0.259151250124,0.535933315754,-0.742949962616,0.311009824276,1.5294508934,0.718963563442,0.613393902779,-1.13190209866,-0.821634292603
5898,-2.09632730484,-0.641979277134,-0.559682965279,-0.36329382658,-0.43594199419,-0.89266782999,0.480401217937,-0.288793176413,0.450725853443,0.884930372238,0.165728360415,-0.258419930935,0.461372971535,-0.455214351416,-0.103850007057,0.0716311633587,0.552968680859,-0.416007339954,-0.166559815407,0.426041305065,0.0233041327447,-0.193141132593,1.1979483366,-0.407339096069,0.571449995041,-0.63720947504,0.016133338213,0.705049991608,-1.02365732193,-0.539497375488,0.0907657444477,-1.32179033756,-0.449616104364,0.691839933395
23365,-2.11981034279,-0.44043853879,-0.81331551075,0.981589436531,-0.520237267017,0.471587002277,-0.316562056541,-0.798951804638,-0.26190251112,0.330231308937,-0.0531986691058,-0.284407138824,0.189123690128,-0.0578144341707,-0.483950018883,0.313183188438,-0.496122598648,1.17686414719,1.0217820406,0.244789779186,-0.0274110604078,0.0707930922508,-0.506186127663,-1.18268299103,-0.323950022459,-0.732956290245,-0.0996666699648,0.281999975443,0.274249196053,-0.428759306669,-1.01505804062,-0.749168813229,-0.3064673841,0.32696467638
6657,1.15102481842,4.57671260834,0.352743923664,-1.06581664085,0.265479415655,0.00326173380017,0.58376121521,0.574454843998,-0.458641558886,0.99743270874,-0.572501540184,0.742431044579,-0.339086323977,-0.17542283237,1.79604995251,0.413719266653,-1.09075784683,0.255141884089,0.851336181164,-1.11898899078,-0.491005182266,-0.50453877449,0.0490134060383,-0.377388715744,-0.306699961424,-0.168006330729,-0.334600001574,0.437099993229,-1.2831556797,-0.449011564255,-0.285765171051,0.325393795967,-0.736518740654,-1.43327283859
