rid,ERG014_PC3_24H:BRD-K52435112-001-01-3:9.9739,ERG014_PC3_6H:BRD-K52435112-001-01-3:9.9739,ERG014_VCAP_24H:BRD-K52435112-001-01-3:9.9739,ERG014_VCAP_6H:BRD-K52435112-001-01-3:9.9739
5720,-0.96735137701,0.705350041389,0.591560840607,0.525969564915
466,-0.424748241901,0.522800028324,0.234927505255,0.838094472885
6009,0.0733036398888,-0.726549983025,-0.258356064558,0.175239607692
2309,1.52925229073,-0.241950005293,0.34775942564,1.04121947289
387,-0.756429195404,0.404199957848,-0.718243479729,-0.377114266157
3553,-0.288960576057,-2.1888999939,-0.219227194786,-0.825524806976
427,0.131109252572,0.198049992323,0.918254077435,0.351940959692
5898,-0.336599349976,0.784950017929,-0.151982352138,1.31803607941
23365,-0.898781061172,-0.394300013781,-0.113774955273,0.397445380688
6657,1.16602873802,-0.997299969196,-0.406420081854,-0.753514707088
5054,0.0549832582474,-0.155799999833,-0.401087641716,-0.438553154469
3108,-0.551658332348,0.182850003242,-0.712894380093,-0.0819347798824
1950,0.986779808998,0.00975000020117,0.429520189762,-0.534864187241
351,1.84883165359,0.337249994278,0.696855127811,1.63689601421
4846,1.70600414276,-0.402099996805,0.596187829971,-0.859873354435
1452,-0.627604305744,1.5748000145,0.276714414358,0.936356842518
4776,0.882733106613,-0.726499974728,0.10577082634,-0.757331669331
6908,-1.02395224571,0.00110000371933,0.4043443501,0.785348534584
672,0.235565692186,-0.0212000012398,0.025266058743,2.11057853699
5710,-0.578053474426,-0.0816999971867,0.711984217167,0.633847296238
2115,-0.424677759409,0.110150009394,-0.973062992096,-0.496402978897
7015,1.47943115234,-0.598649978638,0.112784706056,-0.158634662628
8726,-0.40232911706,-0.10759999603,-0.223581492901,0.50895190239
2185,0.521925926208,-1.02645003796,0.656915664673,-1.21755766869
3315,-1.4469807148,0.939750015736,0.617097258568,0.79098033905
5289,0.0368321835995,-0.144450008869,0.577944397926,0.822094202042
868,1.1359051466,1.24900007248,-0.551341414452,-1.43267321587
1677,-0.0426018983126,-0.0450999997556,-0.34017983079,-0.969064712524
7043,0.34023681283,-0.544499993324,-0.363194614649,-0.710523724556
5613,1.19634580612,-0.617600023746,-0.387219816446,-0.965997934341
595,-1.12310922146,0.548650026321,0.357256442308,0.845225453377
4793,0.996576786041,0.532299995422,-0.147245794535,1.136023283
2736,0.645995497704,-1.11989998817,-0.458156704903,-0.474244236946
5290,0.792247951031,-0.965499997139,-0.563622355461,-0.374495536089
6194,-0.071041315794,-0.362649977207,0.467475354671,0.0
1676,0.0588112175465,-0.878549993038,-0.232287526131,-0.738899290562
23512,-0.175239086151,-0.0126499980688,0.0774633288383,1.10100662708
148022,-2.25998258591,-0.336250007153,0.0406568348408,1.05420184135
1906,0.794963002205,-0.327600002289,-0.376394540071,-0.943913698196
