rid,KHW001_HA1E_6H:BRD-K99440638-001-01-3:10,KHW001_HS27A_6H:BRD-K99440638-001-01-3:10,KHW001_SKM1_6H:BRD-K99440638-001-01-3:10,KHW001_U937_6H:BRD-K99440638-001-01-3:10
5720,-0.483944416046,-0.124965652823,-0.901583909988,-0.453982651234
466,-0.488810122013,-0.296286404133,-0.560377836227,0.112363621593
6009,0.30073350668,0.303637892008,-0.470071554184,-0.166215077043
2309,-0.222865074873,-0.222429186106,0.609647870064,0.23114579916
387,0.173795729876,0.341066896915,-0.890391647816,0.570104420185
3553,-0.990250945091,-1.0078163147,0.0938812792301,-0.22122952342
427,0.226100564003,0.308038324118,1.28660488129,0.406369537115
5898,0.382295608521,-0.0919303894043,0.596764802933,0.823943436146
23365,-0.444920063019,-0.520634889603,0.10385838896,0.481097906828
6657,-0.275706827641,-0.628917038441,0.187462300062,-0.203444629908
5054,-0.553852140903,-0.411998867989,1.02957367897,0.0684715807438
3108,0.876116216183,0.568765103817,0.233390539885,0.0600436627865
1950,-0.231865659356,0.475488990545,0.290412247181,-0.460435241461
351,-0.00440661842003,0.000603385618888,0.266926139593,-0.958043813705
4846,0.549697220325,-0.831894040108,-0.432017624378,-0.0299106538296
1452,0.220655173063,0.00878573209047,-0.545349895954,-0.00127075240016
4776,0.370137274265,0.604257464409,0.153876826167,-0.258931070566
6908,-0.236141949892,-0.276866614819,0.0635440349579,0.0641222074628
672,-0.118006840348,0.16887652874,0.1515417099,0.195910722017
5710,-1.41573643684,-0.225189775229,0.518707871437,-0.237482205033
2115,0.702498912811,0.485768139362,-1.13513493538,0.021090567112
7015,0.235357940197,0.279376089573,-0.40467312932,-0.145483136177
8726,-0.197551965714,-0.278603971004,-0.684382855892,0.0624966323376
2185,-0.0157898366451,0.621824920177,-0.932570099831,0.298402011395
3315,0.320774555206,-0.00160401326139,1.12538552284,1.11515390873
5289,0.239638134837,0.21944449842,-0.0708842352033,0.0355012714863
868,-0.20296292007,1.23048949242,0.119602665305,0.35018247366
1677,0.317200779915,0.102304175496,-0.313287228346,0.160747140646
7043,-0.671287059784,-0.0394837483764,0.00447339564562,-0.539161145687
5613,0.114462800324,-0.099685035646,0.162555843592,-0.938164293766
595,0.136741936207,-0.117397084832,0.150816172361,0.117498323321
4793,0.0828564316034,0.965878784657,-1.20633685589,1.01966691017
2736,-0.576300859451,-0.700257599354,0.118613444269,-0.65175563097
5290,-0.563212931156,-0.108719259501,0.534303367138,-0.169697552919
6194,0.000478041474707,-0.0018163844943,-0.0922282785177,0.000249797594734
1676,0.227151989937,0.806257247925,0.307937055826,-0.0666038691998
23512,-0.3786470294,-0.0466052107513,0.0673097372055,-0.0513553619385
148022,-0.201130017638,0.264138072729,-0.76640111208,1.0922036171
1906,-0.25412017107,-0.0643751397729,0.403557687998,-0.613717794418
8878,1.52950632572,0.00502324011177,1.52231931686,0.698506772518
3091,-1.37200891972,0.000156508598593,1.14270138741,-0.707592904568
5743,0.207428649068,-0.0689199715853,0.458339780569,0.371454238892
5321,-0.0643350481987,0.000977102434263,0.324153393507,-0.154301911592
4144,-0.204032436013,-0.000107744563138,-0.882080078125,-1.19514119625
1981,0.992244541645,1.58562135696,-0.416956961155,-0.358098238707
695,-1.03488683701,-0.446484982967,0.0163129158318,-0.0378510057926
10398,0.107406720519,-0.918808460236,0.360772162676,-0.942367970943
5708,0.00127824442461,0.0013233119389,0.982175350189,-0.921034812927
1213,0.399964362383,-0.101804181933,0.756977558136,0.664547145367
226,0.957558751106,0.149532139301,-0.708480834961,0.508224010468
6777,-0.260280013084,0.87513256073,-0.207976534963,0.461476445198
2113,-0.485692679882,0.214313715696,-1.54080116749,-0.675136387348
3329,0.211330235004,0.0170259661973,0.00233659893274,0.406066030264
1050,-0.0558121651411,-0.482808351517,-0.395467758179,-1.05806052685
9491,0.247874930501,0.520003736019,0.102205052972,0.497306376696
22926,0.0560439825058,-0.04780626297,-0.278236955404,-0.117156811059
5899,0.200967401266,-0.158075839281,-2.18606948853,0.330952614546
