rid,DEB001_MCF7_6H:BRD-K05485208-001-01-1:25,DEB001_MCF7_6H:BRD-K05485208-001-01-1:10,DEB001_MCF7_6H:BRD-K05485208-001-01-1:5,DEB001_MCF7_6H:BRD-K05485208-001-01-1:1,DEB001_MCF7_6H:BRD-K05485208-001-01-1:0.2,DEB001_MCF7_24H:BRD-K05485208-001-01-1:25,DEB001_MCF7_24H:BRD-K05485208-001-01-1:10,DEB001_MCF7_24H:BRD-K05485208-001-01-1:5,DEB001_MCF7_24H:BRD-K05485208-001-01-1:1,DEB001_MCF7_24H:BRD-K05485208-001-01-1:0.2,DEB001_PC3_6H:BRD-K05485208-001-01-1:25,DEB001_PC3_6H:BRD-K05485208-001-01-1:10,DEB001_PC3_6H:BRD-K05485208-001-01-1:5,DEB001_PC3_6H:BRD-K05485208-001-01-1:1,DEB001_PC3_6H:BRD-K05485208-001-01-1:0.2,DEB001_PC3_24H:BRD-K05485208-001-01-1:25,DEB001_PC3_24H:BRD-K05485208-001-01-1:10,DEB001_PC3_24H:BRD-K05485208-001-01-1:5,DEB001_PC3_24H:BRD-K05485208-001-01-1:1,DEB001_PC3_24H:BRD-K05485208-001-01-1:0.2
5720,0.451862901449,-0.0388243272901,0.570448219776,-0.722795963287,-0.25346827507,0.358120918274,0.603099942207,0.00556968152523,0.368587344885,0.259064525366,0.903850793839,0.521090865135,0.164998441935,0.320097357035,-0.104946032166,0.116681367159,0.545613765717,0.380054533482,0.383733838797,0.362571269274
466,-0.0306588299572,-0.122982352972,0.350137889385,-0.128544285893,-0.242168918252,0.38301345706,0.581060647964,0.667304158211,0.485537290573,0.1670114398,0.494576096535,0.768110990524,0.00318673998117,0.52900147438,0.219652369618,0.463154733181,0.141193971038,0.237567484379,-0.575924396515,-0.402456074953
6009,0.325688034296,-0.188592135906,-0.40749758482,-0.108041927218,-0.360159307718,-0.420875698328,-0.0463707670569,0.168411284685,-0.329755932093,-0.73887193203,-0.3521669209,0.160458803177,0.178843200207,-0.30645647645,-0.223327428102,0.465356320143,0.0888916477561,-0.137129217386,0.285382837057,0.588811933994
2309,-0.513627648354,-0.190266609192,0.401720494032,0.217031702399,-0.61259740591,0.354504138231,-0.667385458946,0.00445157336071,-0.91040199995,-0.0940424874425,-0.431299090385,-0.21428129077,0.48681396246,0.592663705349,0.0875919312239,-0.337128341198,-0.503847062588,-0.0107362270355,0.353052973747,0.456942200661
387,-0.0505238473415,-0.216682106256,-0.0777756869793,0.345450431108,-0.241084352136,1.1859754324,-0.104615285993,-0.151244968176,-0.671604990959,-0.0313014499843,-0.179041728377,-0.20778042078,0.315263271332,-0.591679215431,-0.411012738943,0.107635237277,-0.00877382606268,0.484347075224,0.106335051358,0.230950057507
3553,0.533208250999,0.137165889144,0.0664642080665,0.837463915348,0.556647181511,-0.0393493771553,0.475845724344,0.123087108135,0.0504700616002,0.454201847315,0.341402232647,0.268300712109,1.17540764809,-0.190650254488,-0.221038937569,-0.0156711041927,0.0524253286421,0.587214708328,0.0568078458309,0.120033316314
427,-0.612325012684,-0.325187951326,-0.651838839054,-0.342152655125,0.485453397036,0.571208715439,0.585169732571,-0.135745167732,0.126614063978,-0.284679353237,0.0380677133799,0.284415453672,-0.197883829474,0.149396851659,1.27240431309,0.452140510082,0.642894387245,-0.0333006083965,-0.634886085987,-0.302256822586
5898,-0.0819630995393,-1.55467748642,0.338900595903,-2.51584196091,0.631231307983,0.4805957973,0.691822707653,-0.00909231323749,0.132289215922,0.116791985929,0.473730862141,0.685104846954,-0.151186406612,0.0914949625731,0.501506268978,0.278535544872,0.506515145302,0.241709381342,-0.515901088715,-1.69342899323
23365,0.447150558233,-0.734677672386,0.397581934929,0.84024232626,-0.450486570597,0.589495718479,-0.407565653324,0.343570351601,-0.315836459398,-0.234519436955,-0.0906907618046,-0.104926101863,0.417302638292,-0.468408048153,-0.357672631741,0.924656510353,0.360670924187,-0.20481492579,-0.525400936604,-0.384303212166
6657,0.342195898294,0.574892163277,-0.403650194407,0.237158969045,0.732334554195,-0.723643958569,-0.0597629956901,-0.797026753426,-0.27743768692,0.139913395047,-0.682671666145,-0.441178947687,-0.889219939709,-0.36094135046,-0.248653978109,-0.264616519213,-0.537226438522,-0.766729831696,0.410086125135,0.255924731493
