rid,CPC013_A375_6H:BRD-A68274214-001-01-7:10,CPC013_A549_6H:BRD-A68274214-001-01-7:10,CPC013_A549_24H:BRD-A68274214-001-01-7:10,CPC013_ASC_24H:BRD-A68274214-001-01-7:10,CPC013_HA1E_6H:BRD-A68274214-001-01-7:10,CPC013_HCC515_6H:BRD-A68274214-001-01-7:10,CPC013_HEPG2_6H:BRD-A68274214-001-01-7:10,CPC013_HT29_6H:BRD-A68274214-001-01-7:10,CPC013_MCF7_6H:BRD-A68274214-001-01-7:10,CPC013_MCF7_24H:BRD-A68274214-001-01-7:10,CPC013_NEU_24H:BRD-A68274214-001-01-7:10,CPC013_NPC_24H:BRD-A68274214-001-01-7:10,CPC013_PC3_6H:BRD-A68274214-001-01-7:10,CPC013_PC3_24H:BRD-A68274214-001-01-7:10,CPC013_SKB_24H:BRD-A68274214-001-01-7:10,CPC013_VCAP_6H:BRD-A68274214-001-01-7:10,CPC013_VCAP_24H:BRD-A68274214-001-01-7:10
5720,-0.974455535412,0.819000005722,-0.390766680241,-0.317089021206,-1.76501524448,0.2926248312,0.861617982388,-0.418295532465,-0.698449075222,0.684781372547,2.20335006714,-0.406564772129,-0.147434338927,-0.467489302158,-0.916515648365,0.195335835218,1.44053578377
466,-0.112852573395,1.54170000553,0.783200025558,-0.826823592186,0.091342061758,0.223227277398,0.936933994293,0.303809821606,0.159037858248,-1.34490478039,-0.86384999752,-0.216738268733,-0.00518208835274,-0.0936105251312,-1.36076438427,0.7083081007,1.18811881542
6009,-0.146477401257,0.854499995708,-0.110066652298,-0.244034320116,-0.77249866724,0.453939378262,2.25137877464,0.0608131438494,0.522181332111,1.03330171108,-1.71224999428,0.6061398983,-0.232732310891,0.317928552628,0.925951838493,0.585693717003,1.78317022324
2309,-0.572836339474,-0.285849988461,-0.2228333354,0.0904416516423,-0.295734524727,1.38165712357,-3.14119005203,0.521609604359,0.0404371768236,-0.0895131528378,-0.835350036621,-0.0403712838888,-0.742458164692,0.650376141071,0.700748920441,-0.286499887705,0.406193435192
387,0.31658911705,0.0579000003636,-0.112199991941,-0.324165433645,0.196856424212,0.237316310406,1.59156525135,0.450596034527,-0.277449429035,1.08551502228,-0.96489995718,0.620154261589,-0.41360616684,0.451632410288,1.36108601093,-0.122351169586,1.19125235081
3553,0.704405486584,-1.18375003338,-0.359433352947,-0.331704497337,-0.253152430058,-2.03508114815,-0.0619797408581,-0.65126478672,-0.216109424829,-0.731994271278,-0.311399996281,-0.0721181929111,-0.0233640167862,-1.22044253349,-0.989189147949,-1.85220277309,-2.11602544785
427,-0.917106747627,-0.461299985647,2.22936677933,-0.345308631659,0.418638586998,-0.0219050943851,1.7712726593,-0.501840353012,0.82905369997,-0.188939243555,-0.0750999450684,-0.333942979574,0.243402957916,0.496407151222,-0.0824262648821,0.245204970241,-0.46251231432
5898,-0.945387840271,-0.71305000782,-0.338400036097,-1.55066823959,-1.13111078739,-2.14737296104,-0.414381563663,-0.0488336533308,-0.0172154456377,-1.12561869621,-0.864449977875,-0.710656344891,-0.185986489058,-0.107239715755,-2.50836348534,-0.702967405319,-1.0723669529
23365,-0.442745387554,-0.704300045967,-0.15516667068,-0.191715404391,0.298381477594,-0.685283064842,4.1081776619,-0.122554138303,0.0442617982626,-0.471301585436,3.08340001106,-0.514946460724,-0.459921568632,0.377830594778,-1.43443119526,-0.51219367981,-1.00726306438
6657,-0.455233842134,-1.22749996185,-0.00716671347618,0.71880376339,0.74561560154,-0.594648718834,1.40579819679,-0.132077619433,-0.261978566647,-0.590152680874,-0.119249999523,0.706493377686,0.745854735374,-0.710504055023,0.289675295353,-1.20782852173,-2.08506679535
5054,2.84838557243,0.566749989986,-0.0245333313942,-1.04517662525,-0.906454920769,-1.24584579468,-0.150695487857,-0.0459307730198,0.13134123385,0.16897828877,-0.495400011539,-0.248088151217,-0.680242419243,-0.555166065693,-1.02691566944,-0.452869772911,-0.621570467949
3108,-0.589236438274,0.215750008821,0.0517666637897,0.223253369331,-0.149135783315,1.10498785973,-1.23242712021,0.140926480293,0.103432521224,-0.445148229599,-1.61174988747,3.30660820007,-0.0703061595559,-0.186554968357,1.53484964371,0.50105035305,-0.438526153564
1950,0.812654435635,-0.325549989939,-0.535733342171,0.522948384285,1.42290854454,-0.437259554863,-0.683953344822,-0.373726904392,0.904602825642,-0.0535836070776,3.45650005341,0.280053704977,1.1694945097,0.58576965332,-0.872600138187,-0.194157421589,-0.941528201103
351,1.29311430454,0.46590000391,0.669400036335,0.106805995107,-1.08704507351,0.0969649255276,-0.078060567379,0.0594975799322,1.22836995125,0.0257269889116,-0.00265000015497,-0.754501998425,-0.902891635895,-0.895533502102,-0.53820091486,0.0911668166518,-0.513535261154
4846,0.24884404242,-0.242950007319,-0.844900012016,0.522063136101,2.18990588188,-0.899086713791,-2.25821471214,-0.913350462914,-0.0165576413274,-0.33027946949,2.77534985542,0.74389898777,0.641496539116,-0.473179489374,0.31975287199,1.61354386806,-1.04448163509
1452,-1.50985479355,-0.713349997997,-0.859466731548,0.246207863092,-0.224072009325,0.0526074543595,-1.07863819599,-0.399013459682,-0.867912352085,0.770495772362,0.181149959564,0.168054521084,0.405839979649,0.533797442913,0.428246289492,-0.404706507921,0.479527890682
4776,-0.0443249791861,-0.902649998665,0.257533282042,-0.15950088203,0.00062420964241,-0.765297949314,0.0336644202471,-0.568756699562,0.851883888245,-0.233519881964,1.21990001202,1.07940363884,0.378768265247,-1.41989243031,-0.497203201056,-0.31016471982,-2.05259895325
6908,-0.987458586693,0.67919999361,-0.353233397007,-0.361093878746,-0.176387503743,1.23067545891,3.05841159821,-0.110571458936,-0.272608190775,1.34509146214,-1.12325000763,0.898107767105,-0.675702273846,0.666841268539,1.1356164217,1.46591329575,2.68320012093
672,-0.146387353539,-1.16089999676,-0.390666663647,0.0874125212431,0.194885730743,1.19215095043,-0.554351985455,-0.428247749805,0.0958547145128,0.694253563881,0.444349974394,-0.00503201037645,-0.361280232668,-0.0243471264839,-0.98144620657,-0.887850522995,0.412823945284
5710,-2.26949357986,0.181400001049,-1.36950004101,0.321948945522,-1.11726212502,1.2926492691,0.261687040329,-0.0537954606116,-0.502830326557,0.943492949009,-0.714500010014,-0.251331984997,-0.835259258747,-0.218127295375,-1.52824616432,0.00796788930893,-0.0912257432938
