rid,DOS008_VCAP_6H:BRD-K24821098-001-01-7:5,DOS008_VCAP_24H:BRD-K24821098-001-01-7:5,DOS037_A549_24H:BRD-K24821098-001-01-7:5
5720,0.339000225067,0.0297192037106,-0.689700007439
466,0.558115243912,0.0135570093989,1.05729997158
6009,-0.837218761444,-0.632543325424,0.122400015593
2309,-0.289894580841,-0.143844246864,0.0418999791145
387,-0.684141755104,0.113063886762,-0.131899997592
3553,-1.25432491302,-0.191693693399,-0.554549992085
427,0.250051379204,0.476389944553,-2.35519981384
5898,0.390005469322,0.299388945103,-0.0732500106096
23365,-0.243620634079,-0.0329807251692,1.00880002975
6657,-1.32536041737,-1.76099586487,-0.511349976063
5054,0.643936514854,0.379190504551,0.349299967289
3108,-2.07606220245,-0.744637608528,0.684350013733
1950,0.305776327848,-1.2523611784,-0.275350004435
351,0.857837736607,-0.845929861069,0.0301000010222
4846,1.58855450153,-0.439037621021,-0.763800024986
1452,-0.322342664003,0.348855525255,-1.96364998817
4776,-0.176525011659,-0.106906279922,-0.475050002337
6908,-0.197764128447,-0.856860637665,-0.0885500013828
672,0.244010597467,1.86741769314,0.607299983501
5710,0.564917445183,1.12590754032,-0.7174000144
2115,-1.84128391743,-0.324965596199,-0.544600009918
7015,-0.229973629117,-0.776708781719,-0.582149982452
8726,0.0761322975159,0.259416788816,-0.916800022125
2185,-0.813852190971,-0.514499604702,-0.709349989891
3315,0.0412471592426,-1.26214206219,0.429450005293
5289,-0.145164847374,-0.253251940012,-0.529600024223
868,-0.238440454006,0.0686039030552,-0.70634996891
1677,-0.335054248571,-0.643980026245,0.179949998856
7043,-0.902316510677,0.219662383199,-0.261449992657
5613,0.300004661083,-0.388501644135,-1.34219992161
595,-0.156380668283,1.07186353207,0.310299992561
4793,0.0341157019138,-0.789282262325,0.822750031948
2736,-0.481644511223,-0.654181182384,0.300599992275
5290,-0.786948680878,-1.48808443546,-1.37709999084
6194,-0.206871986389,-0.226343989372,0.00034999998752
1676,-0.442461907864,-0.231906235218,-1.02565002441
23512,0.714538931847,0.493732184172,0.471700012684
148022,-0.0683899819851,0.0745737925172,0.020900003612
1906,-0.497770130634,-0.323189437389,0.0284999608994
8878,0.426832795143,1.17070150375,-0.861699998379
3091,0.8228058815,0.0767528712749,1.09449994564
5743,-0.775246739388,-1.06227433681,0.703299999237
5321,-0.417967051268,-0.770666241646,-6.02365016937
4144,0.953451097012,0.0296111702919,0.410749971867
1981,0.305738419294,-0.180341646075,-2.16195011139
695,-0.758021712303,-0.578507184982,-0.729699969292
10398,0.0675267279148,-1.1605912447,-0.422650009394
5708,-6.80191135406,0.0244130417705,-0.423099994659
1213,0.122903063893,0.76377415657,0.319750010967
226,0.00861772894859,0.340827524662,-0.292800009251
6777,0.293603241444,-0.862068533897,-0.762849986553
2113,1.24064350128,-0.827356398106,0.0947000086308
3329,0.974950253963,0.232918918133,0.3804500103
1050,-0.22043889761,0.669835329056,0.458449959755
9491,-0.478154122829,-0.190848022699,-1.13244998455
22926,-0.190759927034,-0.308228552341,-0.131199985743
5899,0.649072170258,-0.153785854578,0.649200022221
5467,-0.109670132399,-0.866169512272,-0.426450014114
6774,-0.294281601906,0.796476125717,0.0180000066757
1788,0.155993640423,-0.0619671940804,-0.66369998455
5921,-0.140557199717,0.789822161198,0.0879499986768
5721,0.0156579837203,-0.399302244186,0.522750020027
