rid,ERG003_VCAP_6H:BRD-K34952911:10,ERG003_VCAP_6H:BRD-K34952911:30,ERG004_VCAP_6H:BRD-K34952911:10,ERG004_VCAP_6H:BRD-K34952911:30,ERG003_VCAP_24H:BRD-K34952911:10,ERG003_VCAP_24H:BRD-K34952911:30,ERG004_VCAP_24H:BRD-K34952911:10,ERG004_VCAP_24H:BRD-K34952911:30
5720,0.59944999218,0.401800006628,-0.0840777680278,-0.0699853748083,0.466400027275,0.248600006104,0.236156523228,0.724943339825
466,-0.101299986243,1.26174998283,0.224011093378,0.0810758024454,0.710700035095,0.878250002861,-0.233157545328,-0.157723993063
6009,-0.643999993801,0.87969994545,-0.139084950089,0.19961181283,0.989750027657,0.104050010443,0.431890159845,-0.252812981606
2309,-0.0931499898434,-0.862249970436,-0.125480249524,-0.102350212634,0.893850028515,0.4117000103,0.161389380693,0.829036712646
387,0.986649990082,0.0866000056267,0.619097530842,0.276795983315,-0.0737500041723,-1.04194998741,-0.385483384132,-0.611519694328
3553,0.708599984646,-0.0942000150681,0.438792288303,-0.491330504417,0.216700002551,0.688400030136,0.0281032808125,0.603411972523
427,-0.538500010967,0.00744999945164,0.153979569674,-0.078450858593,-0.41060000658,0.578700006008,-0.52007496357,-0.611692845821
5898,0.461499989033,-0.17199999094,-0.42029723525,0.101988837123,-0.626900017262,0.0384999997914,0.305989086628,0.960819065571
23365,-0.398050010204,-0.469699978828,0.04378464818,0.0608802884817,0.354449987411,0.000750005245209,-0.859354436398,-0.473831683397
6657,-0.0100000202656,0.0408999919891,0.722205638885,0.129214257002,0.285849958658,0.524249970913,0.121762663126,-0.781034171581
5054,1.21224999428,0.309599995613,-0.584284186363,-0.154927641153,0.517149984837,0.00929999351501,-0.239597424865,-0.138871669769
3108,0.117499999702,-0.105999998748,0.508936285973,0.116625785828,-0.435450017452,-0.0255500078201,0.459610044956,0.453596949577
1950,0.284299999475,-0.00504999607801,-0.206552237272,-0.259188055992,-0.305949985981,0.145899996161,-1.29737472534,-0.471395820379
351,-0.0239999890327,0.27270001173,-0.234026759863,0.105417244136,-0.865749955177,1.00429999828,-0.68207269907,0.0345670804381
4846,0.201350003481,-0.31409996748,-0.0736140757799,-0.720813930035,-0.695050001144,-0.840399980545,-0.20380449295,-0.378167003393
1452,0.200499981642,-0.221249997616,-0.57412570715,-0.134286940098,0.0363500118256,-0.272399961948,-0.564818620682,-0.0264902934432
4776,0.261700004339,-0.871250033379,-0.614076495171,-0.715511381626,-0.221550017595,0.245749995112,0.0280464105308,0.327526956797
6908,0.233499988914,1.10780000687,-0.0471308380365,-0.103399530053,-0.566749989986,-1.40550005436,0.147182166576,-0.415605068207
672,-0.46250000596,0.337999999523,0.179972141981,0.606409668922,-0.2513499856,-0.913949966431,0.50928902626,0.350669622421
5710,0.393400013447,-0.229000002146,-0.0585079118609,0.554936051369,0.107149995863,0.230749994516,0.21668946743,-0.0870986878872
2115,-0.576449990273,-0.359200000763,0.479884624481,-0.123249657452,-0.0235000029206,-0.663249969482,-0.0786137878895,0.298235327005
7015,-0.0800999999046,-1.18914997578,0.0748295783997,-0.896129369736,-0.45450001955,-0.350600004196,-0.313559472561,0.720846056938
8726,-0.876100003719,1.35535001755,0.113094285131,0.167744085193,0.302300006151,0.305949985981,-0.234526336193,-0.2299490273
2185,-1.7336499691,-0.81635004282,0.314600229263,-0.0626651868224,0.270250022411,-0.142900004983,-0.401168048382,-0.0735767781734
3315,1.07695007324,-0.375850021839,-0.569903492928,-0.0994887948036,0.940500020981,-0.066749997437,-0.15504437685,-0.0722171664238
5289,-0.194550007582,0.230599999428,0.087671995163,-0.406453490257,-0.391300022602,0.321350008249,-0.672320723534,0.308010101318
868,-0.30965000391,0.0373500026762,-0.314998775721,-0.0671432837844,0.142200008035,-0.689049959183,-0.0076567530632,0.280175924301
1677,-0.887300014496,0.437750011683,-0.413729608059,-0.522085726261,-1.27375006676,0.473799973726,-0.131511136889,-0.12863022089
7043,-0.715000033379,-0.996250033379,-0.202389627695,-0.457647621632,-1.74900007248,-1.24734997749,-1.09077084064,-0.728356003761
5613,0.571900010109,0.0968500077724,-0.462126880884,-0.594811677933,-0.317550003529,0.674899995327,-0.743540525436,-0.521048069
595,0.83210003376,-0.674250006676,0.122400008142,0.0189257673919,-0.210199981928,-0.229100003839,-0.0584062337875,0.840335011482
4793,0.364849984646,-0.855499982834,-0.0332810729742,-0.867592811584,-1.77430009842,-0.471750020981,0.63422369957,-0.137177929282
2736,0.88069999218,-1.25374996662,-0.167805448174,-1.17162489891,-0.440050005913,-0.596400022507,-0.135501533747,-0.230056717992
5290,-0.097000002861,-0.362250000238,-0.560606181622,-0.774053990841,-1.22940003872,-0.563650012016,-0.605253756046,-0.279663801193
6194,0.232449993491,-0.410950005054,0.0398481339216,0.143725574017,-0.513049960136,0.761350035667,-0.112245090306,0.214706927538
1676,-0.564400017262,0.161850005388,-0.033365227282,-0.324556827545,-0.207149997354,0.696599960327,-0.265195667744,0.710413575172
23512,-0.406300008297,0.284200012684,0.637804389,0.329486578703,0.912349998951,-0.315449982882,-0.626008868217,-0.564061164856
148022,-0.351350009441,-0.71179997921,0.213087141514,-0.305326879025,-0.0458000004292,-0.112449996173,0.853119134903,-0.360758811235
1906,0.202150002122,-1.03925001621,-0.542445719242,0.400082856417,-0.170750007033,0.35845002532,0.536696612835,-0.31418094039
8878,-0.051600009203,-0.358500003815,-0.680840671062,-0.142207950354,-0.761349976063,-0.176850020885,-0.984146058559,0.361687153578
3091,-1.21844995022,0.73039996624,-0.248484313488,0.191636428237,0.450100004673,-0.482850015163,0.0239873677492,-0.102274209261
5743,-1.08685004711,-0.335749983788,-0.383289784193,0.0638879016042,-0.040900003165,-0.134250000119,-0.126132100821,0.328966856003
5321,-0.601899981499,-0.375299990177,-0.381866425276,-0.163810804486,-1.0094499588,0.711050033569,0.615536868572,0.0454874783754
4144,-0.595499992371,0.565899968147,0.334224045277,0.492961585522,0.0667499899864,0.559549987316,0.274860203266,-0.834413528442
1981,-0.278549969196,0.375849992037,-0.524798035622,-0.668704271317,-0.669699966908,0.496800035238,-0.247370898724,0.491361439228
695,0.141550004482,-0.361200004816,0.366922855377,0.610079586506,0.151149988174,0.757500052452,0.0546449944377,-0.940184056759
10398,1.84599995613,0.469649970531,-0.510760605335,0.00601152516901,-0.165299996734,-0.27895000577,0.420610338449,0.492719769478
5708,0.681650042534,0.633199989796,-0.75361597538,0.259075045586,0.0166499912739,0.126549988985,0.667942047119,0.0796810090542
1213,0.472999989986,0.431400001049,-0.502372384071,-0.0662426352501,1.06764996052,-0.459049999714,-0.632846713066,-0.438999354839
226,0.690700054169,-0.0185000002384,-0.415817797184,-0.0280159767717,-0.333100020885,-0.45355001092,0.140290766954,0.358999252319
6777,-0.881399989128,-0.993649959564,-0.0754509270191,-0.427901059389,0.160449996591,-0.930850028992,-1.01386940479,-0.621714949608
2113,-0.601750016212,-0.363150000572,-0.0701721161604,-0.301452070475,-0.497850030661,-0.310450017452,0.96803355217,0.152596890926
3329,1.89085006714,-0.0340000018477,0.278541654348,-0.0502320751548,1.04659998417,0.00195001065731,0.157192155719,-0.70109552145
1050,0.781299948692,-0.900099992752,0.319319665432,0.458665192127,-0.132899999619,-0.879750013351,-0.057651810348,-0.211305439472
9491,0.328599989414,0.421800017357,0.433042943478,0.288707464933,-0.638199985027,-1.02230000496,0.277429580688,0.0472970232368
22926,0.055799998343,-0.769899964333,-0.52184510231,0.175679683685,-0.279650002718,0.851850032806,-1.16151809692,-0.335502743721
5899,-0.956849992275,1.06745004654,0.239482626319,0.538484871387,-1.03850007057,-0.00949999690056,0.0553035736084,-0.649373948574
5467,0.11645001173,-1.11080002785,-0.716958403587,-0.262235671282,-1.18694996834,-0.933849990368,-0.333048403263,0.650567948818
6774,-0.486699998379,-0.837750017643,-0.465723097324,0.000413566827774,-0.848800003529,0.953800022602,-1.38791823387,-0.565832316875
1788,-1.23860001564,0.360500007868,-0.212740495801,-0.29296028614,0.653349995613,-0.735900044441,-0.0430304445326,0.399090349674
5921,-0.602150022984,0.333900034428,-0.391365528107,0.121536582708,-0.0387500077486,1.05630004406,-0.298757433891,0.203163400292
5721,-0.580049991608,0.468850016594,0.361441403627,0.161737397313,-0.214849993587,-0.602149963379,0.579352319241,-0.194308936596
2263,-0.267350018024,-0.635399997234,-0.583495378494,-0.856986641884,0.671800017357,0.0378499999642,-0.710575461388,-0.0793438106775
808,0.821749985218,0.0900499969721,0.225474253297,0.59636926651,0.19185000658,0.486950039864,-0.239119768143,0.492126733065
30001,-0.524649977684,-0.417149990797,-0.659523367882,-0.498773008585,-1.141299963,-0.279700011015,-0.477294713259,0.13009428978
348,0.727850019932,-0.928300023079,0.21033474803,-0.737750291824,-1.42655003071,-0.39304998517,-0.321189463139,-0.930854141712
30849,1.25189995766,-0.343899995089,-0.62336653471,-0.432233989239,0.262749999762,1.308349967,0.335107654333,0.859661221504
1454,-1.02250003815,0.401800006628,0.264525294304,1.10378861427,-0.876049995422,0.748549997807,0.896049380302,1.55024695396
6500,-0.561900019646,0.386600017548,0.228355139494,-0.0217869281769,-0.312900006771,0.87475001812,-0.352377265692,-0.70478618145
5627,0.473450005054,0.08599999547,-0.0697872191668,0.205372720957,-0.885450005531,-0.39390000701,-0.628679990768,0.825657606125
5715,0.877750039101,1.31859993935,0.410473436117,0.701200842857,0.681450009346,0.701200008392,1.30367684364,0.446659296751
4791,-0.502149999142,-0.871800005436,-0.420516550541,-0.26419493556,-1.53935003281,-0.48884999752,-0.314271718264,-0.407269716263
56924,-0.525299966335,-0.574150025845,-0.0701316669583,0.12034997344,-0.453350007534,0.542549967766,-0.289479076862,0.0665886700153
