rid,CPC011_A375_6H:BRD-K06878038-001-13-7:10,CPC011_A549_6H:BRD-K06878038-001-13-7:10,CPC011_A549_24H:BRD-K06878038-001-13-7:10,CPC011_HA1E_6H:BRD-K06878038-001-13-7:10,CPC011_HT29_6H:BRD-K06878038-001-13-7:10,CPC011_MCF7_6H:BRD-K06878038-001-13-7:10,CPC011_MCF7_24H:BRD-K06878038-001-13-7:10,CPC011_PC3_6H:BRD-K06878038-001-13-7:10,CPC011_PC3_24H:BRD-K06878038-001-13-7:10,CPC011_VCAP_6H:BRD-K06878038-001-13-7:10,CPC011_VCAP_24H:BRD-K06878038-001-13-7:10
5720,-0.0989307016134,-0.369046807289,0.495108127594,0.16455000639,0.329421639442,-0.351850003004,0.560199975967,0.568635582924,-0.206499963999,-0.384380429983,-0.134781211615
466,-0.452216029167,0.144723922014,0.503216207027,0.434199988842,-0.349139273167,-0.286549985409,0.919250011444,1.06499183178,-0.626174986362,0.279392302036,-0.962294459343
6009,0.851780891418,0.138061538339,-0.451509386301,-0.286749988794,-0.371128380299,-0.497049987316,0.339349985123,0.365023940802,0.214924991131,0.0395449995995,-0.0417873337865
2309,-0.308233678341,0.636244416237,-0.469139933586,0.756850004196,-0.629292428493,-0.370700001717,-0.938199996948,-0.216895788908,0.301950037479,0.68662494421,-0.0839528664947
387,0.522691249847,0.426559090614,-0.110089883208,-0.22310000658,-0.424179643393,-0.238649994135,0.484400004148,0.0101976692677,0.381524980068,-0.204668492079,0.351576209068
3553,-0.300039857626,-0.327355951071,0.594959914684,-0.0368999838829,-0.590260267258,-0.657299995422,-0.156500011683,0.0820907652378,0.16087500751,0.757784605026,-0.253951519728
427,-0.512864768505,0.276898056269,1.05858635902,-0.097000002861,0.047290340066,-0.060900002718,1.04645001888,0.420413613319,0.154899999499,0.000920102000237,-0.288310050964
5898,-0.160293877125,-0.635518193245,0.607778728008,-0.153349995613,-0.214645862579,-0.862150013447,0.531650006771,0.455448448658,-2.51437520981,-0.0711119174957,-0.220966607332
23365,0.0149403661489,-0.557198941708,0.999843835831,-1.43044996262,-0.11872600019,-0.907850027084,-0.191799998283,1.77216017246,-0.0876750051975,-0.209491029382,0.435679376125
6657,-0.624923944473,-0.501772403717,-0.105446510017,-0.279249966145,-0.516831099987,-0.620449960232,-0.190849989653,-0.828955829144,-0.0130250006914,0.676778674126,0.00734076462686
