rid,CPC014_A375_6H:BRD-K13514097-001-01-2:10,CPC014_A549_6H:BRD-K13514097-001-01-2:10,CPC014_A549_24H:BRD-K13514097-001-01-2:10,CPC014_ASC_24H:BRD-K13514097-001-01-2:10,CPC014_HA1E_6H:BRD-K13514097-001-01-2:10,CPC014_HCC515_6H:BRD-K13514097-001-01-2:10,CPC014_HEPG2_6H:BRD-K13514097-001-01-2:10,CPC014_HT29_6H:BRD-K13514097-001-01-2:10,CPC014_MCF7_6H:BRD-K13514097-001-01-2:10,CPC014_MCF7_24H:BRD-K13514097-001-01-2:10,CPC014_NEU_24H:BRD-K13514097-001-01-2:10,CPC014_NPC_24H:BRD-K13514097-001-01-2:10,CPC014_PC3_6H:BRD-K13514097-001-01-2:10,CPC014_PC3_24H:BRD-K13514097-001-01-2:10,CPC014_PHH_24H:BRD-K13514097-001-01-2:10,CPC014_SKB_24H:BRD-K13514097-001-01-2:10,CPC014_VCAP_6H:BRD-K13514097-001-01-2:10
5720,0.627132773399,-1.97268390656,-1.34887969494,2.28829360008,-0.417867422104,0.864205420017,-1.3205332756,-2.54845142365,0.84258466959,-1.31949853897,1.45209991932,4.25726509094,-0.288160502911,-0.212390005589,5.07021951675,1.07743859291,0.084256708622
466,-3.203789711,-5.89083099365,-2.3030166626,0.0898747742176,-2.01866889,-4.61735200882,-2.11749529839,-6.81138563156,-4.78108072281,-2.82540154457,-0.205550014973,-1.19411170483,-3.47825527191,-0.891041278839,-1.98090469837,-2.10709905624,-4.86649894714
6009,-0.259659767151,-0.492130488157,1.67302536964,2.0551211834,0.416932970285,0.517941296101,-1.28692579269,1.7076792717,-0.212548941374,1.79954445362,0.0763999968767,1.01359272003,0.240258306265,0.365643203259,-1.57496321201,1.32909619808,1.41854023933
2309,1.09396052361,5.71547842026,2.45384120941,2.1993765831,2.01991844177,5.25890541077,2.17796802521,6.41239976883,4.34838628769,4.42028141022,0.055999994278,0.67591881752,4.72877120972,1.99921953678,1.77973663807,0.202748507261,6.16711235046
387,1.23079717159,3.03794455528,4.18419408798,5.65290260315,1.40152263641,2.99093914032,-2.43011450768,3.73445773125,1.04055857658,1.2125184536,0.0900500044227,0.994749426842,2.16266894341,0.768099009991,3.83748602867,4.09614562988,1.92993402481
3553,0.678012430668,0.9146682024,-1.79627728462,-0.822507143021,-0.274199962616,0.898644924164,1.4791611433,0.590258300304,1.82764172554,0.421591520309,0.0135500021279,-0.994944155216,-2.23432564735,-2.87863016129,-0.18569688499,-0.480862140656,0.46146067977
427,0.31937250495,0.269318819046,0.132510095835,2.24243402481,1.0715265274,1.9204210043,-0.531596720219,0.638609051704,2.56103181839,3.27828884125,-0.798900008202,-0.435253918171,0.840995788574,1.69703769684,-0.100794121623,-0.793410480022,-2.00709629059
5898,0.0210199505091,-0.0754931047559,0.446907997131,1.67038297653,0.12289917469,0.673880934715,0.100502192974,1.90853357315,1.02275657654,-0.921009421349,-0.835150003433,-1.82281255722,-0.0484639257193,0.369581580162,-0.450804978609,0.803973913193,2.3994204998
23365,0.321517676115,0.12961627543,-0.12164491415,1.72376728058,-0.390366494656,-0.586178600788,-0.018864274025,-0.118624255061,-0.314961224794,-0.549666166306,0.31044998765,0.35998904705,-0.275494933128,0.267350405455,-1.18349683285,-0.433210015297,-1.16672980785
6657,-0.502774000168,-0.335922569036,-0.97334086895,-0.199797600508,0.492314249277,0.794194936752,2.5763232708,1.60208499432,0.872678101063,0.620115697384,0.180649995804,0.236458182335,0.579569637775,-0.0884582847357,0.607504069805,0.897425889969,0.488601624966
5054,0.646391034126,-0.524337530136,-0.843081474304,-0.658533334732,0.587721645832,-1.38557136059,-1.62481236458,-0.674995660782,0.663063526154,0.12844362855,-0.143950000405,-0.802337944508,-0.37990629673,-0.5968298316,-0.0336760133505,0.311193883419,-0.521589636803
3108,-0.593387842178,4.64305114746,0.738143920898,3.51264238358,1.74947690964,2.8105225563,2.40021634102,4.6119852066,1.38454890251,4.9430475235,-0.160099983215,3.64872169495,3.54490494728,1.40685093403,7.93108129501,3.74926447868,1.32355368137
1950,1.0348752737,0.434985220432,-0.0517286062241,0.821852743626,-1.51239979267,1.34601676464,1.83025193214,-0.38672119379,0.15681360662,-0.115518420935,-0.235499992967,-0.932916998863,-0.86320489645,-0.198482483625,1.37434840202,1.17469191551,-0.32436054945
351,0.0496354997158,-0.919413387775,-0.0157824158669,-1.88221788406,-0.986024737358,0.3463973701,0.378315120935,0.804567217827,-0.127379149199,1.10109770298,0.000999999931082,-0.737216711044,0.56575012207,-0.0402917563915,-0.00111780280713,0.0002533752413,-0.860857844353
4846,0.917894244194,-0.762985527515,1.12224709988,-0.708084046841,0.536244153976,0.567783415318,-0.70959854126,-0.21416631341,0.0773714631796,-3.72077870369,-0.249050021172,1.75362014771,-0.620862305164,-0.10164527595,1.79142820835,1.82846987247,1.03231942654
