rid,DOS058_A375_24H:BRD-K76390333-019-01-7:5,DOS058_A549_24H:BRD-K76390333-019-01-7:5,DOS058_PC3_24H:BRD-K76390333-019-01-7:5,ERG012_PC3_24H:BRD-K76390333-019-01-7:10,ERG012_PC3_6H:BRD-K76390333-019-01-7:10,ERG012_VCAP_24H:BRD-K76390333-019-01-7:10,ERG012_VCAP_6H:BRD-K76390333-019-01-7:10
5720,0.471699982882,0.219550013542,1.42910003662,-0.707122445107,0.248210370541,-0.0967610701919,-0.646598935127
466,-1.22839999199,-1.04124999046,-1.41089999676,-0.834913611412,0.185242623091,0.326286524534,0.586952745914
6009,0.589749991894,0.203050002456,-0.00795000046492,0.0806585997343,-0.916132450104,-1.3345682621,-0.626707017422
2309,1.06774997711,-0.0442500114441,0.871749997139,0.0477434545755,-0.156649902463,0.898100018501,3.36847400665
387,-0.972050011158,-0.414499998093,0.563799977303,-1.60794854164,-0.547894597054,-0.216892451048,0.234611809254
3553,-1.01604998112,-0.547500014305,0.202999979258,0.259576201439,0.558678030968,0.91074770689,-0.553424477577
427,-1.51565003395,0.569100022316,-0.983850002289,-0.449416667223,0.999379634857,0.0822508260608,0.00562772154808
5898,-0.749650001526,-0.215999960899,-0.187399998307,-0.105028778315,0.680698335171,0.169670581818,0.791468143463
23365,-0.456199973822,-1.30309998989,0.129700005054,-0.668310582638,-0.303792387247,0.393557310104,-0.424926578999
6657,0.26939997077,0.588400006294,-0.0302999913692,4.57698631287,0.24932333827,0.996605813503,1.95598220825
5054,0.0,-0.0532999932766,-0.321900010109,0.106319181621,-1.1574344635,0.128863841295,0.309049904346
3108,0.891350030899,-1.08659994602,-0.321850001812,0.732137918472,0.495372593403,-0.811171770096,0.794720888138
1950,-0.184399992228,0.773500025272,0.490850001574,-0.220488876104,-0.63049018383,0.470881342888,0.396060496569
351,-0.305350005627,-1.07795000076,0.0,1.48840928078,1.4009500742,-0.339921087027,0.194526702166
4846,-0.638650000095,0.0169000029564,0.895349979401,-0.423051357269,-0.243901014328,0.250175774097,0.233609065413
1452,-0.876499950886,1.57974994183,0.558849990368,-0.56075835228,0.311080396175,0.374583721161,0.11384986341
4776,-0.374699980021,-0.105750001967,0.00150001049042,4.24362325668,0.577101230621,0.761508882046,0.565820097923
6908,-0.268899977207,0.147300004959,1.38205003738,-1.07082486153,-0.494627028704,-0.96061950922,0.287838369608
672,0.28615000844,0.265249997377,-0.370849996805,-0.550669014454,-0.409063488245,-1.78286540508,3.35728430748
5710,-0.0530000030994,0.434750020504,0.142299994826,-0.266879796982,0.432361781597,-0.218133300543,-3.71938538551
2115,1.16414999962,-0.745000004768,-0.279399991035,-0.474330067635,1.5054910183,-0.162009775639,-0.271783709526
7015,-0.0675500035286,-0.715399980545,0.124499991536,1.48880910873,0.000563219189644,0.304171264172,-0.00314211845398
8726,0.0157999992371,0.350099980831,4.39305019379,0.195598900318,-0.0537108927965,-0.801568031311,-1.54613935947
2185,-0.352000027895,-0.648100018501,-0.452849984169,2.06063532829,0.0194681435823,0.677989125252,-0.352301627398
3315,0.703649997711,-0.101199999452,0.825999975204,-1.11338448524,-0.392636120319,-0.309208005667,0.416309714317
5289,-0.267499983311,0.0869499966502,0.524699985981,0.39856928587,0.41338121891,0.5358928442,0.615369081497
868,0.528799951077,-2.63575005531,0.587450027466,0.398588478565,2.81373238564,1.24479579926,0.779563128948
1677,0.406200021505,0.148200005293,0.716549992561,0.320250481367,0.334398567677,-0.0557177551091,-1.11984837055
7043,-0.904600024223,-1.15380001068,-0.694499969482,0.527591705322,0.448681384325,0.811519801617,-0.670296192169
