rid,CPC011_A375_6H:BRD-K33106058-001-12-7:10,CPC011_A549_6H:BRD-K33106058-001-12-7:10,CPC011_A549_24H:BRD-K33106058-001-12-7:10,CPC011_HA1E_6H:BRD-K33106058-001-12-7:10,CPC011_HT29_6H:BRD-K33106058-001-12-7:10,CPC011_MCF7_6H:BRD-K33106058-001-12-7:10,CPC011_MCF7_24H:BRD-K33106058-001-12-7:10,CPC011_PC3_6H:BRD-K33106058-001-12-7:10,CPC011_PC3_24H:BRD-K33106058-001-12-7:10,CPC011_VCAP_6H:BRD-K33106058-001-12-7:10,CPC011_VCAP_24H:BRD-K33106058-001-12-7:10,CPD002_MCF7_24H:BRD-K33106058-001-10-1:10,CPD002_MCF7_6H:BRD-K33106058-001-10-1:10,CPD002_PC3_6H:BRD-K33106058-001-10-1:10,CPD002_PC3_24H:BRD-K33106058-001-10-1:10,KHW001_HA1E_6H:BRD-A18929998-001-02-2:10,KHW001_HS27A_6H:BRD-A18929998-001-02-2:10,KHW001_SKM1_6H:BRD-A18929998-001-02-2:10,KHW001_U937_6H:BRD-A18929998-001-02-2:10
5720,-1.63589549065,-0.0123203396797,0.374013185501,-0.205399990082,-2.18976211548,-2.96989989281,0.241049990058,0.921029269695,-0.0163970440626,0.291318923235,0.0108822882175,1.55888819695,0.216583460569,0.515836954117,-0.680986404419,-0.1967625916,0.0244060643017,0.0230953395367,-0.417362570763
466,-0.165085196495,-0.865158140659,-0.839043498039,-0.0286500006914,1.04710292816,-0.236750006676,-2.18510007858,-0.0598757863045,-1.0032658577,0.107416495681,-0.580098152161,-1.41333842278,-0.837230861187,-0.0408436693251,-0.932326376438,1.76452839375,0.260640203953,-1.72071444988,0.37499409914
6009,-1.50291132927,-0.24507342279,-1.15380477905,-0.0207500010729,-1.85993492603,-0.906149983406,-1.22175002098,-1.26248240471,-0.639396429062,0.373392224312,0.838997602463,-0.762467741966,-0.0165561884642,-1.03866243362,-1.69806838036,0.125532269478,-0.709385752678,-0.555595576763,-0.850131869316
2309,2.81943559647,0.43936291337,0.0374407172203,-0.0152000039816,0.976129949093,0.289349973202,0.330350041389,-0.288724660873,0.565786004066,-2.02209687233,0.359256327152,-0.346206218004,-0.589509427547,6.1137676239,0.780910313129,-0.174304023385,1.09817743301,-1.10637331009,4.6158823967
387,-2.29446125031,0.315744817257,-1.31721687317,-0.395150005817,1.24364733696,1.33225011826,-0.205750018358,0.200791090727,-0.633312702179,-0.0862984061241,-0.574977934361,-0.960671424866,0.880846917629,0.459659069777,-1.63822865486,-0.0848140195012,0.0360902175307,-0.816290259361,-0.362829715014
3553,0.990834832191,0.22324834764,-0.543293595314,-0.900099992752,0.687269687653,-1.81190001965,2.68794989586,1.38165664673,5.68945550919,0.52682864666,0.830047011375,0.143496543169,0.172446981072,1.3135010004,5.57910966873,0.443962872028,-0.0327939912677,1.18041276932,-0.144097149372
427,0.124311298132,-0.133452787995,-0.238186597824,-0.255150020123,0.805050492287,0.187950000167,-1.66474986076,-0.0167678296566,2.11772441864,0.104213044047,0.455669313669,-0.370689928532,-0.0557342320681,-1.38411486149,-0.356316268444,0.265240639448,-0.622880101204,0.47541821003,-1.74944615364
5898,0.747484922409,-0.13489061594,0.453112781048,0.613399982452,-2.54986166954,0.655250012875,-0.00510000064969,0.153900966048,0.109979242086,-0.269599080086,0.0561399571598,-0.0763715729117,-0.734189689159,-2.55452108383,0.176904767752,-0.274311929941,0.034625351429,-0.098179385066,-1.05607759953
23365,0.968589901924,0.311486929655,-0.113310448825,0.705550014973,0.633629858494,0.807150006294,0.881299972534,0.746462464333,2.32858657837,-0.183669269085,-0.0446001291275,-1.00842821598,-0.362369656563,-1.78237390518,-0.223703116179,0.138621628284,-0.448705106974,1.00902318954,-0.765294194221
6657,1.71290326118,0.0804730206728,-1.51577234268,-0.382499992847,-0.434009253979,-1.31384992599,0.844300031662,-0.837339997292,0.53254365921,0.383713901043,0.662115752697,-0.108485370874,2.26247549057,-1.37279319763,-0.517953336239,-0.0908513143659,-1.37630307674,1.56688702106,-0.581348538399
