rid,DOS029_VCAP_24H:BRD-K28667054-001-01-2:5.02,DOS033_A375_24H:BRD-K28667054-001-01-2:5.02,DOS033_A549_24H:BRD-K28667054-001-01-2:5.02,DOS033_HT29_24H:BRD-K28667054-001-01-2:5.02,DOS033_MCF7_24H:BRD-K28667054-001-01-2:5.02,DOS033_PC3_24H:BRD-K28667054-001-01-2:5.02
5720,0.48393663764,-0.606839179993,0.663650810719,0.924147963524,0.833746135235,-0.245466649532
466,0.531371414661,0.85993373394,-1.15220355988,0.265967905521,-1.03185260296,-0.204300045967
6009,-0.00454588606954,-0.862006902695,-0.5991127491,-0.259756743908,-0.342932909727,-0.478366702795
2309,0.191469699144,-0.0197555422783,-0.447771131992,0.483863353729,0.431062787771,0.0276000052691
387,-0.0629054158926,0.727620601654,-0.508556783199,-0.727828383446,-0.0717818215489,0.00940001010895
3553,-0.908801674843,0.674782991409,0.924896836281,0.158554911613,-1.95701551437,-0.440899968147
427,0.441848278046,-0.615986168385,-0.118707478046,-0.554658532143,-0.312529593706,-1.5477001667
5898,-3.78675746918,0.0679446458817,0.382801771164,0.307291865349,-0.417506188154,0.956966638565
23365,1.09877967834,-0.209090188146,0.0301931239665,-0.329097211361,0.409895181656,0.934900045395
6657,-1.80192351341,-0.00317296385765,0.361196994781,-0.528692722321,-0.882638573647,-0.121966660023
5054,0.646789431572,-0.0416674911976,0.0775362253189,-1.07902562618,0.280125617981,-0.0745999664068
3108,3.59916520119,1.73553919792,0.453555643559,-0.665059328079,0.191443577409,0.0221999585629
1950,0.337492644787,-0.576021075249,0.394154876471,0.21933427453,-0.92774939537,-0.789033353329
351,-0.139818549156,-0.507229983807,0.712949097157,-0.485194325447,-0.334861636162,-0.260399967432
4846,1.07895004749,0.142247959971,-0.10137232393,0.519993662834,-0.1598970294,-2.94970035553
1452,0.0272697508335,0.407012462616,-0.184565007687,0.726116061211,0.75333160162,-0.829300105572
4776,-0.251063913107,-0.00374521315098,0.411308944225,-0.798675894737,-0.653977334499,-0.125333338976
6908,0.250941127539,0.629814207554,0.575708866119,0.324988991022,0.944240272045,0.845600068569
672,0.917979240417,0.298839539289,-0.141072914004,-0.830351471901,0.342048108578,0.0285666435957
5710,0.680655837059,-0.94047498703,0.400886654854,0.34706106782,0.786474049091,-0.319633334875
2115,-1.11631989479,0.186773985624,0.0144475698471,0.321212112904,0.217260062695,-0.211299955845
