rid,CVD001_HEPG2_6H:BRD-K47977047-001-01-2:9.9355,CVD001_HEPG2_6H:BRD-K47977047-001-01-2:2.4839,CVD001_HEPG2_24H:BRD-K47977047-001-01-2:9.9355,CVD001_HEPG2_24H:BRD-K47977047-001-01-2:2.4839,CVD001_HUH7_6H:BRD-K47977047-001-01-2:9.9355,CVD001_HUH7_6H:BRD-K47977047-001-01-2:2.4839,CVD001_HUH7_24H:BRD-K47977047-001-01-2:9.9355,CVD001_HUH7_24H:BRD-K47977047-001-01-2:2.4839,CVD001_PHH_6H:BRD-K47977047-001-01-2:9.9355,CVD001_PHH_6H:BRD-K47977047-001-01-2:2.4839,CVD001_PHH_24H:BRD-K47977047-001-01-2:9.9355,CVD001_PHH_24H:BRD-K47977047-001-01-2:2.4839,DOS022_VCAP_6H:BRD-K47977047-001-01-2:4.97,DOS022_VCAP_24H:BRD-K47977047-001-01-2:4.97,DOS045_A549_24H:BRD-K47977047-001-01-2:4.97,DOS045_HT29_24H:BRD-K47977047-001-01-2:4.97,ERG010_VCAP_6H:BRD-K47977047-001-01-2:9.936,ERG010_VCAP_24H:BRD-K47977047-001-01-2:9.936
5720,0.141079053283,-0.999775290489,-0.957482457161,-0.155620738864,0.971270799637,-0.501610159874,0.102685943246,0.77146089077,-0.28904658556,0.85734719038,0.748498380184,0.397933363914,0.474817216396,1.15341830254,-0.249791651964,-1.19755005836,0.0493000000715,1.07889223099
466,1.22756290436,0.993952155113,0.735931873322,0.606232345104,0.511639237404,-1.11183488369,0.514672756195,-0.530153095722,0.143471062183,0.120012298226,-0.718773305416,0.309966683388,0.444374322891,-0.025335252285,-0.117130853236,-1.19309997559,0.00855000317097,0.188862085342
6009,1.67855668068,0.679125130177,0.858939886093,-1.46231031418,0.737904548645,0.690536499023,-0.0403825342655,0.494262337685,-0.553907692432,0.65300142765,0.70325422287,-0.0223000049591,0.0100980401039,1.43754172325,-0.36851772666,-0.767499983311,-1.43584990501,-0.427051365376
2309,1.80289626122,0.403817474842,1.08107066154,0.126666024327,-1.12569499016,0.150499418378,-0.0363828092813,-0.0691374540329,0.800162553787,-0.746168851852,-0.38362967968,-2.14583325386,-1.00904381275,-0.529406487942,0.0764065906405,-1.2540999651,-0.352349996567,-0.318711400032
387,0.484364718199,0.579672038555,-0.354918837547,-0.166024699807,-0.490827143192,-0.305333316326,-0.566341817379,-0.117146387696,0.094402782619,-0.199637889862,0.149442896247,-0.259566664696,-0.444296002388,-0.184610143304,-0.259759396315,-0.763450026512,-0.832199990749,-0.150828361511
3553,-0.310396522284,0.085885822773,0.360659897327,-0.0499341785908,-0.477419614792,0.357102692127,-0.0287642776966,0.543516993523,-0.374648779631,-0.683689892292,-1.01248788834,-0.187300011516,0.691132545471,0.472708672285,-0.701720654964,1.2512999773,0.982099950314,0.538910150528
427,0.103325292468,0.930683553219,1.32725811005,0.890452384949,0.753335058689,0.70144456625,1.32142114639,-0.284542858601,-2.2477016449,-0.234996691346,-0.33959209919,0.236233338714,0.397202223539,-0.548742413521,-1.37673103809,-0.311049997807,-0.736449956894,0.903475165367
5898,1.13000369072,0.130718171597,1.8503254652,0.471964091063,1.02310466766,0.350035071373,-0.0504966974258,-0.473747432232,-0.356799304485,0.760935783386,-0.731066226959,0.24336668849,-1.86991131306,0.447826117277,-0.50026601553,0.0807999670506,-1.09280002117,0.374105125666
23365,-0.356867700815,0.437693297863,0.48149317503,-0.560981750488,0.390794336796,0.930133581161,-0.516212582588,-0.0379061102867,0.221556797624,-0.313259184361,0.0300269648433,-0.153033345938,-0.523936986923,-0.11930501461,-0.71641522646,0.00104999542236,-0.334150016308,0.119140118361
6657,-0.0698333531618,-0.440173983574,0.37720400095,-0.531941175461,0.0830857604742,-0.632718145847,0.500793933868,-0.146357133985,-0.481919169426,-0.316043376923,-0.861926436424,-0.44146668911,0.674741327763,2.32079744339,-1.16217184067,0.949500024319,0.398699998856,-0.606962561607
5054,0.914635658264,0.592138409615,1.10973572731,-0.00149393081665,0.749011814594,0.457004725933,0.460954397917,-0.379703760147,2.02915334702,-0.472582757473,1.55074763298,-0.277933329344,0.190181344748,-0.309481084347,-0.406413584948,-2.16810011864,0.528800010681,0.253154158592
3108,0.113743454218,-0.462600588799,0.199005156755,-1.02477860451,-0.194178059697,-1.15323352814,-0.340503692627,-0.56882172823,-0.649438500404,-0.639663100243,-0.218591988087,0.229400023818,-0.459721267223,-0.692681670189,-0.253469944,-0.944350004196,-1.10765004158,1.07377433777
1950,-0.434924125671,0.00960180163383,-0.49350386858,0.313151031733,0.250405788422,0.229828983545,0.524341881275,0.324753820896,-0.129880964756,0.265146434307,0.215859562159,0.607699990273,0.348952889442,0.899416148663,0.613654732704,0.490899980068,0.643299996853,-0.296587347984
351,-0.204934731126,-0.476188570261,0.930135846138,0.798375964165,0.753129005432,0.139148265123,0.663425087929,-1.40861845016,0.274737596512,0.534723460674,-0.361495584249,-0.970066666603,0.254352867603,-0.860432982445,0.564122974873,-0.18694999814,-0.674499988556,0.0283347535878
