rid,CPC019_A375_6H:BRD-K50280607-001-01-7:10,CPC019_A549_6H:BRD-K50280607-001-01-7:10,CPC019_A549_24H:BRD-K50280607-001-01-7:10,CPC019_HA1E_6H:BRD-K50280607-001-01-7:10,CPC019_HCC515_6H:BRD-K50280607-001-01-7:10,CPC019_HEPG2_6H:BRD-K50280607-001-01-7:10,CPC019_HT29_6H:BRD-K50280607-001-01-7:10,CPC019_MCF7_6H:BRD-K50280607-001-01-7:10,CPC019_MCF7_24H:BRD-K50280607-001-01-7:10,CPC019_PC3_6H:BRD-K50280607-001-01-7:10,CPC019_PC3_24H:BRD-K50280607-001-01-7:10,CPC019_VCAP_6H:BRD-K50280607-001-01-7:10,CPC019_VCAP_24H:BRD-K50280607-001-01-7:10,DOS001_VCAP_6H:BRD-K50280607-001-01-7:5.16,DOS001_VCAP_24H:BRD-K50280607-001-01-7:5.16,DOS031_MCF7_24H:BRD-K50280607-001-01-7:5.16,DOS031_PC3_24H:BRD-K50280607-001-01-7:5.16
5720,0.572087824345,-0.23180000484,1.51153254509,-0.259100019932,-0.43518319726,0.0595665425062,0.78523671627,0.156612128019,1.13918995857,0.0859351158142,0.336753368378,1.49244880676,0.388772010803,0.574798822403,0.549950480461,0.21005000174,1.18865001202
466,1.24325561523,-0.154400005937,0.230186104774,-0.344650000334,0.18063852191,0.652208983898,2.35152006149,0.503875255585,-2.11256885529,0.776460587978,0.756898105145,0.950216591358,-1.26740992069,0.326908171177,1.09651303291,-0.55505001545,-0.442800045013
6009,0.382628560066,0.133900016546,0.954336583614,0.397749960423,-0.50697773695,1.19956660271,0.897460579872,0.668104410172,0.978351950645,0.42004430294,0.742165446281,0.900036931038,0.781200230122,1.16916823387,0.857334375381,0.626299977303,1.16809999943
2309,-0.783683180809,0.801550030708,0.885646283627,0.0681499987841,-0.490189701319,-0.686447501183,2.14462947845,-0.217395752668,0.625399470329,0.0357282981277,0.526511490345,-0.965408444405,0.196923717856,-0.104049950838,-0.400277167559,0.241950035095,-0.11099999398
387,0.638446092606,1.10975003242,0.805912673473,-0.773299992085,-0.719259977341,-0.469603031874,2.44691681862,-0.0247761309147,1.89909744263,0.428302764893,0.279247105122,0.0289194881916,1.65971267223,0.703606069088,-0.106874138117,0.00289998948574,0.177999988198
3553,-0.908091068268,-0.0257000029087,-0.790540099144,-0.135199993849,-0.165851607919,0.625827729702,0.108592987061,0.0820790231228,-0.185118094087,-0.173286125064,-0.427914917469,-0.534094691277,0.423284083605,0.219844430685,0.0567380860448,0.138700008392,0.694900035858
427,-0.0673635005951,-0.842999994755,2.01629066467,0.0809499919415,-0.161506578326,-0.385357230902,1.01368236542,-0.463360190392,-0.489251106977,0.244314178824,-0.00201211124659,0.583643078804,0.165701687336,-0.0656752586365,0.503490209579,0.844049990177,-0.0908999741077
5898,0.447225421667,0.371749997139,-0.492816030979,-0.192099988461,0.83162778616,0.690632820129,1.56294596195,0.581777632236,-3.50694799423,-0.204622030258,-0.355523139238,0.628447771072,-0.0196867212653,0.539539337158,0.398303210735,0.133550003171,-0.175149992108
23365,0.0518688708544,0.825850009918,-0.969398736954,1.47344994545,0.664238929749,0.951843619347,1.73773169518,0.437250286341,0.504075348377,0.0523781888187,-0.65855127573,-0.104288086295,-0.270237267017,0.12373071909,0.130021616817,-0.456200003624,-0.380300015211
6657,0.386007815599,0.322099983692,0.294413983822,-1.04995000362,-0.231174468994,0.204323753715,0.0181165635586,-0.626422762871,0.0771820098162,-0.766138732433,-0.198628127575,-0.592998862267,1.03303611279,-1.11033594608,-1.02482533455,0.44319999218,-0.0293500125408
5054,-0.64899367094,0.34454998374,-0.407072901726,0.812399983406,0.645613193512,-3.97828316689,1.85711216927,0.20778568089,-0.462932705879,-0.287022054195,-0.391670942307,0.468176305294,0.0465425439179,0.422182142735,0.833524346352,-0.70300000906,-0.18514996767
