rid,CPC009_A375_6H:BRD-K76357752-001-07-3:10,CPC009_A549_6H:BRD-K76357752-001-07-3:10,CPC009_A549_24H:BRD-K76357752-001-07-3:10,CPC009_HA1E_6H:BRD-K76357752-001-07-3:10,CPC009_HCC515_6H:BRD-K76357752-001-07-3:10,CPC009_HEPG2_6H:BRD-K76357752-001-07-3:10,CPC009_HT29_6H:BRD-K76357752-001-07-3:10,CPC009_MCF7_6H:BRD-K76357752-001-07-3:10,CPC009_MCF7_24H:BRD-K76357752-001-07-3:10,CPC009_PC3_6H:BRD-K76357752-001-07-3:10,CPC009_PC3_24H:BRD-K76357752-001-07-3:10,CPC009_VCAP_6H:BRD-K76357752-001-07-3:10,CPC009_VCAP_24H:BRD-K76357752-001-07-3:10,CPC020_A375_6H:BRD-K76357752-001-03-2:10,CPC020_A549_6H:BRD-K76357752-001-03-2:10,CPC020_HA1E_6H:BRD-K76357752-001-03-2:10,CPC020_HCC515_6H:BRD-K76357752-001-03-2:10,CPC020_HT29_6H:BRD-K76357752-001-03-2:10,CPC020_MCF7_6H:BRD-K76357752-001-03-2:10,CPC020_MCF7_24H:BRD-K76357752-001-03-2:10,CPC020_PC3_6H:BRD-K76357752-001-03-2:10,CPC020_PC3_24H:BRD-K76357752-001-03-2:10,CPC020_VCAP_6H:BRD-K76357752-001-03-2:10,CPC020_VCAP_24H:BRD-K76357752-001-03-2:10
5720,0.122400015593,1.38420057297,0.897750020027,0.137277320027,-0.218037292361,0.0628666728735,-0.392331004143,0.45928812027,0.473800003529,0.551572978497,0.605239510536,-0.805150151253,0.352376908064,-0.262451559305,-0.264550000429,1.20966005325,-0.114100009203,0.51253080368,-0.326235204935,0.494005411863,-0.927326738834,-0.978951931,0.75861376524,0.275895178318
466,-0.477324992418,0.936871647835,-0.00189999863505,-0.172460883856,0.411077260971,0.0575666725636,0.0958411172032,-0.259268760681,0.0798500031233,0.0852257832885,-0.145249158144,0.0895928889513,0.561172485352,-0.0522722825408,-0.595149993896,-0.59433734417,-0.15815000236,0.845107555389,-0.257558643818,0.304312616587,-0.657408773899,-0.318069696426,-0.160022735596,-1.31078648567
6009,-0.441075026989,-0.209714397788,0.275400012732,-0.286430358887,-0.211665779352,-0.454766660929,0.593927800655,-1.088367939,-1.60520005226,-0.456349074841,0.00111156702042,-0.842637479305,-0.633673548698,0.0566232390702,-0.611050009727,-0.462243616581,-0.0340000092983,0.343714743853,0.0826955884695,-0.189476013184,0.394256323576,-1.21334397793,-0.0911590009928,-0.481071084738
2309,0.106175005436,0.856441557407,0.693150043488,0.010224558413,0.165908902884,-0.56263333559,-0.341423988342,0.472546488047,0.694499969482,-0.326352953911,-0.00881683826447,-0.432181358337,-1.66087770462,-0.173411950469,1.76265001297,0.873919248581,0.195600003004,0.34649515152,-0.0129793789238,-0.281781941652,0.0243830829859,-0.621052026749,0.341848492622,0.0605370402336
387,-0.969675004482,0.75824034214,-0.198050007224,0.372750580311,-0.979987978935,-0.58506667614,0.49159681797,-0.638241767883,-0.193949997425,-0.30874940753,0.0851196944714,-1.45597362518,-0.828775703907,-0.722340881824,0.12120001018,0.318547964096,-0.0718999952078,1.11570334435,0.177551418543,0.096277333796,-0.763764321804,-0.807006120682,-0.372223466635,-0.103077411652
3553,0.493900001049,0.135621041059,0.136399999261,0.232006624341,-0.0594509840012,0.675333380699,-0.320487976074,-0.827259540558,-0.905300021172,-0.0636667981744,-0.00361432880163,0.56431812048,0.0829319581389,0.299073457718,0.304800003767,-0.250358551741,-0.222000002861,-0.415596783161,3.65364789963,-0.177908822894,0.128020703793,1.13285946846,0.680978298187,0.538178443909
427,-0.574424982071,0.521192133427,-0.968400001526,0.573352873325,0.664633154869,-0.839933335781,0.364730983973,-1.08091270924,-0.247999995947,0.135740220547,-0.495375186205,-0.398770153522,0.999267876148,0.840841054916,-0.248299986124,0.240065857768,0.156199991703,0.375976234674,-0.18760317564,0.541051328182,-0.500847399235,-0.0845834538341,-0.917877912521,-0.448611795902
5898,-0.823975026608,-0.432408392429,-0.840800046921,-0.0773183852434,-1.36682987213,-0.781800031662,-0.327945232391,-0.155990764499,-1.3220499754,-0.208528459072,-0.549975812435,-0.0484739020467,0.339619278908,-1.42806589603,-0.184299990535,-0.756086587906,-1.00244998932,0.288609862328,-0.0777095854282,0.212207466364,-0.50661945343,0.744334876537,0.145769029856,-1.15266370773
23365,-0.229249998927,-0.735412895679,-1.5245000124,1.36546993256,0.838495194912,0.332733333111,-1.44644343853,-0.637512207031,0.0799499899149,-0.482038080692,-0.186889141798,-0.466358602047,0.433346003294,-1.21091234684,0.757849991322,-0.89280962944,-0.690750002861,2.41316866875,0.637396097183,0.199281871319,-0.770938098431,-0.67438107729,0.254721105099,0.11218354851
6657,0.973275005817,-0.958678126335,0.542800009251,-0.0459427721798,-0.0471583455801,0.819233357906,-0.195338144898,-0.158318474889,-0.926599979401,-0.215715840459,-0.633199453354,0.193951815367,0.201462745667,0.820284128189,-0.230800002813,0.453742265701,0.736549973488,-0.763889431953,-0.606075584888,-0.110005654395,0.647345364094,0.964201390743,-0.104382738471,0.759520590305
