rid,CPC011_A375_6H:BRD-K28849549-001-09-2:10,CPC011_A549_6H:BRD-K28849549-001-09-2:10,CPC011_A549_24H:BRD-K28849549-001-09-2:10,CPC011_HA1E_6H:BRD-K28849549-001-09-2:10,CPC011_HT29_6H:BRD-K28849549-001-09-2:10,CPC011_MCF7_6H:BRD-K28849549-001-09-2:10,CPC011_MCF7_24H:BRD-K28849549-001-09-2:10,CPC011_PC3_6H:BRD-K28849549-001-09-2:10,CPC011_PC3_24H:BRD-K28849549-001-09-2:10,CPC011_VCAP_6H:BRD-K28849549-001-09-2:10,CPC011_VCAP_24H:BRD-K28849549-001-09-2:10,CPD003_MCF7_6H:BRD-K28849549-001-08-4:10,CPD003_MCF7_24H:BRD-K28849549-001-08-4:10,CPD003_PC3_6H:BRD-K28849549-001-08-4:10,CPD003_PC3_24H:BRD-K28849549-001-08-4:10
5720,-2.18225669861,0.624833345413,-0.0147082358599,0.538649976254,0.120974972844,0.642300009727,-2.0664999485,0.240688815713,-1.09475004673,-0.880157530308,-1.24953174591,-0.21179997921,0.359776675701,0.822640776634,0.0266000032425
466,-1.36313354969,0.113900020719,0.623541116714,0.550150036812,0.417325019836,0.129700034857,-1.24024999142,-1.05502474308,0.107175037265,-0.563394546509,-1.26095795631,-0.936699986458,0.0177518539131,0.277512073517,1.24430000782
6009,-0.534877717495,0.523566663265,-0.466297447681,-0.771899998188,0.283649981022,-0.738999962807,-2.31095004082,-0.675161242485,-0.3159250319,-2.02637934685,-0.448549419641,-0.132349997759,-0.478597909212,0.759815692902,-0.865999996662
2309,2.04882574081,0.704800009727,-0.209954023361,0.42515000701,0.140149980783,0.480800032616,0.562550008297,-0.402365744114,-0.484075009823,-1.82852315903,-1.77538919449,0.153699994087,-0.5376958251,1.0335958004,0.284199982882
387,-2.75996351242,-0.567600011826,-0.666577339172,0.706149995327,0.620499968529,1.04789996147,-1.5476000309,-0.794051468372,-0.260450005531,-1.72682201862,-1.8292620182,0.273699998856,-1.18966913223,0.561895668507,0.113800019026
3553,1.49216008186,-0.174466699362,-0.0368391945958,-0.82539999485,0.0393749922514,-0.682649970055,2.89505004883,0.19898840785,0.766350030899,0.312388926744,2.59180569649,0.441650032997,1.27916264534,0.899881362915,0.958899974823
427,0.657384693623,-1.78390014172,1.22718811035,-1.14514994621,0.730700016022,-0.276150017977,1.57369995117,-0.487825214863,0.908575057983,0.170202434063,-0.41797721386,1.52065002918,-0.100741803646,-0.0136601366103,-0.33030000329
5898,0.610923349857,0.437100023031,-0.00376619398594,0.450449973345,0.311024993658,0.524399995804,-2.33704996109,-1.35807418823,0.958800017834,-0.447258532047,-0.0389914214611,-0.608649969101,1.14921844006,-0.844792246819,-0.303149998188
23365,1.19670462608,0.0671666711569,-0.818050444126,0.831799983978,-0.381200015545,0.763199985027,1.36994993687,-0.08787509799,0.0584500133991,0.0109785571694,-1.47159540653,-0.0111500024796,-0.515162944794,-0.855650305748,-0.505250036716
6657,0.294842630625,-0.228399991989,-0.149735033512,-0.477950006723,0.139449983835,-0.0408999919891,1.03684997559,0.508931815624,1.19327509403,0.775208950043,0.960559666157,0.226249992847,2.53703284264,-1.14351379871,0.164350003004
5054,-0.522543787956,0.544266700745,-0.161983564496,-0.420049995184,-0.0626250058413,3.43619990349,2.55334997177,-0.620538651943,0.797075033188,1.01772713661,1.4715821743,0.325900018215,-0.221610665321,-0.0486640483141,0.352250039577
3108,1.0611371994,-0.660733401775,0.0223987102509,0.946750044823,0.304174989462,0.895150005817,2.42460012436,0.681300401688,-0.158299997449,0.475997716188,0.00703287497163,0.23400002718,-1.5444996357,1.3995449543,0.0753500014544
