rid,CPC013_A375_6H:BRD-K18364651-001-01-5:10,CPC013_A549_6H:BRD-K18364651-001-01-5:10,CPC013_A549_24H:BRD-K18364651-001-01-5:10,CPC013_ASC_24H:BRD-K18364651-001-01-5:10,CPC013_HA1E_6H:BRD-K18364651-001-01-5:10,CPC013_HCC515_6H:BRD-K18364651-001-01-5:10,CPC013_HEPG2_6H:BRD-K18364651-001-01-5:10,CPC013_HT29_6H:BRD-K18364651-001-01-5:10,CPC013_MCF7_6H:BRD-K18364651-001-01-5:10,CPC013_MCF7_24H:BRD-K18364651-001-01-5:10,CPC013_NEU_24H:BRD-K18364651-001-01-5:10,CPC013_NPC_24H:BRD-K18364651-001-01-5:10,CPC013_PC3_6H:BRD-K18364651-001-01-5:10,CPC013_PC3_24H:BRD-K18364651-001-01-5:10,CPC013_SKB_24H:BRD-K18364651-001-01-5:10,CPC013_VCAP_6H:BRD-K18364651-001-01-5:10,CPC013_VCAP_24H:BRD-K18364651-001-01-5:10,ERG014_PC3_24H:BRD-K18364651-001-01-5:10.0972,ERG014_PC3_6H:BRD-K18364651-001-01-5:10.0972,ERG014_VCAP_24H:BRD-K18364651-001-01-5:10.0972,ERG014_VCAP_6H:BRD-K18364651-001-01-5:10.0972
5720,-2.36474823952,-0.635399997234,-0.305666655302,1.59460008144,-0.927558302879,-0.0314333289862,0.122894212604,-0.37769818306,-1.37562501431,-0.586374461651,0.494300037622,0.514766633511,-0.304496228695,-1.37847590446,1.08539998531,-0.689120829105,-0.220232129097,-1.32926416397,-0.377900004387,0.578071773052,-0.213915348053
466,-1.06709766388,-0.776149988174,0.0623666793108,-0.605253875256,-0.0128039717674,-0.182833343744,-0.10871540755,0.329476475716,0.897600054741,-0.791505157948,-0.206799998879,0.316700011492,-0.414725095034,-0.793625354767,-0.452935218811,-2.15250563622,-0.465448886156,0.126562207937,-0.342999994755,0.491662055254,-0.432577162981
6009,-2.46247816086,-1.57424998283,-0.694166660309,-0.474268704653,-0.742649972439,-0.384633332491,0.0687686800957,-0.417132854462,0.783349990845,-0.746967732906,0.36859998107,-0.0607000291348,0.714115560055,-1.22017979622,-1.2874802351,-1.06265592575,-0.748437583447,-0.447169184685,0.905400037766,0.635279357433,0.708307862282
2309,0.338231265545,-0.698300004005,-0.907666683197,-1.2058069706,-0.072485730052,-0.467933356762,-0.388002336025,-0.459063708782,0.207124993205,-0.635604083538,0.130900025368,-0.163399994373,-0.466599702835,-0.361698389053,-0.430607914925,-0.0667971074581,-0.13437718153,2.42547464371,-0.157600015402,-0.281286716461,-0.351074278355
387,-0.712819159031,-1.19825005531,-0.158633366227,-0.181705206633,-0.785142660141,-0.804633378983,-0.406284153461,0.455470860004,1.20922493935,0.234490334988,-0.608999967575,0.103433325887,0.249776527286,-0.800441384315,-0.572597146034,-1.18226408958,-0.148629873991,0.812141001225,0.746999979019,0.448883146048,1.01615464687
3553,0.00887414813042,1.05145001411,0.000133320689201,0.756523668766,1.0607278347,0.126133367419,-0.0640843957663,1.29978120327,0.0579749941826,0.983542382717,-0.371050000191,0.124799966812,0.188503488898,0.534711956978,0.624519407749,0.95199650526,0.666051566601,0.13855612278,-0.212950021029,-0.666450738907,0.019900906831
427,2.46070551872,1.266299963,-0.196700006723,-0.164363190532,-0.966480135918,0.200433343649,-0.487692177296,0.025452464819,1.69074988365,0.975842654705,1.38355004787,-0.982400000095,-0.066712372005,-0.0184913501143,-0.468131959438,-0.652506411076,0.730972230434,0.262748360634,-0.268550008535,0.399941176176,-1.52228331566
5898,-4.9275727272,-0.348850011826,-0.0697333142161,-0.289941847324,0.123840868473,0.0779666304588,-0.258145928383,-0.0423640906811,0.884550035,-1.04879307747,-0.932600021362,-1.35666656494,-1.1565990448,-0.583136439323,-0.437375545502,-0.17537522316,0.320736914873,-0.536330759525,0.00229996442795,0.597285807133,-0.114408232272
23365,0.413039445877,0.639699995518,-0.254000008106,-0.786908149719,0.00573729351163,-0.315666675568,-0.445630669594,-0.398536920547,0.342575013638,0.654865920544,0.571850061417,-0.495566695929,0.092662781477,-0.0627101138234,-0.256672918797,-0.597122788429,0.577496230602,-0.672974765301,0.161349982023,0.0797416865826,0.48517537117
6657,1.94750034809,0.724900007248,0.0996000096202,0.949470043182,0.837188363075,0.737333297729,0.0402040965855,0.132939323783,0.576824903488,0.737794697285,0.304650038481,-0.521600008011,-0.166544288397,1.26181936264,0.514220476151,0.774566888809,0.534044504166,0.18187391758,-0.193599998951,-0.686728656292,-0.298197418451
