rid,CRCGN001_HA1E_6H:BRD-A61273891-001-01-6:10,CRCGN001_HA1E_24H:BRD-A61273891-001-01-6:10,CRCGN004_HA1E_24H:BRD-A61273891-001-01-6:10UM
5720,-0.524603247643,0.552942335606,0.326744943857
466,-0.230474919081,0.569775819778,-1.2153865099
6009,-0.00862393900752,0.757585287094,-0.277350366116
2309,-0.402543514967,0.0137232840061,-1.00117266178
387,-0.0739119797945,0.152337819338,-1.04789018631
3553,0.204352200031,-0.582999050617,-0.716557383537
427,1.71268117428,-0.651563882828,0.0863891392946
5898,0.21490649879,-0.423542737961,-0.678669989109
23365,0.396825939417,-0.398148715496,-0.694972455502
6657,-0.0752627849579,-0.193932235241,0.586250782013
5054,-1.1203302145,-0.16767218709,-0.802940428257
3108,-0.0992038026452,0.753616690636,0.543043613434
1950,0.313590019941,0.324982583523,-1.0438233614
351,0.128401175141,0.0656784549356,0.156061947346
4846,-0.555866897106,0.0619806274772,0.574838161469
1452,-1.16381394863,0.0986325144768,-1.05217957497
4776,0.800515651703,-0.877431094646,-0.3899281919
6908,-0.444523096085,0.394470989704,0.512316524982
672,0.0568475797772,-0.358328193426,0.442923754454
5710,-0.773197114468,0.016922801733,-0.210442900658
2115,0.158408775926,-0.496258795261,0.00304832449183
7015,0.201783180237,-0.138255447149,0.447599440813
8726,0.196550309658,0.123603910208,-0.0474279783666
2185,0.0134690683335,-0.151154249907,-0.209988459945
3315,-0.0672788396478,0.152570962906,-0.129114240408
5289,0.276790112257,-0.180703744292,0.0143368728459
868,0.59461414814,0.198877394199,-0.0833641439676
1677,0.537302851677,-0.149099960923,0.534256696701
7043,0.560945689678,-0.762256026268,-0.563378810883
5613,0.0278105121106,-0.168530628085,0.031080506742
595,0.272561997175,0.0143486894667,-1.31192171574
4793,0.107106551528,-0.032429985702,0.403846383095
2736,0.385118514299,-0.398858487606,-1.22058975697
5290,0.493881285191,-0.627971827984,0.172298058867
6194,-0.000308221729938,0.000218487839447,-0.0361345261335
1676,0.693174242973,-1.0246130228,-0.91163444519
23512,0.0633270144463,-0.457813084126,0.447602152824
148022,0.315208375454,-0.690972089767,-0.91572701931
1906,0.0987224504352,-0.549684882164,-1.54586708546
8878,-0.0431722775102,0.654328227043,-0.246637910604
3091,-0.204310119152,-0.959086179733,-0.408100187778
5743,0.800707519054,-0.160204797983,0.2745898664
5321,-0.101410061121,-0.258516788483,0.0834549516439
4144,-0.714468359947,0.333393514156,0.28165730834
1981,0.447351306677,0.625425338745,-0.592472970486
695,0.679489850998,0.0305251851678,-0.788058459759
10398,0.121362581849,-0.525587558746,0.16269788146
5708,-2.4636964798,-0.508447885513,-0.410296887159
1213,-0.234309375286,0.291642218828,-0.0104564018548
226,-0.230830788612,-0.53008878231,-0.354388445616
6777,-0.48771160841,0.214881882071,-0.3979999125
2113,0.362706810236,-0.719437241554,-0.754525661469
3329,-0.0859310775995,0.678766191006,-0.555446088314
1050,-0.0850029289722,0.114212453365,1.44987785816
9491,0.31647464633,-1.07652270794,0.170522645116
22926,0.12117575109,-0.339464992285,-0.119708105922
5899,-0.334427416325,0.0150715541095,-0.190037816763
5467,0.0594360679388,-0.834108173847,0.0162320341915
6774,-0.0205363035202,-0.878154039383,-0.240496560931
1788,0.223546937108,-0.884474992752,-0.0779904425144
5921,-0.180510208011,-0.265446484089,-1.42989766598
5721,-0.274292051792,0.387179613113,0.526328206062
2263,0.510545134544,-0.0889153331518,0.371022850275
808,0.259498775005,-0.829091012478,-0.31820076704
30001,-0.116237312555,0.346101403236,-0.0568915456533
348,0.390360444784,1.28340411186,-0.168159291148
30849,0.0658716037869,0.966469168663,-0.241998970509
1454,0.00441492348909,0.697814762592,-1.21217763424
6500,-0.414448946714,0.312879294157,-1.05896997452
5627,-0.354484945536,0.38379830122,2.52226114273
5715,-0.0837264955044,-0.012585029006,1.07381045818
4791,0.179454803467,-0.695165753365,0.175303220749
56924,0.0955495834351,-0.218306273222,-0.412089109421
2690,-0.73849773407,0.514456033707,-0.0337099358439
1019,-0.554921984673,0.475467860699,0.397647500038
51422,0.209348291159,-0.56080198288,-0.411533713341
5788,0.29714345932,-0.445294588804,-0.0771860852838
6709,-0.132881700993,0.433133065701,-0.751137435436
1277,0.258939504623,0.399547636509,-0.675867140293
993,-0.260721206665,0.335565984249,1.25909292698
7157,-0.451013475657,-0.615467429161,0.264608472586
1958,0.449712902308,-0.515581488609,0.388798326254
4582,0.634042620659,-0.240988761187,0.905769228935
9212,0.358129620552,-0.503226995468,-0.474109947681
8440,0.0903068855405,0.333020359278,-0.90457379818
6790,0.819207906723,-0.675626397133,-0.322410881519
8851,0.723341941833,-0.147590383887,-0.51192855835
2534,-0.0452255755663,-0.346212685108,0.237236410379
4893,-0.204018548131,0.0555800944567,-0.344410359859
665,0.0448665991426,0.0906924530864,0.21328727901
