rid,CPD001_MCF7_6H:BRD-A71033472-003-19-7:10,CPD001_MCF7_24H:BRD-A71033472-003-19-7:10,CPD001_PC3_24H:BRD-A71033472-003-19-7:10
5720,0.892008721828,0.0418039634824,1.46500444412
466,-4.61828708649,0.376417696476,-0.217387109995
6009,1.55046236515,-0.123909376562,0.313765436411
2309,2.20149850845,0.446319967508,-0.049188375473
387,1.20682668686,-0.527263104916,-1.68751597404
3553,-0.528124392033,-1.21063435078,0.365731298923
427,-0.796263217926,0.72810292244,-0.570307731628
5898,-2.06452345848,0.0336219668388,-0.103540033102
23365,-1.44479072094,-0.23864684999,-1.04317617416
6657,-0.0868772491813,-0.305903345346,1.01815342903
5054,-0.74777919054,0.102237865329,-1.45262360573
3108,-1.08246016502,-0.38562270999,-0.394791871309
1950,-0.125333234668,0.912974596024,0.549794733524
351,-1.44054925442,0.0706964954734,0.479922682047
4846,-0.713587582111,0.717673361301,-0.81977891922
1452,0.086905233562,-0.109075330198,-1.22670459747
4776,0.588481783867,-0.592750132084,0.339295893908
6908,0.967415928841,0.276153683662,-0.696022033691
672,0.0558679886162,0.396143317223,0.848338365555
5710,0.0754753947258,-0.415836662054,-0.699025928974
2115,-1.45435965061,-0.416320204735,-0.399459272623
7015,-0.660191059113,-0.358884811401,1.34682273865
8726,-1.41643249989,0.0774264782667,-0.929937362671
2185,0.243377491832,-0.964153945446,0.699308395386
3315,0.292017996311,-0.293204516172,-1.33736467361
5289,-0.460384368896,-0.181176364422,1.45077776909
868,0.774215519428,0.512464880943,-0.0409017652273
1677,1.78335046768,-0.66455411911,-0.608496725559
7043,0.248154610395,-0.857217788696,0.26232022047
5613,-0.647906541824,0.00797306746244,0.921573579311
595,-0.13478243351,-0.621992647648,-1.11081397533
4793,-1.45781826973,0.1734559834,-1.22454571724
2736,0.218977570534,0.0796159058809,0.665848135948
5290,0.292188107967,-0.371652662754,0.910534858704
6194,-0.038585215807,-0.0119198709726,-0.229620695114
1676,-2.77206397057,-0.929231464863,0.748404145241
23512,-0.191450834274,0.823074817657,0.151958480477
148022,-0.183249101043,-0.389501571655,-1.70981383324
1906,-0.547918498516,-0.594541430473,1.3154759407
8878,1.26449203491,0.381784141064,0.258308202028
3091,-1.50145494938,0.524131476879,-0.0246471147984
5743,-0.61351621151,-0.154195234179,0.0817780792713
5321,-0.282772868872,-0.234807491302,0.4676207304
4144,-1.82467341423,-0.853419184685,-0.130513519049
1981,0.289828926325,0.0940638929605,-0.912098824978
695,0.311240971088,-0.155289262533,-0.656015515327
10398,0.482446998358,-0.379446715117,-0.261483579874
5708,1.53917968273,0.236462727189,0.613822340965
1213,0.0875017866492,-0.462402880192,-1.54073822498
226,0.291968077421,-0.0368933826685,-1.64140307903
6777,0.878296017647,-0.588002800941,-0.63933378458
2113,-0.610675036907,-0.751729607582,-0.65373134613
3329,-4.14526081085,0.197737649083,-0.80012100935
1050,-0.39137417078,-0.41408354044,-0.00505498796701
9491,-0.496545672417,-0.872400522232,-0.179514139891
22926,1.44016253948,0.03793271631,0.341848403215
5899,1.1399513483,-0.463814258575,-1.14407801628
5467,0.271029233932,-0.839767456055,-1.62262010574
6774,-0.2220338732,0.753283500671,0.298605799675
1788,0.722971975803,-1.10030329227,0.679003119469
5921,4.76035785675,-0.434945553541,-1.05656957626
5721,1.32245802879,0.068555817008,-0.243651539087
2263,-0.279773652554,-0.0531857088208,0.337448120117
808,-0.554644465446,-0.461462259293,-0.414539158344
30001,0.225376039743,0.472195416689,-0.362436950207
348,-0.221242889762,0.121910341084,-0.16895839572
30849,0.417660355568,-0.360881328583,-0.709518134594
1454,-0.547294259071,-0.789923429489,-0.0261940509081
6500,-0.973188281059,-0.442722082138,-0.710812687874
5627,-0.211388736963,1.72861504555,0.665788948536
5715,0.811910450459,-0.44937852025,-1.24634361267
4791,-0.347394376993,0.203245133162,-0.568489193916
56924,0.459497541189,0.606677889824,-0.399790108204
2690,0.35475987196,0.513753056526,-0.274692714214
1019,-2.62758421898,0.452261835337,0.407369375229
51422,0.594255626202,-0.358454793692,0.662736535072
5788,0.506199717522,-0.480364501476,0.808950424194
6709,0.116017341614,0.0687186121941,-1.62129116058
1277,-0.441594064236,-0.165577486157,-1.5703445673
993,0.83792757988,-0.17466904223,0.0863727033138
7157,0.343184828758,0.100637823343,0.196255356073
1958,4.91253614426,-0.778395414352,0.159438341856
4582,-0.225144699216,0.318666368723,-0.407831132412
9212,0.663423120975,-0.987212300301,0.66576063633
8440,-1.12872755527,0.457906782627,-0.514229059219
6790,0.39629688859,-0.785364747047,-1.41825723648
8851,1.01057291031,-0.151270076632,-1.04545128345
2534,0.190812051296,-0.199797794223,-1.79775977135
4893,0.27130150795,0.468099564314,-0.16937918961
665,0.702711999416,0.4044957757,-1.64391374588
