rid,DOS025_VCAP_6H:BRD-K91686310-001-01-4:4.97,DOS025_VCAP_24H:BRD-K91686310-001-01-4:4.97,DOS047_A375_24H:BRD-K91686310-001-01-4:4.97,DOS047_A549_24H:BRD-K91686310-001-01-4:4.97,DOS047_HT29_24H:BRD-K91686310-001-01-4:4.97,DOS047_MCF7_24H:BRD-K91686310-001-01-4:4.97,DOS047_PC3_24H:BRD-K91686310-001-01-4:4.97
5720,1.24279999733,-0.35296407342,-0.227063834667,-0.121549993753,-0.773533284664,-0.0637499913573,-2.4368083477
466,0.869899988174,-0.118496499956,0.0292696654797,1.34179997444,-0.238733291626,0.497850000858,0.429489970207
6009,0.766200006008,-0.234871834517,-0.478677630424,0.969149947166,1.15650010109,0.781899988651,0.390061318874
2309,-0.250349998474,0.110370822251,-0.119227036834,-1.9103500843,-0.444966673851,-1.08675003052,1.84981775284
387,-0.319099992514,-0.652190089226,1.26254975796,-0.00889998674393,1.65873336792,0.243600010872,-0.421241313219
3553,0.152300000191,-0.559679627419,-0.32130420208,0.0161500275135,-0.223266661167,-0.690099954605,0.0627308338881
427,-0.322349995375,0.962266564369,0.916810393333,0.922699987888,-1.4226000309,-0.398849993944,1.19854211807
5898,-1.89520001411,-0.895655572414,0.125616043806,0.931949973106,0.643600046635,-3.21799993515,-1.97778630257
23365,-0.718800008297,-0.482999682426,-0.690325498581,-0.0534999966621,0.456100016832,-0.434399992228,-1.25485885143
6657,-0.11234998703,-0.466583102942,0.477433204651,0.237500011921,-0.264200001955,-0.339199990034,0.785730838776
5054,-0.15474998951,-0.52619099617,-0.0803271234035,-0.641099989414,-0.542433321476,-0.625800013542,-0.956098914146
3108,-0.121749997139,0.292009204626,-0.119715817273,-0.770799994469,-0.197500005364,1.58275008202,0.612144231796
1950,-0.205150008202,0.910363435745,0.140142992139,-0.303250014782,-1.48136675358,0.323000013828,1.30717694759
351,0.674799978733,-0.314339578152,-1.04747962952,-1.28775000572,0.230133354664,0.207650005817,-0.0231351964176
4846,0.164250001311,-0.484529048204,1.08374261856,-1.42775011063,0.0460333377123,0.201950013638,1.70138120651
1452,0.969999969006,0.261957347393,-0.0945965647697,-1.24714994431,0.0902667045593,0.0562999993563,-1.37782645226
4776,-0.360700011253,0.58031141758,0.596131443977,0.808300018311,-0.24823333323,-0.411300003529,0.685256004333
6908,-0.64620000124,-0.392993927002,-0.672089576721,-0.162299990654,-0.512066721916,1.97245001793,-0.870097100735
672,-0.647399961948,-0.553054213524,-0.185345649719,-0.231049984694,-1.74723339081,-0.377700001001,-1.02661311626
5710,-0.165299996734,0.459316551685,-0.23330129683,-0.854799985886,0.28100001812,-0.195149987936,-0.737064123154
2115,-0.167199984193,0.389088273048,-1.47296023369,-0.54515004158,0.525533258915,0.927199959755,-0.692850589752
7015,-0.918500006199,0.248305648565,1.22760093212,1.49934995174,-0.222233340144,0.294349998236,1.24560749531
8726,-0.36645001173,-0.274741411209,-2.19753170013,-0.263749986887,0.0147000253201,-0.192949995399,-0.568050563335
2185,-0.166799992323,-0.08914488554,0.400546610355,0.309700012207,-0.309966683388,-0.522750020027,1.23366212845
3315,0.262749999762,0.503768920898,1.82351827621,-0.988399982452,0.48816666007,-0.373950004578,-0.180658251047
5289,-2.25339984894,0.10048353672,-0.0986383631825,1.74020004272,0.127366662025,0.923049986362,2.70613384247
868,-1.25894999504,1.23623180389,-0.529489219189,-2.29495000839,0.357133328915,0.279500007629,-0.465610772371
1677,0.684549987316,2.003210783,-0.965791881084,0.698199987411,-0.225333362818,0.44889998436,0.32538202405
7043,-0.885699987411,-0.642083227634,0.147653371096,-0.477699995041,0.771300017834,-0.739800035954,0.111969470978
5613,-0.630199968815,-0.119698420167,-0.803369224072,-0.214149996638,0.214366674423,-0.40340000391,0.662463605404
595,-0.615400016308,-0.080723375082,-0.072893448174,-2.60570001602,0.225633323193,-0.519050002098,-1.55358099937
4793,0.556850016117,-0.266830861568,0.421541333199,0.348199993372,0.870100021362,-1.60959994793,0.421709626913
2736,-0.958250045776,-0.549292206764,-0.221279874444,0.131650000811,0.0553333461285,-0.060100004077,0.826879858971
5290,0.206249982119,0.131661191583,0.981720030308,0.471999973059,0.492233335972,-0.0209500007331,0.814910471439
6194,-4.39580011368,0.0,0.393434554338,-0.776000022888,-0.29160001874,0.0,-0.517647206783
1676,-1.93215000629,0.475158840418,0.126834750175,0.622349977493,-0.367200016975,-0.277300000191,0.466015428305
23512,-0.0672000348568,-0.00456659495831,0.547341108322,-2.12345004082,-0.41753333807,-2.75659990311,-0.741793215275
148022,-0.643200039864,-0.200098723173,-0.492883324623,-0.949599981308,-0.194866687059,-0.716199994087,0.274356842041
1906,-0.419349998236,0.113910809159,0.115204930305,-0.008350007236,-0.963400065899,-0.57365000248,0.174169108272
