rid,CPC003_HA1E_6H:BRD-K28453807-003-05-4:10,CPC003_HA1E_24H:BRD-K28453807-003-05-4:10,CPC003_HCC515_6H:BRD-K28453807-003-05-4:10,CPC003_HCC515_24H:BRD-K28453807-003-05-4:10,CPC003_PC3_6H:BRD-K28453807-003-05-4:10,CPC003_PC3_24H:BRD-K28453807-003-05-4:10,CPC003_VCAP_6H:BRD-K28453807-003-05-4:10,CPC003_VCAP_24H:BRD-K28453807-003-05-4:10,CPC016_A375_6H:BRD-K28453807-003-05-4:10,CPC016_A549_6H:BRD-K28453807-003-05-4:10,CPC016_A549_24H:BRD-K28453807-003-05-4:10,CPC016_ASC_24H:BRD-K28453807-003-05-4:10,CPC016_HEPG2_6H:BRD-K28453807-003-05-4:10,CPC016_HT29_6H:BRD-K28453807-003-05-4:10,CPC016_MCF7_6H:BRD-K28453807-003-05-4:10,CPC016_MCF7_24H:BRD-K28453807-003-05-4:10,CPC016_NEU_24H:BRD-K28453807-003-05-4:10,CPC016_NPC_24H:BRD-K28453807-003-05-4:10,CPC016_SKB_24H:BRD-K28453807-003-05-4:10,CPD003_MCF7_6H:BRD-K28453807-003-08-8:10,CPD003_MCF7_24H:BRD-K28453807-003-08-8:10,CPD003_PC3_6H:BRD-K28453807-003-08-8:10,CPD003_PC3_24H:BRD-K28453807-003-08-8:10
5720,0.268950015306,0.174949303269,-2.61401844025,0.122061192989,0.0143666565418,0.121216855943,-1.13019835949,0.435299992561,0.73369628191,1.24425005913,0.259900003672,3.26539301872,0.738905072212,0.906024694443,-0.489528417587,0.31507140398,0.83776140213,-0.216953068972,0.0618812926114,-1.14085006714,0.0886859148741,0.644902408123,0.157700002193
466,-0.0130999982357,0.247948929667,0.285582304001,1.00325453281,0.185133323073,0.839429140091,-1.68786382675,0.102850005031,1.04010975361,0.126250013709,-1.26705002785,0.558292686939,0.549791753292,0.541059017181,0.171866625547,0.92892152071,-0.986409664154,0.174944594502,0.528177976608,1.00484991074,0.425993204117,-0.195169553161,-0.590350031853
6009,0.321599990129,-0.506721675396,-0.424588799477,0.198725059628,0.608433306217,-0.151815056801,-0.129053875804,0.765450000763,0.512928724289,-1.15450000763,1.40935003757,1.05329072475,0.637350678444,0.0414942875504,-0.368542164564,0.16942936182,0.26508590579,0.611458539963,-0.180518433452,0.907100021839,0.941377460957,1.27103281021,0.258449971676
2309,0.354799985886,0.65238815546,1.49514937401,0.918318629265,-0.503000020981,-0.386697351933,2.29068827629,-0.0512000024319,0.823886632919,-0.650849997997,1.26405000687,-0.171724230051,-1.48470532894,-0.17985881865,-0.567770957947,-1.04429543018,0.300956845284,0.866967737675,0.0108407326043,0.0775999873877,0.512944877148,-0.907853126526,-1.00485002995
387,0.00114999711514,0.52114802599,1.01897835732,0.780249118805,0.445699989796,0.195039227605,0.660710453987,1.547549963,-0.0584039241076,0.709600031376,0.135199993849,1.96066117287,0.257960170507,-1.10496211052,-0.262180387974,0.397305220366,0.749150037766,-0.0643041282892,0.785109043121,-0.104399979115,0.495141685009,0.954748511314,-0.722200036049
3553,0.123600006104,0.450759023428,1.12696528435,-2.37967562675,1.39320015907,0.0761166661978,1.37522220612,0.25750002265,-0.122510626912,-0.477349996567,-0.0112500041723,0.67192697525,-0.844319999218,1.50008177757,1.27060294151,-0.439214527607,-0.742875516415,0.979855179787,0.59567540884,-0.43465000391,-0.578673064709,-0.0167937874794,-0.397549986839
427,-0.626699984074,0.242217674851,0.864722013474,-0.681847333908,-0.469300031662,-0.642807364464,0.215175658464,-0.191149994731,0.820082962513,0.620999991894,-1.10430002213,2.20717954636,0.218077123165,0.971194326878,0.00333832204342,-0.0551296770573,-0.544463515282,-2.17469215393,0.485743016005,-0.751249909401,-0.615474820137,-0.466128826141,0.0118499994278
5898,-0.0782500058413,-0.177702322602,1.07376015186,-1.00807702541,0.447066694498,-0.103650972247,-0.587163031101,-0.875450015068,1.26140761375,0.898849964142,-0.459850013256,-1.61408889294,-0.603567540646,0.469728261232,0.517009615898,-0.60509121418,0.23326459527,-0.396142929792,-0.328806489706,0.598699986935,-1.45955729485,0.428111582994,-0.437449991703
23365,-0.106199994683,-0.879288673401,0.719327569008,0.0275786072016,1.0014333725,0.599734783173,0.0108291208744,0.61905002594,0.0245437026024,0.176200002432,-0.534799993038,-1.25711214542,-0.119379073381,0.131551146507,1.04198980331,0.139377608895,1.41100025177,0.112674474716,0.0760858207941,-0.388500005007,0.615074157715,-0.375965774059,-0.204899996519
6657,0.143250003457,0.122245684266,0.629088401794,0.0993194133043,-0.578900039196,-0.351285547018,0.678778350353,-0.253499984741,0.0435708202422,-0.417349994183,-0.000550001859665,-0.405131042004,-0.802942931652,1.28003275394,1.79457330704,0.0578919872642,0.169291839004,-0.111564800143,-0.861773848534,-0.412550002337,-0.267139554024,-0.484788417816,-0.634050011635
