rid,DOS022_VCAP_6H:BRD-K50014464-001-01-2:5.05,DOS022_VCAP_24H:BRD-K50014464-001-01-2:5.05,DOS045_A549_24H:BRD-K50014464-001-01-2:5.05,DOS045_HT29_24H:BRD-K50014464-001-01-2:5.05
5720,0.599776268005,0.482673972845,-0.323216587305,0.0460499972105
466,-0.470933496952,0.731528937817,-0.190769001842,-0.788850009441
6009,-0.10741802305,0.478782504797,-0.986817836761,0.262799978256
2309,0.320279240608,-0.600615501404,-0.0978222191334,0.0807499885559
387,0.470069855452,-0.529304921627,-0.571746170521,0.716949999332
3553,0.552162051201,-0.436580061913,1.02829015255,0.696550011635
427,-0.784484565258,0.922247290611,0.557693183422,-0.289049983025
5898,0.613083720207,0.390297412872,0.465793311596,-0.352249979973
23365,0.80882781744,0.591765701771,0.279478907585,1.35815000534
6657,0.0203764438629,-0.213307380676,0.346552014351,0.0670999959111
5054,-0.334030508995,-0.0728479847312,0.0288660228252,1.21029996872
3108,0.0810886621475,0.441181600094,-0.0323267132044,-0.00124999880791
1950,-0.908885657787,-0.139414578676,0.767712056637,0.125499993563
351,-0.313828289509,-0.192474633455,-0.329680204391,-1.07045006752
4846,0.557531118393,-0.821247816086,1.50659358501,1.28419995308
1452,0.503329634666,0.460664600134,0.0681599229574,0.0623500049114
4776,0.392463713884,-0.36501789093,2.13553094864,0.668299973011
6908,-0.143076211214,-0.601412415504,-0.551822423935,0.347350001335
672,0.449465125799,0.758006215096,-0.280956447124,0.722400009632
5710,-0.436329424381,0.137889385223,-0.168000370264,-0.755550026894
2115,0.87764275074,5.98232984543,0.894878387451,-0.391699999571
7015,-0.186470121145,0.45824739337,0.635961174965,1.61459994316
8726,0.953279674053,-0.0579200536013,0.36223512888,-0.620800018311
2185,0.411005049944,-0.282209038734,0.273721277714,0.200249999762
3315,0.0330753400922,1.39464068413,-0.952353954315,0.261049985886
5289,0.910207271576,0.59731066227,0.75337100029,-0.4429500103
868,0.269880324602,-0.800881505013,0.449501425028,0.112799994648
1677,0.416677325964,5.54731988907,0.144677698612,0.193599998951
7043,0.176912784576,-0.0797884464264,1.33229732513,-0.11914999783
5613,0.940875649452,-0.87472486496,0.276080846786,-0.784900009632
