rid,DOS003_VCAP_6H:BRD-K69827766-001-01-1:5.03,DOS003_VCAP_24H:BRD-K69827766-001-01-1:5.03,ERG014_PC3_24H:BRD-K69827766-001-01-1:10.0547,ERG014_PC3_6H:BRD-K69827766-001-01-1:10.0547,ERG014_VCAP_24H:BRD-K69827766-001-01-1:10.0547,ERG014_VCAP_6H:BRD-K69827766-001-01-1:10.0547
5720,-0.916499972343,0.278372913599,0.499669998884,-0.384999990463,1.01632010937,-0.727414608002
466,-0.163300007582,0.308026969433,0.847290933132,-0.056599996984,0.137500792742,-0.682730853558
6009,-1.69910001755,-1.30297398567,-0.241642385721,-0.961899995804,-1.28890311718,-1.469217062
2309,0.672349989414,0.485386788845,-0.0134413912892,-1.02119994164,-0.355582892895,0.100804030895
387,-0.726700007915,-1.25213432312,-0.0836168825626,-0.866199970245,-0.0904231742024,-1.22716021538
3553,-1.04699993134,-0.378047287464,-0.989777445793,-1.360049963,-0.841515243053,0.548556566238
427,-0.277099996805,0.0493879318237,0.667577147484,-0.221650004387,0.373576551676,-0.690750777721
5898,0.738649964333,0.0990437865257,0.462191075087,0.404200017452,0.0571372061968,-0.0862004458904
23365,0.298299998045,0.00334546715021,-0.396711826324,0.0650999993086,0.616245090961,-0.595920681953
6657,-2.08270001411,0.66888999939,-0.283425599337,0.598399996758,-0.504148304462,1.30744552612
5054,-0.203499987721,-0.345131278038,-0.644437015057,0.848350048065,0.0833733454347,0.868927598
3108,-0.320900022984,0.226180404425,-0.761503696442,-0.37190002203,-0.238095551729,-1.39493441582
1950,-0.799300014973,0.435907870531,0.107510924339,-0.381550014019,-0.615288496017,0.59888279438
351,0.0,-0.108724176884,-0.12093513459,0.0,0.415976166725,-0.183121666312
4846,0.34604999423,1.67709255219,0.185617655516,-0.335799992085,-0.0951529741287,0.479429930449
1452,0.676750004292,0.878450274467,0.22001670301,0.344449996948,-0.19699563086,-1.94029951096
4776,0.0162499845028,-0.797809958458,-0.161017507315,1.21300005913,-0.098682127893,0.423697024584
6908,-0.879999995232,-0.520328819752,-0.250436306,-0.218950003386,-0.0580600574613,-0.464859485626
672,0.913100004196,0.386026918888,0.120298743248,-0.399749994278,0.147341132164,-0.285526305437
5710,0.0151000022888,-0.0473889485002,-0.118223011494,0.88379997015,0.659977793694,-1.3094959259
2115,-1.08800005913,-0.837527632713,0.222739353776,0.777850031853,-1.1806204319,0.274929732084
7015,-0.555150032043,0.045044273138,0.108285486698,0.552950024605,-0.22607113421,0.624603152275
8726,-0.0641000121832,-0.980563163757,1.27386307716,0.459349989891,0.353169471025,-0.821111083031
2185,-1.61020004749,-0.198367297649,-0.254714608192,0.344150006771,-1.05776917934,0.604077160358
3315,-0.430049985647,-0.935096263885,-0.419742584229,-0.0529999881983,-0.598019957542,-0.323817014694
5289,-1.06805002689,-0.142122000456,0.992852628231,-0.168600007892,0.107405394316,-0.331744998693
868,-0.788300037384,0.459607541561,-0.092366181314,0.0663499832153,0.546586275101,-0.0478903204203
1677,-0.210799992085,0.436310350895,0.192413195968,0.259750008583,0.379219174385,0.712474584579
7043,-0.436099976301,0.439727455378,-0.0134079232812,-0.243550002575,-0.217289119959,0.163271963596
5613,-0.178200006485,0.540846168995,-0.0105962455273,0.16099999845,-0.402665823698,0.714455604553
595,0.909549951553,1.17219626904,0.199223518372,0.566599965096,0.591407835484,-1.23194825649
4793,-0.677550017834,0.202855199575,-0.553296327591,-0.662550032139,-0.564051926136,0.38270765543
2736,0.344050019979,0.556171238422,-0.633072376251,-0.810950040817,-0.118407055736,0.33060926199
5290,-0.688149988651,0.250824302435,-0.36149173975,0.365099966526,-1.06499958038,0.841144621372
6194,-0.00034999998752,-0.104407958686,-0.382783412933,-0.20585000515,0.555059671402,0.708372533321
1676,-0.488749980927,0.0675644129515,-0.405238866806,0.343699991703,-0.252011179924,0.276507437229
23512,-0.239799976349,0.662195622921,0.419753134251,-1.32039999962,0.423197567463,-0.734466314316
148022,0.705099999905,-0.646422863007,-0.151763498783,0.173799991608,-0.10623691231,-0.420884549618
1906,-1.17320001125,-0.470383048058,-0.21762059629,-0.275099992752,-0.497412115335,0.184479102492
8878,-0.764599978924,-0.0924377739429,0.0690761357546,0.687600016594,0.714537024498,-0.75573527813
3091,-0.625200033188,-1.40619981289,-0.390195786953,-0.34714999795,-0.0653915703297,-0.594417214394
5743,-0.827800035477,0.483444422483,-0.873923063278,-1.29914999008,0.810529053211,1.09038221836
5321,-1.1820499897,-0.324230313301,-0.35226225853,-0.0293000042439,-0.418002903461,0.579162895679
4144,-0.587450027466,0.512256383896,-0.348576188087,-0.525650024414,0.386808097363,-0.0980694741011
1981,0.497050017118,0.415183007717,-0.320980787277,0.747349977493,-1.1559677124,0.218795478344
695,0.933550000191,0.243070974946,-0.319125950336,-0.882049977779,1.02113604546,0.284777760506
10398,-0.189150005579,-0.100330039859,-0.179738819599,-0.603699982166,-0.675575435162,0.568830013275
5708,-0.527750015259,-0.452337563038,0.0417793914676,-1.33990001678,-0.593361020088,-0.480773150921
1213,-0.795599997044,-0.79226398468,-0.153277501464,0.402949988842,0.859703660011,-1.05830693245
226,-0.987900018692,-0.107041478157,-0.106630042195,1.2541000843,0.915680170059,-1.09845256805
6777,-0.017049998045,-1.1595801115,-0.316485852003,0.419200003147,1.83080482483,1.55443382263
2113,-0.804799973965,0.215347319841,-0.0150890499353,0.213049992919,-0.607767164707,0.281655013561
3329,0.852950036526,-0.305515408516,-0.0944032520056,0.730549991131,0.489600718021,-0.734936475754
1050,0.530099987984,-0.365894675255,-0.362925350666,-0.91060000658,0.768218874931,-1.10815572739
9491,0.638599991798,-0.96940600872,0.149761915207,0.130649983883,0.0255585759878,0.35268586874
22926,-0.393200010061,-1.18642663956,0.514260053635,-0.0816999971867,-0.0724665224552,-0.369608163834
5899,-0.221650004387,-1.11413180828,0.0312645584345,0.917750000954,0.284427195787,-1.27973437309
5467,0.105700016022,-0.314243346453,-0.493004471064,-0.226600006223,0.148481965065,0.265800535679
6774,0.409799993038,-1.10864603519,-0.153088480234,1.30244994164,1.05855131149,0.617874503136
1788,-0.648299992085,0.311939954758,-1.46303129196,0.50670003891,-0.632617771626,0.431542903185
5921,-0.519400000572,2.18183588982,-0.192312344909,-0.594699978828,0.960242092609,-0.815621614456
5721,-0.174699991941,-0.202684685588,0.0888285636902,-1.38479995728,-0.40216371417,0.22943893075
2263,-0.657449960709,0.300513923168,0.0186283886433,0.453199982643,-0.393532454967,0.531380295753
808,0.693549990654,-0.874792098999,-0.064558327198,0.581249952316,-0.758688271046,0.814103722572
30001,-0.644150018692,-1.24830341339,0.499066770077,0.346499979496,0.165030241013,-0.864677727222
348,-1.17509996891,-0.328901439905,-0.507505178452,-0.207499995828,-0.624206840992,0.785342514515
30849,-0.437849998474,-0.409527301788,-0.154409438372,0.381799995899,0.587037086487,-0.802040994167
1454,1.35169994831,-0.1803175807,-0.269927352667,0.892249941826,1.95315909386,0.366927921772
6500,-0.646399974823,-0.096612945199,0.349781095982,0.397600024939,0.891126871109,-0.887046575546
5627,0.250450015068,0.4234842062,-0.823638558388,-0.0971499979496,-0.330588668585,0.847653448582
5715,-2.54914999008,-0.588680148125,-0.155883938074,0.293550014496,0.0303708203137,-0.53583830595
4791,0.398000001907,-0.402594685555,-0.233076900244,0.694400012493,-1.02569127083,1.62455618382
56924,-0.701300024986,0.147760897875,0.342857420444,-0.629850029945,-0.688160300255,0.423748999834
2690,-0.32080000639,-0.412596344948,0.463482886553,-0.38504999876,-0.0626363605261,-0.261884301901
1019,0.268849998713,0.353821575642,0.103795610368,-0.0957999974489,0.567095935345,-0.126743525267
51422,0.136299997568,3.09313488007,-0.281286239624,0.897499978542,0.32137170434,0.916628777981
5788,-0.174100011587,0.298095285892,0.52166903019,-0.146349996328,-0.105324476957,0.700082182884
6709,0.878100037575,0.00522316340357,-0.524811863899,-0.344799995422,-0.16551309824,-0.871833205223
1277,-0.268299996853,0.519745409489,-0.690470814705,-0.285599976778,-0.750162363052,0.186872154474
993,0.733500003815,-1.34927988052,0.0356193110347,-0.205249994993,-0.076305963099,-0.331286013126
7157,0.24660000205,-0.187003523111,0.920419454575,0.606599986553,1.03565359116,-0.389735490084
1958,-1.23899996281,-0.736331820488,-0.0754181742668,-0.51289999485,-0.169095486403,-0.738198280334
4582,4.97795009613,-0.799884319305,0.497793853283,0.366899996996,0.594852924347,-0.900239109993
9212,0.602750003338,0.215500220656,-0.725246250629,0.357299983501,-0.603429555893,0.791798472404
8440,-0.252749979496,-0.532317996025,0.601315557957,0.0763500034809,-0.102073520422,-0.562974691391
6790,-0.219349995255,-0.527135670185,0.209420233965,-0.210349991918,0.106207728386,-1.12403893471
8851,-1.15585005283,-0.675086975098,0.0311057120562,-0.797649979591,0.799021422863,-1.35312724113
2534,0.424650013447,-1.2492890358,-0.48945826292,0.420949995518,0.208594352007,0.981837332249
4893,-0.166899994016,1.94280672073,-0.413515508175,0.640100002289,-0.194898381829,0.106169894338
665,-0.19494998455,-0.55143892765,0.556250631809,0.252000004053,-1.12062227726,0.576680064201
4313,-0.87190002203,0.137095034122,-0.457258343697,-0.326599985361,-0.796862840652,0.655161499977
1022,-0.143649995327,0.377707898617,-0.310727000237,-1.81089997292,-1.30899012089,-0.369337290525
5880,0.600849986076,0.362016022205,-0.00400580465794,0.849700033665,0.714615821838,-1.00269377232
3162,2.67264986038,-0.523217558861,0.616024374962,0.0241999998689,0.27861943841,-0.56917989254
1282,-0.0519999861717,-0.198986172676,-1.39218842983,-1.72615003586,-1.10395944118,0.17818826437
3383,-0.323000013828,-0.940656960011,-0.559624254704,-0.12555000186,-0.13062544167,-0.0179084092379
