rid,NMH001_FIBRNPC_6H:BRD-K19042873-001-01-8:10,NMH001_FIBRNPC_24H:BRD-K19042873-001-01-8:10,NMH001_NEU_6H:BRD-K19042873-001-01-8:10,NMH001_NEU_24H:BRD-K19042873-001-01-8:10,NMH001_NPC_6H:BRD-K19042873-001-01-8:10
5720,-0.80965000391,0.701200008392,-0.508900046349,-1.45721626282,-2.39120197296
466,0.398550003767,-2.17925000191,-0.00870001316071,-0.185735702515,2.26445817947
6009,-0.680049955845,-0.174899995327,1.1276999712,-1.67226433754,1.95775556564
2309,-0.345200002193,0.901100039482,0.508025050163,-0.968900680542,2.19108462334
387,-0.85514998436,-0.761250019073,0.482174962759,-0.048357475549,-1.1216968298
3553,0.316199958324,0.133900001645,0.24564999342,1.18236935139,-0.576086819172
427,0.527649998665,-1.22040009499,-0.251450031996,0.869560599327,-0.543042957783
5898,-0.74715000391,-0.765850007534,-0.0279750004411,-0.127694785595,-1.06186246872
23365,0.493949979544,1.17750000954,0.585025012493,-0.517381489277,1.92253541946
6657,0.329650014639,0.0849500000477,-0.403099983931,-2.16210365295,0.526550233364
5054,0.368050009012,-0.81769990921,0.251074999571,-0.041733533144,0.906190574169
3108,-0.903949975967,0.485500007868,-0.364624977112,0.896369695663,3.21813082695
1950,0.404850006104,-0.392150014639,0.0308500230312,1.07153570652,2.38709259033
351,0.189250007272,-0.00915002822876,0.0023499999661,-0.00352515466511,-1.16505455971
4846,-0.595300018787,-0.0138500034809,0.19034999609,0.194828093052,-0.0551529340446
1452,-0.762199997902,-0.373349994421,0.81807500124,-0.848932147026,1.83886313438
4776,-0.109549999237,0.604200005531,-0.529599964619,0.00582671165466,-0.537320375443
6908,-0.727349996567,0.213450014591,0.565675020218,-0.71651661396,1.68681633472
672,0.657899975777,0.339449971914,-0.856799960136,0.0949246287346,-0.0952247977257
5710,-0.439349979162,0.233999997377,-0.0284250080585,-0.684431731701,0.782296776772
2115,-0.147249996662,-0.0545499920845,0.337300002575,2.57389593124,-0.194833993912
7015,-0.196300014853,-0.0531500130892,-0.205074980855,0.860423564911,-0.686748623848
8726,0.13259999454,-1.60984992981,0.324999988079,0.1205252707,1.57344579697
2185,0.290799975395,0.0707500129938,-0.6549000144,0.276157796383,-0.846404075623
3315,-0.848749995232,0.111999996006,0.203449994326,-0.220001608133,-1.1129680872
5289,-0.168149992824,2.10199999809,-0.0862250030041,1.12246465683,2.69629788399
868,0.277000010014,0.239450007677,1.19574999809,-2.11069154739,-0.874658882618
1677,1.61574995518,0.0892499983311,0.154275000095,0.741105437279,-0.171605199575
7043,-0.00865000486374,0.44059997797,0.0583750009537,0.0994369983673,-0.446493536234
5613,-0.141200006008,0.24224999547,-0.232750013471,1.26400136948,-0.179230302572
595,0.476450026035,0.411100000143,0.320200026035,-1.47045516968,2.48018479347
4793,-0.386250019073,1.54089999199,0.507875025272,0.535592317581,1.19900596142
2736,-0.296800017357,1.72690010071,-1.07047498226,1.63897120953,0.0711568295956
5290,-0.203349992633,-0.5054500103,-2.92135000229,1.01933598518,-0.229225054383
6194,-1.52924990654,1.16659998894,0.000675000017509,-2.50802922249,0.749580979347
1676,-0.208849966526,-0.726600050926,-0.185499995947,0.522736728191,-0.5580701828
