rid,DOS008_VCAP_24H:BRD-K98626176-001-01-6:4.98,DOS037_A549_24H:BRD-K98626176-001-01-6:4.98,DOSBIO001_A375_24H:BRD-K98626176:9.95305,DOSBIO001_A549_24H:BRD-K98626176:9.95305,DOSBIO001_HT29_24H:BRD-K98626176:9.95305,DOSBIO001_MCF7_24H:BRD-K98626176:9.95305,DOSBIO001_PC3_24H:BRD-K98626176:9.95305,DOSBIO001_NEU_24H:BRD-K98626176:9.95305,DOSBIO001_NPC_24H:BRD-K98626176:9.95305
5720,-0.300593495369,-3.5678498745,1.12197971344,0.311979562044,-0.160893455148,-3.39731740952,0.912246584892,0.370549976826,-0.592748761177
466,-0.108386322856,3.08395004272,0.148391738534,-0.571717739105,-0.772962152958,-2.31270289421,0.167793393135,0.462200015783,-0.112466096878
6009,1.45701563358,0.419750213623,1.22687506676,0.721244215965,1.16828668118,-2.81961297989,0.86148416996,-0.147049993277,-0.316035300493
2309,-0.254736065865,8.00564956665,1.14888930321,0.324729859829,-0.907162308693,-2.65606832504,-0.43575963378,-1.91499996185,-0.329509496689
387,-0.524302303791,4.45905017853,-0.620762467384,-0.967278599739,-0.201382443309,-1.32563829422,0.775865972042,0.695899963379,0.716314911842
3553,0.362302660942,4.99825000763,-0.867633640766,-0.0447682328522,0.0637664794922,3.90432620049,-0.662126064301,0.601949989796,-0.292074561119
427,0.644358754158,4.78090000153,0.421229481697,-0.281360328197,-0.500139832497,4.8158416748,-0.961501836777,0.604350030422,0.493559420109
5898,0.90990960598,0.15964999795,-0.125669032335,0.410979896784,0.664810359478,1.32473015785,0.0699334740639,-1.25020003319,-0.294668853283
23365,0.468357384205,10.0,-0.468046605587,-1.03340220451,-0.255827516317,-1.84213662148,-0.355535119772,0.203750014305,-0.958354771137
6657,0.676321268082,1.80930006504,1.0734667778,-0.156847685575,0.955559372902,5.5607585907,0.330168545246,-0.421100020409,0.2960524261
5054,-0.193266361952,6.44690036774,1.36276435852,0.107497185469,0.0691883713007,1.09080505371,-1.02481329441,-0.718150019646,-0.974065184593
3108,-0.732520699501,10.0,0.522032141685,0.145583972335,0.0318399369717,-0.66179651022,-0.632484853268,0.345400005579,-0.0800561830401
1950,-0.497825503349,9.69159984589,0.148730516434,0.353467911482,0.382009297609,4.32342100143,0.00668898224831,-1.18634998798,-0.427856743336
351,0.334835648537,-3.99874997139,0.100010626018,0.476138323545,-0.0324869118631,0.983564674854,0.407194584608,-0.294750005007,-0.0795547142625
