rid,DOS030_VCAP_6H:BRD-K64272762-001-01-9:5,DOS030_VCAP_24H:BRD-K64272762-001-01-9:5,DOS034_A375_24H:BRD-K64272762-001-01-9:5,DOS034_A549_24H:BRD-K64272762-001-01-9:5,DOS034_HT29_24H:BRD-K64272762-001-01-9:5,DOS034_MCF7_24H:BRD-K64272762-001-01-9:5,DOS034_PC3_24H:BRD-K64272762-001-01-9:5,DOSBIO001_A375_24H:BRD-K64272762:10.005,DOSBIO001_A549_24H:BRD-K64272762:10.005,DOSBIO001_HT29_24H:BRD-K64272762:10.005,DOSBIO001_MCF7_24H:BRD-K64272762:10.005,DOSBIO001_PC3_24H:BRD-K64272762:10.005,DOSBIO001_NEU_24H:BRD-K64272762:10.005,DOSBIO001_NPC_24H:BRD-K64272762:10.005
5720,0.853614032269,-0.32440161705,0.134693995118,-0.338907361031,-0.15680000186,-0.0823075398803,0.00291129946709,0.214697033167,0.300474792719,0.341173946857,0.735867500305,0.172795295715,-0.433449983597,0.323758900166
466,1.32007324696,0.985278725624,-1.33298110962,0.655421257019,0.423200011253,-0.937460660934,0.28521874547,0.690261662006,0.167292103171,-1.17104625702,1.34997403622,1.28219199181,-0.457799971104,0.348139077425
6009,1.81827116013,0.66139125824,0.23206359148,-1.19304168224,1.164249897,-1.27367782593,0.492873638868,-0.25959071517,-0.907292962074,1.57534611225,0.800738692284,0.807959496975,-0.0273000001907,-0.55654001236
2309,-1.21360325813,-0.439320087433,0.0635507404804,-0.279529184103,-0.707300007343,-3.20109534264,0.342156350613,0.812917292118,-0.275135695934,-0.0238627791405,-0.132277354598,0.46488520503,0.744249999523,-0.356499791145
387,0.197078719735,0.689381837845,-0.801885664463,-0.623479545116,0.673399984837,-0.381982475519,-0.295643687248,-0.199555546045,-0.58233332634,0.206929564476,0.830266654491,0.135803356767,-0.33939999342,0.0333731472492
3553,0.639451861382,-0.303834974766,0.619630098343,1.3411039114,-0.298350006342,1.2841603756,2.28875231743,-1.40891909599,0.0102155804634,-0.0299218595028,-1.1563975811,-0.770452737808,0.355450004339,0.163171932101
427,0.506246685982,-0.0411553643644,-0.459265261889,0.219022035599,-0.47674998641,0.296207040548,0.0615079030395,3.45630264282,0.980240702629,-0.269204854965,-0.0677471458912,0.235320240259,-0.548249959946,-0.179126262665
5898,0.896912992001,0.0148558616638,7.57277011871e-05,0.509324669838,-0.335099995136,-0.529110193253,-0.215487152338,-0.0643477961421,-4.0044465065,-0.366319775581,0.430019021034,0.722137093544,0.062449991703,0.391786813736
23365,-0.439473897219,-0.0825723111629,0.0670181959867,-0.385531723499,2.00859999657,-0.844094574451,-0.490892857313,-0.38497197628,-0.346924126148,-0.508264541626,-0.575240731239,0.142557889223,-0.331449985504,-0.76127743721
6657,0.632887005806,0.167952880263,0.88187533617,0.354970872402,0.103849977255,2.307097435,0.199943587184,-0.00928391888738,0.0447531566024,-1.34941411018,-1.25317776203,-0.962616443634,-0.0986000001431,-0.612968325615
5054,0.524358808994,0.314225256443,-0.961838364601,0.583989679813,0.754750013351,-2.4958217144,0.594557523727,-0.307075679302,-0.262535184622,-0.685109138489,-0.534825265408,0.587715566158,-0.0627000033855,-1.30751526356
3108,-0.072967633605,-0.684640228748,-0.326680094004,0.0594591796398,0.729099988937,1.10444521904,1.35389876366,-0.0905640795827,-0.104635119438,-1.41404235363,-0.0178890377283,0.452338606119,0.289449989796,0.533943712711
1950,-0.189305171371,-0.64365452528,1.64609575272,1.28066599369,-0.461449980736,0.974913835526,-0.122383341193,-0.459992796183,1.32750892639,-0.414663732052,0.335419923067,-0.574731945992,-0.309549987316,0.930766701698
351,0.467906028032,0.0277454853058,1.17183542252,2.53642463684,-0.10395000875,1.28565108776,-1.46080994606,0.0404523909092,0.662349164486,0.120761334896,-1.76803433895,-0.486330151558,-0.548699975014,-0.0288513898849
4846,0.532304823399,-0.483647525311,1.15350079536,-0.942818760872,-0.193499982357,0.250612825155,0.434398144484,-1.12640440464,0.637821137905,0.243285760283,-0.661241650581,1.643029809,-0.107799991965,-0.347052395344
1452,0.755769848824,0.389594078064,0.250819921494,-1.4643355608,-1.09590005875,-1.3217291832,-0.262924879789,-0.847404837608,0.166997313499,-0.359998941422,1.00063920021,0.805098056793,0.367350012064,-0.490499317646
4776,0.589780509472,-0.333088815212,1.06944394112,2.20416593552,-0.332000017166,3.36288619041,-0.0201250314713,-0.806670427322,1.60388088226,-0.545880913734,-0.737968206406,-0.736378312111,-0.859200000763,-1.22439801693
6908,0.0897109806538,0.288479328156,-0.662754654884,-0.721356987953,-0.333900004625,-0.0424426198006,0.345708250999,0.568752229214,0.571190595627,0.817769229412,1.03322470188,1.35123944283,0.083599999547,0.370800286531
672,-0.20841217041,1.01458323002,-0.540254950523,0.442898213863,-1.20140004158,-0.609536230564,0.145468950272,1.4293448925,0.0532118752599,0.36607709527,0.982474923134,-0.330223083496,4.59460020065,0.665385842323
5710,1.40525877476,0.307150542736,-0.518257796764,0.0546484291553,-0.0650999844074,-1.07907557487,-0.318504452705,0.0912031754851,-0.656002342701,-0.268632531166,0.921023368835,1.32975304127,0.452950000763,-0.427750706673
2115,0.4875895679,-0.665893733501,0.0486797392368,0.196423202753,-0.172199994326,1.63183903694,0.143054053187,0.248046368361,-0.332501113415,0.661845266819,-0.113192588091,-0.111243531108,-0.769400000572,-0.58132225275
7015,0.464051246643,0.966120243073,2.56767511368,1.71121323109,-0.551600039005,2.23110294342,0.556020498276,-0.427950501442,0.293505728245,-0.530228734016,-0.655187189579,-0.954265117645,-0.0420999974012,0.36990493536
8726,-0.567844092846,-1.51874792576,-1.36835098267,-0.0999096482992,0.724000036716,-1.36427116394,0.035871013999,0.37518787384,0.0419450774789,0.548902213573,1.50471782684,0.305736839771,-0.0161999985576,0.237210869789
