rid,DOS001_VCAP_6H:BRD-K45835269-001-01-5:5,DOS001_VCAP_24H:BRD-K45835269-001-01-5:5,DOS031_MCF7_24H:BRD-K45835269-001-01-5:5,DOS031_PC3_24H:BRD-K45835269-001-01-5:5
5720,-0.599088430405,-1.89235770702,-1.11804997921,0.562949955463
466,0.501733243465,-0.262059390545,-1.90590000153,0.80814999342
6009,0.237066924572,-0.675638198853,-0.789499998093,-0.800849974155
2309,-0.440980017185,-0.0749952048063,-2.1686501503,0.0727500319481
387,-1.62740516663,-0.878558635712,-0.741250038147,-0.162900000811
3553,0.981845200062,0.657993018627,0.806549966335,1.59279990196
427,0.460639357567,-1.57377457619,-0.432949990034,0.411750018597
5898,-1.26146686077,0.289677739143,-0.253899991512,0.731099963188
23365,-0.743196189404,0.565233111382,-0.931400001049,-0.144700005651
6657,1.75504624844,0.965660452843,0.953199982643,1.35220003128
5054,0.13225030899,1.43728041649,0.75830000639,0.0487000346184
3108,-1.00929415226,-0.655499279499,0.340499997139,-0.3274500072
1950,0.767241597176,-1.11725127697,1.42865002155,-0.191050007939
351,0.445295393467,-0.0868782699108,0.704299986362,0.684149980545
4846,1.514585495,-0.743174672127,-1.17689990997,0.231599986553
1452,-0.184029072523,-0.145611405373,-2.11035013199,0.0980000197887
4776,1.23970592022,-0.127233237028,1.36384999752,0.87935000658
6908,0.313208848238,-1.69717466831,-1.4498000145,0.349099993706
672,0.337351620197,-0.457691431046,-1.02104997635,0.792699992657
5710,0.135912001133,-0.212409362197,0.41345000267,0.0797000080347
2115,0.122350871563,0.445798009634,0.421599984169,0.134150013328
7015,1.10324716568,0.564105033875,0.690050065517,1.38154995441
8726,-0.395189076662,0.21821397543,-2.44814991951,0.348050028086
2185,-0.627260267735,-0.307765901089,0.498549997807,1.56044995785
3315,-0.365424960852,-0.403298139572,-1.06850004196,-1.34584999084
5289,0.38196927309,0.178260982037,0.783749997616,0.500699996948
868,0.516821742058,-0.284483641386,1.00699996948,0.95064997673
1677,1.0018928051,0.811705172062,0.299800038338,0.25444996357
7043,1.15350532532,1.51965820789,1.25995004177,0.872550010681
5613,0.316237747669,-0.0194231830537,0.920399963856,0.508800029755
595,-0.393121600151,0.569106400013,-0.455249965191,-0.475450009108
4793,-0.826917648315,1.38269424438,-0.885599970818,0.488499999046
2736,1.15463650227,0.912523984909,0.64929997921,0.980450034142
5290,0.413171261549,0.341201245785,0.652800023556,1.14619994164
6194,0.0,0.0,0.0,0.0399999916553
1676,1.46473169327,1.04451799393,0.65885001421,0.379550009966
23512,-3.125415802,-2.91140317917,-1.0041000843,-0.516099989414
148022,0.709918737411,0.873502671719,0.659650027752,-0.620800018311
1906,1.76138961315,0.181891962886,0.957300007343,0.855849981308
8878,-2.01456904411,-1.34716212749,-0.0311500001699,-0.210349991918
3091,0.804636120796,0.312913060188,0.623000025749,0.472550004721
5743,1.32281315327,-0.392259001732,0.36464998126,0.108249992132
5321,0.414861321449,0.119711302221,-0.676599979401,-1.38389992714
4144,0.825662016869,-2.20370101929,-2.19339990616,0.637500047684
1981,-0.265509307384,0.346149623394,-2.15140008926,-0.230399996042
