rid,ERG011_VCAP_6H:BRD-K23802982-001-01-7:10.042,ERG011_VCAP_24H:BRD-K23802982-001-01-7:10.042,ERG016_VCAP_24H:BRD-K23802982:10.63,ERG016_VCAP_24H:BRD-K23802982:3.54,ERG016_VCAP_24H:BRD-K23802982:1.18,ERG016_VCAP_24H:BRD-K23802982:0.39
5720,-0.115500003099,-0.154370605946,0.550411641598,0.430347412825,1.49210834503,0.702630579472
466,-0.00685000419617,-1.35177123547,0.249717324972,0.433600962162,0.673470318317,0.143991813064
6009,-0.442499995232,0.285337328911,-0.488538980484,-0.475535303354,0.494713902473,-0.699088156223
2309,-0.0217500030994,0.832947134972,0.272302925587,-0.945362329483,-0.115462869406,-0.673910498619
387,0.0568500012159,0.242473855615,0.117777712643,0.707307994366,0.392855614424,0.682911992073
3553,-0.173299998045,0.311426520348,0.761561512947,0.291090071201,-0.667646110058,0.0352028086782
427,0.231749981642,-0.439459562302,0.357211053371,0.231173455715,0.390561819077,0.0933875143528
5898,-0.58930003643,-0.244943588972,1.37741208076,0.408520787954,-0.254638552666,-0.604945242405
23365,0.206749990582,-0.629021644592,0.746782958508,-0.725855469704,-0.307505249977,0.730945110321
6657,0.657249987125,0.556090772152,0.329173326492,-0.785403728485,-0.946105957031,-0.158744141459
5054,-0.127899989486,0.731205999851,-1.18826568127,1.06209158897,-0.549956679344,0.715499520302
3108,0.378349989653,0.353721797466,0.542230129242,1.62860190868,-0.362935423851,0.486841589212
1950,0.223700001836,0.660222291946,0.100164249539,-1.05603444576,-0.11042432487,-0.533388316631
351,0.63639998436,-0.73816293478,0.250445842743,0.110917031765,0.0643755495548,-0.0479052066803
4846,-0.396099984646,2.95799303055,-1.0772203207,-0.568405032158,0.0676325708628,-0.420112580061
1452,0.938950002193,0.893833637238,0.244159951806,-0.106853291392,-0.53114593029,-0.538664102554
4776,-0.0608000010252,0.0956658124924,-0.049329996109,-1.23208546638,-1.44862639904,0.36346462369
6908,0.0939500033855,-0.418035924435,-0.264099180698,0.521397471428,0.849847018719,0.102302163839
672,-0.223600000143,-0.559929966927,-0.266990482807,0.879263281822,1.26390886307,0.416958719492
5710,-0.0686499997973,0.124643437564,-0.734730362892,0.0454758256674,0.0564607083797,-0.322985589504
2115,0.356150001287,-0.758557200432,-1.30531716347,-0.213183820248,-0.682162761688,-0.401028335094
7015,0.487150013447,0.834603965282,-1.47136735916,-1.66104745865,-1.22948634624,-0.836195111275
8726,0.0215499997139,-0.363796204329,0.357316851616,1.21546244621,1.60471773148,1.32416844368
2185,-0.246800005436,0.0166541337967,-0.342122972012,-0.790857613087,-1.75460481644,-0.469967067242
3315,1.13390004635,0.508239984512,-0.946954727173,-0.705577790737,-0.0131171420217,0.500192046165
5289,-0.829249978065,-0.768936157227,-0.414572656155,-1.45532357693,-1.65359044075,-1.15297579765
868,-0.823549985886,1.5869114399,-0.381111890078,-0.653340160847,-1.15118324757,-0.848010241985
1677,0.375900000334,-0.069901175797,-0.509056806564,-1.40511417389,-1.18819510937,-1.00876879692
7043,0.762950003147,1.54273176193,0.831789970398,0.471892654896,-0.862272381783,0.393643349409
5613,0.253849983215,3.26649355888,0.438821196556,-0.106513105333,-0.79383790493,-0.253105312586
595,0.806500017643,-0.232151001692,0.403683483601,2.2040450573,0.440725654364,0.229635417461
