rid,DOS030_VCAP_6H:BRD-K89185880-001-01-1:5.05,DOS030_VCAP_24H:BRD-K89185880-001-01-1:5.05,DOS034_A375_24H:BRD-K89185880-001-01-1:5.05,DOS034_A549_24H:BRD-K89185880-001-01-1:5.05,DOS034_HT29_24H:BRD-K89185880-001-01-1:5.05,DOS034_MCF7_24H:BRD-K89185880-001-01-1:5.05,DOS034_PC3_24H:BRD-K89185880-001-01-1:5.05,ERG014_PC3_24H:BRD-K89185880-001-01-1:10.0974,ERG014_PC3_6H:BRD-K89185880-001-01-1:10.0974,ERG014_VCAP_24H:BRD-K89185880-001-01-1:10.0974,ERG014_VCAP_6H:BRD-K89185880-001-01-1:10.0974
5720,1.03517580032,-2.59069728851,0.271950006485,0.406925171614,0.152300000191,-1.36981606483,0.140799999237,0.407971948385,-0.973049998283,0.655540823936,0.386461913586
466,0.609212696552,0.593052506447,0.787050008774,0.50051933527,-0.510200023651,-0.474180221558,0.0379333198071,0.480646699667,-0.262700021267,-0.0103329718113,0.487664550543
6009,-0.680442452431,-0.52075535059,0.395049989223,0.835246086121,-1.08649992943,0.105795964599,-0.113433361053,-0.331273257732,0.647300004959,0.143677279353,0.332533597946
2309,0.298201858997,-0.933561325073,0.616150021553,0.924590349197,0.912299990654,0.313149750233,-0.185166671872,-0.728741586208,0.0567999966443,0.107107535005,-0.113484986126
387,0.641920208931,0.00611088424921,-0.0322500020266,0.323161840439,0.156999975443,-0.216000333428,-0.388166666031,0.150797843933,-1.07079994678,0.338070124388,0.35189846158
3553,-1.07867407799,-1.31471717358,-0.584500014782,-0.393553853035,-1.03425002098,0.482466638088,0.0176666602492,-0.934495449066,-0.11875000596,-1.33390891552,-0.557636320591
427,-0.321634292603,0.593976140022,0.946350038052,0.749501407146,-0.236050009727,0.212742805481,0.05583332479,0.876591563225,-0.169999986887,0.462533116341,0.338317155838
5898,0.908668518066,0.205012455583,0.239250019193,-0.462898015976,0.356849998236,-1.40837168694,-0.00233333557844,0.563058793545,-1.63960003853,0.0485175848007,0.395254641771
23365,-0.798942089081,-0.426023364067,-0.732749938965,0.00135165452957,-0.811749994755,7.76363754272,-0.352366656065,-0.0634278953075,-1.0625,-0.210306286812,0.234203591943
6657,-0.673546373844,-0.34287250042,-0.618499994278,-0.230955123901,-1.03565001488,0.584371984005,-0.145133346319,-0.575408220291,-0.000400006771088,-0.933186590672,-0.56390696764
5054,0.266419887543,-0.0184008851647,0.565400004387,-0.281379371881,0.291150003672,0.151087909937,0.427700012922,-0.350645720959,-0.763249993324,-1.12351679802,-0.189997509122
3108,0.732598602772,0.714205801487,0.280599981546,0.513843536377,0.00270000100136,-1.14898312092,-0.286933332682,-0.886311352253,-0.408699989319,0.973711490631,-0.354443192482
1950,-0.194838136435,1.00726079941,0.263049989939,0.410036146641,0.649950027466,-0.208882316947,0.507099986076,-0.117735289037,1.02240002155,-0.203274339437,0.268314421177
351,0.134521707892,-0.0190040543675,0.520449995995,-0.836211740971,-0.111400000751,0.125278607011,0.104099988937,0.170531854033,1.08345007896,0.406978160143,0.335499942303
4846,-0.00177876651287,-0.34540900588,-0.533550024033,0.929409742355,-0.379649996758,-0.615195333958,0.593233346939,0.188054949045,0.756600022316,0.157333880663,0.0549017041922
1452,0.600036382675,0.205342441797,-0.0305500030518,1.13331079483,0.672749996185,-0.642794907093,-0.413500010967,-0.855710744858,-0.133900001645,-0.294770658016,1.12229287624
4776,-0.745839059353,-0.0884285718203,-0.460299998522,-0.41018345952,-0.78694999218,1.36302733421,-0.13330000639,-0.454758226871,4.03070020676,-1.03908777237,-0.519984662533
6908,1.19196844101,0.204846084118,1.46504998207,1.99222743511,0.662299990654,-0.703821897507,0.137166708708,0.526158452034,-0.778599977493,0.954875469208,0.266538202763
672,0.487884104252,0.435166597366,0.263650000095,0.173138707876,1.07550001144,-0.486665815115,0.0113333463669,0.694056630135,-0.142899990082,0.433031380177,0.252016752958
5710,-0.388123840094,-0.243578225374,-0.00635001063347,-1.49426436424,0.031800031662,0.77235853672,-0.0402000248432,0.434162795544,-0.0984000116587,-0.0116029642522,0.516719818115
2115,-0.153129413724,-1.07699418068,1.6698499918,0.886724829674,-0.299799978733,-1.12318205833,0.140400022268,0.176054060459,-0.7867000103,0.150617688894,-0.254677861929
7015,0.258687764406,-0.121761478484,-0.849600017071,-0.371794402599,-0.316500008106,0.284530729055,-0.0594333410263,-0.056900292635,0.510500013828,-1.18502390385,-0.455896258354
8726,0.775426626205,0.889513552189,-0.0585999935865,-0.32869964838,0.125249996781,-0.847890138626,-0.538999974728,0.236751541495,-0.503949999809,0.71302318573,-0.207272171974
2185,-0.946915388107,-0.185307532549,-0.0681000053883,-0.642062008381,-1.06859993935,0.355067819357,-0.213933333755,-0.65095102787,-0.0909499973059,-1.10928940773,-0.732492744923
3315,0.677680552006,-0.489057928324,-0.193500041962,-0.384436666965,0.242900013924,-0.433292269707,0.0477999895811,-0.159835323691,-0.887300014496,0.818960368633,-0.391608089209
5289,0.124896131456,-1.07055675983,0.839950025082,-1.11269569397,0.224199995399,-0.87442356348,0.375133395195,-0.685658097267,-0.236100003123,-0.621575951576,-0.47864946723
868,0.234109282494,0.129609465599,1.41940009594,0.846440732479,-1.23574995995,-0.716199457645,-0.654466688633,-0.897836089134,-0.29050001502,-0.206768855453,-0.161225423217
1677,-1.07923853397,0.0838104039431,-0.371250003576,-0.0636274516582,0.0928000062704,0.731498122215,-0.033866673708,0.281244337559,0.813249945641,-0.449807167053,-0.452520251274
7043,-1.29786789417,-0.341684997082,-1.22530007362,-0.945502877235,-1.94534993172,-0.375986605883,0.0980000048876,0.340597301722,-0.561850011349,-0.599887549877,-0.208079919219
5613,-0.270478308201,1.08128380775,-0.201099991798,-0.733440220356,-0.914399981499,-0.457040250301,0.258966624737,0.174540162086,0.650950014591,-0.526582717896,-0.131566330791
595,0.286927998066,-1.30871224403,-0.109100013971,-0.148710101843,3.29479980469,-0.710513293743,0.00620000064373,0.550838112831,-0.53955000639,-0.259091258049,0.372075289488
4793,0.0832534059882,0.0224185809493,-0.867150008678,0.502626717091,0.0175999999046,-0.321397513151,-0.136233299971,-0.0194498002529,0.929200053215,0.839615166187,-0.775691866875
2736,-0.648533582687,-0.680005311966,-0.339749991894,1.20347380638,-1.4115499258,-0.275263190269,0.186200022697,-0.547983646393,-0.145700007677,0.432027190924,-0.660884857178
5290,0.058281712234,0.855890989304,0.76935005188,-0.647075235844,-0.548749983311,0.803707718849,-0.0771333426237,-0.946688294411,-0.225650012493,-0.439006507397,-1.13560533524
