rid,DOS050_HT29_24H:BRD-K04696500-001-01-9:5,DOS050_MCF7_24H:BRD-K04696500-001-01-9:5,DOS050_PC3_24H:BRD-K04696500-001-01-9:5
5720,-0.570408165455,-1.07085001469,0.827899992466
466,-0.129737555981,-1.38464999199,0.10514998436
6009,-1.39882707596,-0.869000017643,-0.0971499979496
2309,0.222035825253,-2.44889998436,0.488599985838
387,0.0958521366119,-0.429300010204,0.347800016403
3553,-0.048910677433,0.565699994564,-0.350400000811
427,-0.0880294963717,0.00815001130104,-0.165600001812
5898,-0.147850424051,-0.493099987507,-0.18314999342
23365,0.147297352552,0.338599979877,0.0667500048876
6657,1.39839780331,0.680949985981,-0.323350012302
5054,-0.0680848360062,0.354649990797,-0.0300999879837
3108,-0.951946854591,-0.818949997425,1.21165001392
1950,0.473704397678,1.69374990463,-0.810699999332
351,-0.686597526073,-0.69010001421,-0.801800012589
4846,-0.129055380821,0.684000015259,-0.75729995966
1452,0.382486611605,-0.454399973154,-0.318549990654
4776,0.34958589077,-0.07230001688,-0.226849988103
6908,-1.11395537853,-0.32484999299,0.0466500036418
672,-0.770125091076,0.576900005341,-0.294750034809
5710,-0.454892933369,-0.475749969482,-0.521999955177
2115,1.03498327732,-0.625200033188,1.86925005913
7015,0.223149687052,-0.378150045872,0.348949998617
8726,-0.864559471607,0.263800024986,-1.01874995232
2185,1.29978883266,-0.0902000069618,0.297449976206
3315,-0.971667587757,-2.67875003815,0.850899994373
5289,1.2117228508,-0.0435500070453,-1.57815003395
868,-0.33919480443,-0.544900000095,0.267849981785
1677,0.67023319006,0.149899959564,-0.955849945545
7043,0.234189391136,0.0498000010848,0.927299976349
5613,0.644930243492,0.33370000124,1.21130001545
595,-1.16316449642,-1.01470005512,-0.337300002575
4793,-0.909294068813,-0.262950003147,-1.34130001068
2736,0.622359037399,-0.525949954987,1.30855000019
5290,0.795115709305,0.0993500351906,0.117750003934
6194,-0.000434361427324,-1.89499998093,0.0
1676,0.710161447525,0.943850040436,0.356900006533
23512,-0.137672066689,1.33480000496,0.89880001545
148022,-0.0335272699594,0.118849992752,0.390599966049
1906,-1.14463675022,0.368950009346,0.649699985981
8878,-1.90647387505,0.0418500006199,0.649200022221
3091,-0.177897006273,0.23710000515,-0.263399988413
5743,-0.456373393536,0.452199995518,-1.44595003128
5321,-1.38987863064,-3.23379993439,-1.30079996586
4144,-1.74538064003,-0.436599999666,0.174449980259
1981,0.948464930058,0.0508000105619,-1.27030003071
695,2.0792593956,-0.393999993801,-0.611400008202
10398,0.31551939249,0.820749998093,-0.370200008154
5708,-1.13281154633,-0.0310000032187,-0.825500011444
1213,-0.818282842636,-1.14484989643,0.332199990749
226,0.434858262539,-0.363399982452,1.07044994831
6777,-0.0681968033314,0.721350073814,1.82630002499
2113,-0.597340464592,-0.0829000174999,-0.162550002337
3329,-0.94310438633,0.335949987173,-0.69779998064
1050,-0.688044130802,-0.40674996376,-0.0208500027657
9491,0.776918768883,-1.09714996815,0.243149995804
22926,0.741678774357,-1.21385002136,0.216049998999
5899,-0.164695471525,-0.0185000300407,0.877550005913
5467,-0.0441374033689,1.26400005817,0.398300021887
6774,0.133507460356,1.2797999382,-2.36400008202
1788,0.814961254597,0.431450009346,-1.45889997482
5921,-0.747993886471,1.18015003204,-0.558300018311
5721,-1.10544204712,-0.420649975538,0.120449990034
2263,0.731031656265,-0.328200042248,0.509550035
808,1.44784331322,0.470850020647,-0.387749999762
30001,-0.912875413895,-0.243000000715,-0.163300007582
348,-0.2312207371,-0.709800004959,-0.986999988556
30849,0.270429909229,-0.465899974108,0.303200006485
1454,-1.23792755604,-0.376000016928,-2.53770017624
6500,-0.103130221367,-0.432249963284,0.990299999714
5627,-1.6145478487,-0.0644500032067,-0.177850008011
5715,0.943923950195,-0.844900012016,-2.5217499733
4791,0.133728712797,-0.376149982214,-0.71590000391
56924,-1.10417521,-0.424250006676,0.354550004005
2690,-1.49371516705,-0.985450029373,-0.162000030279
1019,0.400081157684,-0.555699944496,-0.850100040436
51422,-0.153686434031,0.474349975586,-1.0148999691
5788,-1.19422066212,0.467999994755,-0.0321999788284
6709,-0.325689911842,-0.724550008774,-0.0963499844074
1277,-0.692921519279,-0.308249980211,0.641200006008
993,0.0965880155563,0.482600003481,0.319750010967
7157,0.168212994933,0.822600007057,-0.448700010777
1958,0.15826767683,-0.891900062561,-1.50865006447
4582,0.0314898006618,0.564100027084,-0.391900002956
9212,1.19719099998,-0.204549998045,1.54400002956
8440,0.726592242718,-0.92560005188,0.34944999218
6790,-0.212803274393,-0.0596999973059,-0.927899956703
8851,0.158905491233,1.1711499691,-1.34019994736
2534,0.0386868417263,-0.517199993134,0.416100025177
4893,0.729836046696,0.223350018263,-0.919499993324
665,-0.38107162714,0.341099977493,-0.45324999094
4313,1.03970336914,0.498800009489,1.20969998837
1022,-0.666321456432,0.0787500143051,0.557749986649
5880,-0.118387162685,-1.1929500103,-0.40474998951
3162,-0.315033465624,0.0422999858856,3.29675006866
1282,0.598410069942,0.270050019026,-0.160449981689
3383,0.564715325832,0.25980001688,-0.662500023842
727,0.723461151123,0.375800013542,-0.543950021267
4792,0.664286136627,-0.410300016403,-0.196250006557
4794,0.915400981903,0.503849983215,1.54464995861
902,-0.215162619948,0.503949999809,-0.136499986053
8091,-0.714079141617,-0.0394999980927,-3.0119998455
3486,0.140027195215,0.193550005555,-1.78199994564
10818,0.082219928503,0.162400007248,0.832750022411
3454,0.446790069342,0.221749991179,0.682549953461
4282,-0.0751460343599,-2.733700037,0.0
1605,-0.277183175087,-0.159400001168,-0.396749973297
10644,-0.686519443989,-0.331200003624,0.608899950981
2065,0.315961718559,0.207700014114,-0.0635000020266
8321,0.226176157594,0.276549994946,-0.443250000477
8503,0.549133062363,-0.36779999733,-0.753750026226
7027,-0.0739005208015,0.79390001297,-0.422299981117
6850,-1.4557300806,0.778450012207,-0.520500004292
1978,-0.251447796822,-1.11895000935,-0.783749997616
896,-0.837697148323,-0.419499993324,1.21600008011
5777,-0.60093832016,-0.436800003052,1.36510002613
1846,0.574352562428,-0.265400022268,0.303649991751
5925,0.15311896801,-0.16740000248,-1.44565010071
142,-0.359380245209,-0.199650004506,0.673449993134
1021,-0.263912498951,-0.212900012732,-4.05429983139
5699,-0.0994258821011,-0.424800038338,-0.423300027847
8061,-0.641578257084,-0.557100057602,0.0590999722481
1870,0.734354376793,-0.395000010729,0.376999974251
1398,-5.17189502716,-3.06220006943,-7.0311999321
3312,-1.03910934925,-0.120250016451,-0.657200038433
891,0.242734789848,0.271050006151,-0.545750021935
4775,0.582353830338,-0.21075001359,0.485399991274
5111,0.135440647602,-1.04070007801,0.069000005722
5696,0.137147665024,-1.11925005913,0.497799992561
5588,-0.0913832932711,0.204550027847,-0.382399976254
6839,0.456095457077,0.575749993324,1.02974998951
329,0.232504978776,1.07109999657,-1.59465003014
5058,0.158279329538,-0.585749983788,-0.196750000119
