rid,ERG011_VCAP_6H:BRD-K99839793-001-01-7:10,ERG011_VCAP_24H:BRD-K99839793-001-01-7:10
5720,0.532999992371,1.16648471355
466,-0.378200024366,-2.25205731392
6009,-0.54439997673,0.661045968533
2309,-0.0519500039518,0.0277988985181
387,0.00544999912381,0.273860126734
3553,0.150350004435,-0.202214956284
427,-0.625549972057,-0.582142591476
5898,-0.181450009346,-0.845039963722
23365,0.126800000668,-0.771725773811
6657,0.0245500057936,0.00266480445862
5054,-0.147300004959,0.499653786421
3108,-0.671400010586,4.11597013474
1950,0.769799947739,0.802261829376
351,-0.432550013065,-1.99100399017
4846,-0.431749999523,2.5117559433
1452,-0.0676499977708,-0.15684440732
4776,-0.0365999937057,0.0383871831
6908,-0.186250001192,0.312310278416
672,0.444500029087,0.831045627594
5710,0.239499986172,0.525088250637
2115,0.170800000429,0.119279436767
7015,-0.596099972725,0.443026453257
8726,-0.234449997544,-0.646833658218
2185,0.055999994278,-0.797927796841
3315,0.526549994946,0.618525147438
5289,-0.137250006199,0.154194906354
868,0.200549989939,-0.38071924448
1677,-0.344850003719,-0.0206098686904
7043,0.315149992704,-0.206803321838
5613,0.0752999931574,-0.368304789066
595,0.008499994874,0.263584733009
4793,0.515600025654,1.01463985443
2736,-0.559000015259,0.368627130985
5290,-0.10379999876,-0.166527360678
6194,0.0,0.000287499686237
1676,0.260900020599,0.0903042256832
23512,0.150099992752,-0.14128190279
148022,0.105249993503,0.117926202714
1906,-0.0664000064135,0.293171077967
8878,0.492299973965,0.0375347435474
3091,-0.277500003576,-1.02569663525
5743,-0.0915499925613,-0.158992275596
5321,0.191149994731,0.0262759551406
4144,-0.060799986124,0.867695450783
1981,0.361800014973,0.53282982111
695,0.435100018978,1.05611896515
10398,0.220999985933,0.312480121851
5708,-0.616750001907,0.796657979488
1213,0.0993499979377,-0.609685480595
226,0.303350001574,0.829358756542
6777,0.250050008297,-0.199132964015
2113,-0.178450003266,0.536348521709
3329,0.211349993944,0.903205394745
1050,0.0152499973774,0.0497760400176
9491,0.0391499996185,0.628186941147
22926,-0.323850005865,-0.057519339025
5899,-0.28464999795,0.652182579041
5467,0.00475000031292,-0.210918530822
6774,-0.154950007796,-1.01311576366
1788,0.115800023079,0.0901277065277
5921,0.583899974823,-0.219794481993
5721,0.491499990225,1.03951632977
2263,0.146249994636,0.16606721282
808,0.252899974585,0.623449444771
30001,-0.151549994946,-0.102166704834
348,-0.6820499897,0.66951328516
30849,0.19335000217,0.28720331192
1454,1.27974998951,0.0705436840653
6500,0.203899994493,-0.00432705134153
5627,-0.261950016022,0.812815070152
5715,0.500849962234,0.363309919834
4791,-0.365649998188,0.93019169569
56924,-0.0492499992251,-0.292772620916
2690,-0.485599994659,-0.912670850754
1019,-0.135149985552,-0.80535364151
51422,1.03699994087,0.945984780788
5788,0.228450000286,0.209656476974
6709,0.474950015545,-0.810307919979
1277,-0.574200034142,0.381328493357
993,0.255750000477,0.798947274685
7157,-0.856199979782,0.705327808857
1958,-0.314599990845,0.0901791155338
4582,-0.926600039005,5.12660598755
9212,-0.354249984026,-0.348507702351
8440,-0.911599993706,-0.0723519250751
6790,-0.392700016499,0.175965219736
8851,-0.2363999933,1.09644424915
2534,0.604300022125,-0.917485654354
4893,0.0799000263214,0.167373538017
665,-0.461100012064,-0.059222586453
4313,0.0208500027657,0.265557587147
1022,-0.435050010681,-0.925751566887
5880,-0.493649989367,-1.29305040836
3162,0.651950001717,0.280043751001
1282,0.146499991417,0.174231499434
3383,2.8030500412,-0.614878952503
727,0.17405000329,-0.285655498505
4792,-0.349350005388,0.0204717293382
4794,-0.483150005341,-0.435701698065
902,-0.0445000231266,0.817215740681
8091,0.226300001144,0.739489793777
3486,0.276849985123,-0.644189715385
10818,0.0785999894142,0.308613181114
3454,-0.0494999885559,-0.0100918337703
4282,0.304149985313,-0.727747499943
1605,0.178049996495,0.215796172619
10644,0.41939997673,0.117902979255
2065,-0.538000047207,-1.54721617699
8321,-0.218649998307,0.269975483418
8503,0.420700013638,0.846500575542
7027,0.155799999833,0.614730536938
6850,0.0355499982834,0.166045472026
1978,-0.0347999930382,-0.654951751232
896,0.201550006866,-0.271133482456
5777,-0.210150003433,0.505312860012
1846,-0.209399998188,1.17359983921
5925,-0.115150004625,0.305618941784
142,-0.204599991441,0.942072272301
1021,0.987300038338,0.33221629262
5699,0.121499992907,1.18418622017
8061,-0.715049982071,0.102000311017
1870,-0.871299982071,0.322865664959
1398,0.26029998064,-4.2453918457
3312,0.272049993277,0.496407717466
891,0.388500005007,0.771815061569
4775,-0.111100018024,0.264641612768
5111,0.126049995422,-0.155924662948
5696,0.172149986029,0.503378987312
5588,0.119899988174,0.768546164036
6839,-0.640200018883,1.01100671291
329,0.512049973011,0.754046559334
5058,-0.00834999978542,0.501407206059
998,0.909800052643,1.32681798935
9134,-1.63769996166,-1.31475019455
6616,0.0729500055313,5.61405277252
5223,-0.0990500003099,0.27116394043
4690,-1.27929997444,1.43004488945
958,-0.02349999547,0.389174371958
1616,0.567300021648,0.0824680030346
991,0.402500003576,1.01753723621
6347,-0.0261500179768,0.351628512144
6714,0.152099996805,-0.00319639453664
652,0.0205999985337,0.605521559715
4331,-1.5068500042,0.70509749651
7099,2.74114990234,0.240051299334
10320,0.357150018215,-0.183524787426
2042,-0.272599995136,-0.505182266235
843,-0.191650003195,0.816831827164
840,-0.110950000584,-0.396324217319
7048,0.842149972916,0.473565906286
4851,2.80359983444,0.741242945194
6464,0.494249999523,0.214910179377
23410,0.566349983215,0.0758042484522
54205,-0.720650017262,-1.01159858704
2770,-0.285699993372,-0.747890949249
80204,-0.992250025272,0.227031126618
4208,-0.162800014019,0.559030413628
1845,0.297499984503,-0.312349140644
23368,-0.0821499973536,0.630589425564
5583,-0.922850012779,-0.545063555241
8900,-0.391000032425,0.415181994438
