rid,CPC004_A375_6H:BRD-A17819071-001-02-1:10,CPC004_HA1E_6H:BRD-A17819071-001-02-1:10,CPC004_HA1E_24H:BRD-A17819071-001-02-1:10,CPC004_HCC515_6H:BRD-A17819071-001-02-1:10,CPC004_HCC515_24H:BRD-A17819071-001-02-1:10,CPC004_HEPG2_6H:BRD-A17819071-001-02-1:10,CPC004_HT29_6H:BRD-A17819071-001-02-1:10,CPC004_MCF7_6H:BRD-A17819071-001-02-1:10,CPC004_PC3_6H:BRD-A17819071-001-02-1:10,CPC004_PC3_24H:BRD-A17819071-001-02-1:10,CPC004_VCAP_6H:BRD-A17819071-001-02-1:10,CPC004_VCAP_24H:BRD-A17819071-001-02-1:10
5720,-0.206094503403,-0.118570581079,-0.371405184269,-3.2439801693,0.845903038979,-0.799455285072,0.391955584288,-1.05361866951,-0.163756266236,-0.0953586995602,0.312348097563,-0.560250878334
466,0.140672147274,-0.280732750893,1.14741945267,0.954450845718,0.370950460434,-0.124848201871,0.113797038794,-0.491435199976,-0.508385002613,-0.0368674732745,-0.27337872982,-0.400837957859
6009,0.0464189499617,-0.0476228073239,0.259954690933,0.41884803772,0.745643377304,0.50779145956,-0.206760063767,0.675793528557,-0.436980158091,0.141127005219,0.157378971577,-1.84359562397
2309,1.10938620567,0.151900947094,-0.498080760241,0.939662218094,0.899487018585,-0.679950773716,-0.215465396643,0.57794290781,-0.0577935278416,0.333058744669,0.150509625673,0.560176551342
387,-0.469644159079,0.679019331932,-0.199793875217,1.16807508469,0.201286703348,-0.209052160382,0.567937791348,-0.233788907528,-0.913957774639,0.484737604856,-0.0533055663109,0.19553078711
3553,-0.0954798012972,-0.464195013046,1.28648042679,0.620085060596,-0.910032510757,0.425034403801,-0.873703241348,0.198273688555,0.214687213302,0.483961105347,-0.686904728413,-0.191310063004
427,-0.258399546146,0.308687150478,-0.240392163396,-0.3059900105,0.389589190483,-0.308333724737,0.19085469842,0.180868089199,-0.490992993116,-0.459349572659,-0.597936630249,-0.57933986187
5898,-0.413536697626,0.211704537272,1.76086509228,1.03439354897,-0.210828870535,-0.560201406479,-0.161867797375,-0.0119958221912,0.175063282251,0.252116680145,0.178713917732,-1.8095164299
23365,-0.856854617596,-0.145682394505,0.156215310097,1.02064347267,0.177693337202,0.152514517307,-0.150272578001,-1.27231645584,0.0881824120879,0.0425538308918,0.728748202324,-0.363045156002
6657,-1.33188903332,-0.297384053469,-0.714669108391,0.382626950741,0.981806755066,-0.222719997168,-0.896263062954,0.672516226768,-1.46785831451,-1.16763222218,-0.194075807929,0.382944226265
5054,-0.0100988745689,0.823728322983,-0.832282304764,0.976422429085,-0.0578290745616,1.22621691227,-0.605943143368,0.428844213486,0.354223400354,0.595211744308,0.19595721364,-0.574923872948
