rid,CPC020_A375_6H:BRD-K11905747-002-02-4:10,CPC020_A549_6H:BRD-K11905747-002-02-4:10,CPC020_HA1E_6H:BRD-K11905747-002-02-4:10,CPC020_HCC515_6H:BRD-K11905747-002-02-4:10,CPC020_HT29_6H:BRD-K11905747-002-02-4:10,CPC020_MCF7_6H:BRD-K11905747-002-02-4:10,CPC020_MCF7_24H:BRD-K11905747-002-02-4:10,CPC020_PC3_6H:BRD-K11905747-002-02-4:10,CPC020_PC3_24H:BRD-K11905747-002-02-4:10,CPC020_VCAP_6H:BRD-K11905747-002-02-4:10,CPC020_VCAP_24H:BRD-K11905747-002-02-4:10,CPD003_MCF7_6H:BRD-K11905747-300-06-3:10,CPD003_MCF7_24H:BRD-K11905747-300-06-3:10,CPD003_PC3_6H:BRD-K11905747-300-06-3:10,CPD003_PC3_24H:BRD-K11905747-300-06-3:10
5720,0.401554584503,-0.152300015092,0.320084095001,0.23655000329,-0.76162725687,0.476470828056,0.883382618427,0.14829647541,1.44845032692,0.284453898668,0.600756943226,-0.921149969101,-0.36496964097,0.880840539932,-0.541499972343
466,0.687326312065,-0.0372999981046,0.653743624687,-1.4429500103,-0.77255666256,0.233116835356,-0.145254790783,0.560733616352,-0.812610566616,0.091519959271,-1.23472511768,0.159950017929,-0.594491243362,-0.265967428684,-0.732300043106
6009,-0.32179376483,-0.0584999993443,0.608664512634,-0.565999984741,-0.908433437347,-0.669024586678,0.743878364563,0.321966260672,0.605317831039,0.0394338704646,0.300520926714,-0.797299981117,-1.28403139114,-1.08511793613,0.417250007391
2309,0.474680960178,-0.10309997201,0.223717078567,-0.462449967861,0.0700908005238,-1.15050089359,-0.0768687278032,-1.12215065956,0.498216032982,0.198874279857,-0.07475233078,-0.490149974823,0.557301998138,0.0503687560558,0.745999991894
387,-0.173267379403,0.0823000073433,0.469848871231,-0.0790499895811,-0.764959216118,0.865001797676,0.453215062618,-0.166561663151,0.565234780312,0.345257073641,0.266786873341,-0.00685000419617,-0.989230155945,-0.089017547667,1.03380000591
3553,-0.304241776466,-0.325049996376,-0.0651697069407,0.0332999974489,0.886816561222,-0.407470732927,0.24354287982,1.07102823257,0.339463353157,0.260853379965,-0.215057551861,0.15569999814,0.58186095953,1.20587408543,0.0197500139475
427,0.535361707211,-0.790650010109,0.438068389893,-0.497200012207,0.115799024701,0.445601522923,0.821467578411,0.325182169676,-0.703971087933,-0.256548017263,-1.47722256184,0.0395999997854,-0.658815205097,-0.876885652542,-0.895900011063
5898,-0.0761350095272,1.10505008698,-0.354195713997,-0.327299982309,0.541980683804,0.708790302277,-0.580970227718,1.18135309219,-1.41517281532,0.0283242035657,-0.455660521984,0.381049990654,-1.04906129837,-0.4554207623,-0.499999970198
23365,-0.430084198713,-1.35430002213,0.0983851999044,-0.716300010681,0.0575184077024,0.167373970151,1.16677498817,0.636650621891,-0.147807627916,0.294535696507,0.384072959423,0.00274999439716,-0.0310293324292,0.00757730007172,1.05715000629
6657,-0.253167212009,-0.042250007391,-0.390108019114,-0.273450016975,1.34736323357,-0.403680026531,0.138948500156,0.765658736229,-0.172166526318,-0.594273328781,-0.570722162724,0.174700006843,0.684713244438,-1.07136940956,-0.303250014782
5054,0.19206930697,0.224500000477,-0.582360625267,-0.263749986887,0.0364397503436,-0.0205766707659,0.0730542391539,-0.885176539421,-0.525982618332,0.515357792377,-0.0178491026163,0.861299991608,0.25789552927,0.721734344959,-0.632500052452
3108,-0.180360123515,0.390650004148,-0.240187615156,-0.552600026131,-1.15570211411,0.522097587585,-0.133142098784,0.488201439381,-0.371818184853,0.409674406052,-0.362860321999,0.303400009871,-0.842319071293,-0.919183790684,-0.545099973679
1950,-0.822268784046,-0.438800007105,0.395086497068,0.692700028419,0.212728202343,-0.409196376801,0.257035464048,-0.40445959568,0.168952286243,-0.922863125801,-0.757821798325,-0.0402999967337,0.279296249151,-0.799503147602,-0.715399980545
351,-0.520072460175,-1.55034995079,0.0714695751667,-0.446449995041,-0.866927504539,-0.576204776764,-0.337103456259,0.944281101227,-1.04713618755,-0.360237687826,-0.872892439365,-0.440649986267,0.127673432231,-0.865432500839,-0.624599993229
4846,-0.180078148842,-0.0488499999046,-0.949281990528,0.369249999523,-0.695673108101,0.0582759678364,0.255790472031,-0.718904256821,0.385773539543,0.948804557323,0.166508227587,-0.0544999986887,-0.363671123981,-0.285545289516,0.243599995971
1452,0.417713105679,-0.169150009751,0.160666197538,-0.371200025082,-0.260659098625,0.562666475773,-0.185565710068,-0.264776885509,-0.00624054670334,0.144531130791,-0.0309659577906,-0.588999986649,-0.869821131229,-0.173122823238,0.461850017309
